,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.63885194,0.71220714,0.4660133,0.5633886
0,1,2,0.47653133,0.0,0.0,0.0
0,1,3,0.840987,0.7653628,0.9834792,0.8608192
0,1,4,0.97346866,0.9991513,0.9477424,0.9727681
0,1,5,0.4221386,0.43521944,0.52310115,0.47513074
0,1,6,0.67747635,0.79266953,0.48067904,0.598453
0,1,7,0.69424224,0.62178236,0.9917396,0.76434803
0,2,1,0.80166256,0.7375355,0.9366468,0.8252509
0,2,2,0.48277915,0.0,0.0,0.0
0,2,3,0.7923871,0.71075004,0.9860693,0.8260736
0,2,4,0.9680784,0.9994025,0.93671685,0.9670449
0,2,5,0.6341617,0.5775754,0.99887997,0.73193127
0,2,6,0.72684634,0.8272571,0.5734337,0.67734736
0,2,7,0.9555653,0.9338066,0.98064405,0.9566524
0,3,1,0.80479527,0.7417143,0.93528175,0.82732683
0,3,2,0.82283866,0.90051675,0.7258663,0.803814
0,3,3,0.9124606,0.86254,0.98130906,0.91809934
0,3,4,0.9677809,0.99865675,0.9368218,0.9667515
0,3,5,0.6345992,0.57779217,0.99972,0.73233086
0,3,6,0.66072804,0.8242938,0.40854043,0.54631406
0,3,7,0.8397795,0.7619048,0.9884494,0.8605165
0,4,1,0.8081729,0.75043374,0.9234512,0.8280007
0,4,2,0.87625134,0.9013853,0.8449423,0.87225163
0,4,3,0.519881,0.5101639,0.9978999,0.67516047
0,4,4,0.9738887,1.0,0.9477774,0.97318864
0,4,5,0.41769338,0.43202776,0.52313614,0.47323677
0,4,6,0.6959048,0.7264159,0.62852645,0.67393506
0,4,7,0.8299965,0.75141335,0.9862793,0.8529741
0,5,1,0.79541475,0.73071456,0.93563175,0.82057345
0,5,2,0.43694434,0.0,0.0,0.0
0,5,3,0.67271614,0.6051841,0.99373466,0.7522489
0,5,4,0.9684634,1.0,0.93692684,0.9674365
0,5,5,0.7753063,0.69477254,0.9820441,0.8138007
0,5,6,0.7186384,0.9125008,0.48365417,0.63221467
0,5,7,0.95253766,0.9258564,0.9838642,0.9539793
0,6,1,0.6520476,0.6549879,0.64256215,0.64871556
0,6,2,0.5229437,0.52534705,0.47553378,0.49920085
0,6,3,0.58227164,0.5449092,0.9982499,0.70498955
0,6,4,0.96246064,0.9890077,0.93531674,0.9614132
0,6,5,0.6332167,0.5771445,0.99663985,0.7309835
0,6,6,0.61095554,0.7745064,0.31305566,0.44588464
0,6,7,0.79618484,0.71408695,0.9879244,0.8289768
0,7,1,0.64567727,0.62383956,0.73384666,0.6743864
0,7,2,0.9170809,0.86122227,0.9943997,0.9230319
0,7,3,0.6157858,0.5655491,0.99898493,0.7222279
0,7,4,0.9680609,0.9997011,0.93640184,0.96701676
0,7,5,0.5683059,0.57623345,0.5163108,0.54462886
0,7,6,0.690007,0.6714245,0.7442072,0.70594484
0,7,7,0.8843717,0.81996447,0.98501927,0.8949452
0,8,1,0.4983724,0.3004292,0.0024501225,0.004860605
0,8,2,0.44130206,0.0,0.0,0.0
0,8,3,0.7825341,0.69937754,0.99107456,0.82005906
0,8,4,0.49970248,0.20689656,0.0002100105,0.00041959508
0,8,5,0.38552678,0.42240992,0.62320614,0.50352794
0,8,6,0.6004375,0.62915784,0.48925447,0.55045587
0,8,7,0.85708785,0.7856263,0.9821841,0.8729779
0,9,1,0.8030627,0.7398277,0.93489677,0.8260015
0,9,2,0.59247464,0.7696469,0.2639482,0.39308798
0,9,3,0.52084357,0.51065123,0.99929994,0.6759076
0,9,4,0.800175,0.80521744,0.7919146,0.7985106
0,9,5,0.6354568,0.5786106,0.99702483,0.73226225
0,9,6,0.6576479,0.730785,0.49919495,0.59318715
0,9,7,0.8731887,0.8052041,0.98456424,0.8858969
0,10,1,0.47149107,0.053208996,0.0033951697,0.006383049
0,10,2,0.48468673,0.093023255,0.003500175,0.0067465003
0,10,3,0.91144556,0.86173683,0.98015404,0.9171389
0,10,4,0.9603605,0.98950464,0.9305915,0.9591443
0,10,5,0.7833217,0.69856495,0.9967448,0.8214322
0,10,6,0.60500526,0.8277972,0.26517326,0.40167543
0,10,7,0.8204935,0.74003196,0.9880994,0.8462611
