,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.65085465,0.6188648,0.78541887,0.6922648
0,1,2,0.5475242,0.66863614,0.1884317,0.29400763
0,2,1,0.6183814,0.5749118,0.90852034,0.7042035
0,2,2,0.7069872,0.72981215,0.6573272,0.69167584
0,3,1,0.56234014,0.53471154,0.96031445,0.6869328
0,3,2,0.58293957,0.60597485,0.4742568,0.5320853
0,4,1,0.6407098,0.5933171,0.8946438,0.7134696
0,4,2,0.6221428,0.68642557,0.44973412,0.5434254
0,5,1,0.64797753,0.59863454,0.89810807,0.7184114
0,5,2,0.671999,0.7347468,0.53834885,0.62139887
0,6,1,0.59547234,0.57468003,0.7346816,0.64490485
0,6,2,0.5660927,0.70534384,0.22702467,0.34349176
0,7,1,0.531524,0.5171491,0.95063937,0.6698817
0,7,2,0.70808995,0.8248945,0.5283323,0.6441173
0,8,1,0.5437076,0.5262947,0.8748173,0.657209
0,8,2,0.5949307,0.64228505,0.4285241,0.51406854
0,9,1,0.37027988,0.39321715,0.47768137,0.4313534
0,9,2,0.66479385,0.6743238,0.6374597,0.65537375
0,10,1,0.5589999,0.5325806,0.96444416,0.68622017
0,10,2,0.68802196,0.76664686,0.54058933,0.63407224
