,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.59647703,0.554186,0.9867171,0.7097459
0,1,2,0.4458417,0.38275427,0.17680237,0.24187672
0,2,1,0.644298,0.6019225,0.852179,0.7055157
0,2,2,0.5041845,0.53361344,0.066428386,0.1181487
0,3,1,0.59534186,0.5535802,0.9850535,0.7088187
0,3,2,0.44585475,0.33837306,0.11335542,0.16982068
0,4,1,0.5701853,0.5382839,0.986828,0.69659626
0,4,2,0.62391245,0.81253296,0.3221515,0.4613771
0,5,1,0.5872423,0.55748373,0.8460856,0.67211354
0,5,2,0.5103435,0.65047556,0.044712752,0.08367389
0,6,1,0.63729125,0.5801249,0.994024,0.7326601
0,6,2,0.48844478,0.35767207,0.029038444,0.05371584
0,7,1,0.5152303,0.50895816,0.86531186,0.6409331
0,7,2,0.6530119,0.883902,0.3522971,0.50379604
0,8,1,0.5000359,0.50001794,0.99995434,0.66667247
0,8,2,0.59612936,0.7004909,0.33586437,0.45403337
0,9,1,0.5481178,0.52942985,0.86561847,0.65701556
0,9,2,0.49969053,0.471803,0.0051782755,0.010244116
0,10,1,0.5617693,0.5386512,0.86082983,0.66265565
0,10,2,0.65268505,0.9505801,0.32211664,0.48117933
