,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.33538643,0.10576983,0.044164937,0.062311336
0,1,2,0.58909494,0.58512354,0.6124222,0.5984617
0,1,3,0.8002982,0.72097015,0.9797977,0.83068943
0,1,4,0.6594139,0.64622486,0.7045125,0.67411107
0,1,5,0.59127337,0.7435809,0.2786307,0.40536514
0,1,6,0.504292,0.5119176,0.18436204,0.2710927
0,1,7,0.50264525,0.5013804,0.9608143,0.6589183
0,2,1,0.51750517,0.5436893,0.21784233,0.31105348
0,2,2,0.8772433,0.91593516,0.83073133,0.8712551
0,2,3,0.8016727,0.7221087,0.9807832,0.8317992
0,2,4,0.734362,0.78898054,0.63986,0.7066388
0,2,5,0.35232106,0.05688273,0.01895747,0.028437493
0,2,6,0.4845695,0.42534503,0.087914936,0.14571245
0,2,7,0.5866831,0.54885626,0.97380704,0.70203316
0,3,1,0.49341285,0.49546266,0.7192946,0.58675694
0,3,2,0.75059646,0.8072105,0.65845436,0.72528344
0,3,3,0.7631613,0.68611413,0.9701504,0.8037773
0,3,4,0.7158973,0.8013029,0.5741701,0.6689832
0,3,5,0.4617479,0.45036343,0.3470695,0.3920265
0,3,6,0.33817428,0.2600738,0.17541493,0.20951553
0,3,7,0.12798236,0.041224256,0.033428423,0.03691929
0,4,1,0.4826115,0.2931194,0.02463693,0.04545346
0,4,2,0.7575337,0.8226598,0.65661305,0.7303172
0,4,3,0.78956175,0.7092446,0.9814834,0.8234463
0,4,4,0.7247536,0.71632177,0.7442427,0.7300154
0,4,5,0.4817168,0.32497516,0.033947095,0.061472718
0,4,6,0.5984829,0.64471626,0.4387448,0.5221524
0,4,7,0.03345436,0.0066637415,0.0063018673,0.0064777546
0,5,1,0.54854774,0.6990219,0.17051348,0.27415252
0,5,2,0.86384857,0.8875048,0.8333247,0.85956186
0,5,3,0.3814056,0.025031159,0.00625,0.01000249
0,5,4,0.6605161,0.7055971,0.55088174,0.6187141
0,5,5,0.22090249,0.09813294,0.06815353,0.080440775
0,5,6,0.5360607,0.55494094,0.36423755,0.4398065
0,5,7,0.5112163,0.50592166,0.9582728,0.6622221
0,6,1,0.46365404,0.4693949,0.55744296,0.50964403
0,6,2,0.5292272,0.52673274,0.5758817,0.55021185
0,6,3,0.78704613,0.70940465,0.97243255,0.8203507
0,6,4,0.770332,0.792809,0.7319502,0.7611651
0,6,5,0.47266597,0.47063902,0.43814835,0.45381287
0,6,6,0.42580393,0.37680846,0.22694503,0.2832772
0,6,7,0.7653916,0.6828815,0.9909751,0.80857414
0,7,1,0.47780082,0.23726213,0.020046681,0.03696973
0,7,2,0.7356976,0.700802,0.82258815,0.75682706
0,7,3,0.8639523,0.7988756,0.9728216,0.8773095
0,7,4,0.7029046,0.71688753,0.6706691,0.6930086
0,7,5,0.60492736,0.65992093,0.43298754,0.5228938
0,7,6,0.5081431,0.5142896,0.29307574,0.37337697
0,7,7,0.49709544,0.49852702,0.98303944,0.66155887
0,8,1,0.48877075,0.49171132,0.66615665,0.565793
0,8,2,0.6935036,0.6446952,0.8621629,0.7377367
0,8,3,0.8227827,0.7449086,0.98176867,0.8470928
0,8,4,0.6914549,0.76516646,0.5524637,0.6416469
0,8,5,0.49023598,0.4129077,0.046291493,0.08324976
0,8,6,0.5375778,0.5438958,0.46561202,0.50171864
0,8,7,0.038939316,0.0067693163,0.006327801,0.006541117
0,9,1,0.48576245,0.4893514,0.65427905,0.55992275
0,9,2,0.8227697,0.7831597,0.89271265,0.8343554
0,9,3,0.81014,0.73509866,0.9697355,0.8362705
0,9,4,0.66465247,0.7206966,0.5376815,0.6158805
0,9,5,0.4005057,0.36442026,0.26742738,0.3084793
0,9,6,0.48659232,0.46398216,0.17271784,0.25172922
0,9,7,0.74638224,0.6748891,0.950778,0.7894232
0,10,1,0.42166752,0.4153803,0.38451764,0.3993536
0,10,2,0.5986385,0.6090172,0.5510374,0.57857835
0,10,3,0.80271006,0.7259966,0.97243255,0.83133614
0,10,4,0.6625648,0.6689941,0.6435425,0.65602154
0,10,5,0.49857366,0.4777688,0.030653527,0.057610765
0,10,6,0.5273729,0.5563083,0.2704357,0.3639473
0,10,7,0.3293698,0.028452663,0.0102956435,0.015120066
