,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.0122242095,0.30597016,0.0122242095,0.023509175
1,1,1,DoS,0.32776618,0.4815951,0.32776618,0.39006212
2,1,1,MITM,0.97316635,0.2549801,0.97316635,0.40408543
3,1,1,Normal,0.24485536,0.5810333,0.24485536,0.34452373
4,1,1,Scanner,0.41872948,0.55516016,0.41872948,0.47738865
5,1,1,Brute force,0.202743,0.98550725,0.202743,0.33630067
6,1,1,Generic,0.9859827,0.50939906,0.9859827,0.6717464
7,1,1,Exploit,0.5539654,0.59761983,0.5539654,0.5749652
8,1,1,Infection,0.1491202,0.68212825,0.1491202,0.24473813
0,1,2,Botnet,0.2358378,0.37153593,0.2358378,0.28852817
1,1,2,DoS,0.03847301,0.414791,0.03847301,0.07041484
2,1,2,MITM,0.9734566,0.4929769,0.9734566,0.65450174
3,1,2,Normal,0.23881932,0.638756,0.23881932,0.34765625
4,1,2,Scanner,0.79152995,0.37406623,0.79152995,0.5080398
5,1,2,Brute force,0.26147884,0.77886325,0.26147884,0.39151785
6,1,2,Generic,0.98568445,0.5062031,0.98568445,0.6688929
7,1,2,Exploit,0.55592006,0.57601976,0.55592006,0.5657914
8,1,2,Infection,0.5247466,0.9361702,0.5247466,0.6725258
0,1,3,Botnet,0.032508202,0.22064777,0.032508202,0.056667533
1,1,3,DoS,0.0056648776,0.3220339,0.0056648776,0.011133899
2,1,3,MITM,0.915598,0.87067497,0.915598,0.89257157
3,1,3,Normal,0.32051283,0.42675665,0.32051283,0.36608204
4,1,3,Scanner,0.88965106,0.34933832,0.88965106,0.5016818
5,1,3,Brute force,0.34088877,0.70338464,0.34088877,0.45922062
6,1,3,Generic,0.98389983,0.5034325,0.98389983,0.66606116
7,1,3,Exploit,0.782881,0.5563798,0.782881,0.650477
8,1,3,Infection,0.5450209,0.8518173,0.5450209,0.6647273
0,1,4,Botnet,0.883388,0.47483167,0.883388,0.6176624
1,1,4,DoS,0.02862254,0.49484536,0.02862254,0.054114994
2,1,4,MITM,0.7834775,0.42882794,0.7834775,0.5542779
3,1,4,Normal,0.0,0.0,0.0,0.0
4,1,4,Scanner,0.58586764,0.49161872,0.58586764,0.5346211
5,1,4,Brute force,0.2341187,0.92899406,0.2341187,0.37398762
6,1,4,Generic,0.9865832,0.5111214,0.9865832,0.67338216
7,1,4,Exploit,0.8768267,0.5619266,0.8768267,0.68491554
8,1,4,Infection,0.19982105,0.6238361,0.19982105,0.30268806
0,1,5,Botnet,0.29674917,0.44163337,0.29674917,0.3549768
1,1,5,DoS,0.28601253,0.27052185,0.28601253,0.27805158
2,1,5,MITM,0.9206917,0.4755891,0.9206917,0.62719613
3,1,5,Normal,0.22039965,0.63379073,0.22039965,0.32706353
4,1,5,Scanner,0.53726894,0.4291498,0.53726894,0.47716138
