,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.0005963029,0.057142857,0.0005963029,0.0011802891
1,1,1,DoS,0.010736654,0.19148937,0.010736654,0.02033324
2,1,1,MITM,0.93321407,0.67954844,0.93321407,0.7864322
3,1,1,Normal,0.49686846,0.4976105,0.49686846,0.49723923
4,1,1,Scanner,0.9704742,0.35959774,0.9704742,0.5247541
5,1,1,Brute force,0.7921884,0.6964613,0.7921884,0.74124706
6,1,1,Generic,0.9612287,0.9935265,0.9612287,0.9771108
7,1,1,Exploit,0.22450805,0.43983644,0.22450805,0.29727596
8,1,1,Infection,0.8168804,0.65463674,0.8168804,0.72681445
0,1,2,Botnet,0.76058435,0.5331243,0.76058435,0.6268583
1,1,2,DoS,0.15389204,0.84039086,0.15389204,0.2601462
2,1,2,MITM,0.91231734,0.5485028,0.91231734,0.68510634
3,1,2,Normal,0.60047704,0.40580294,0.60047704,0.48430926
4,1,2,Scanner,0.95705336,0.8953683,0.95705336,0.9251838
5,1,2,Brute force,0.8330352,0.6974538,0.8330352,0.75923914
6,1,2,Generic,0.95466745,0.9861368,0.95466745,0.970147
7,1,2,Exploit,0.006263048,0.17073171,0.006263048,0.012082854
8,1,2,Infection,0.76058435,0.7770332,0.76058435,0.7687208
0,1,3,Botnet,0.9054578,0.97152,0.9054578,0.9373264
1,1,3,DoS,0.8133572,0.94689345,0.8133572,0.8750602
2,1,3,MITM,0.8079332,0.7552272,0.8079332,0.7806917
3,1,3,Normal,0.56917113,0.51179624,0.56917113,0.538961
4,1,3,Scanner,0.9609305,0.9880405,0.9609305,0.974297
5,1,3,Brute force,0.8628094,0.604977,0.8628094,0.7112477
6,1,3,Generic,0.95676804,0.9622189,0.95676804,0.9594857
7,1,3,Exploit,0.29794213,0.45783684,0.29794213,0.3609756
8,1,3,Infection,0.7355397,0.7480291,0.7355397,0.7417318
0,1,4,Botnet,0.8938264,0.8951613,0.8938264,0.8944934
1,1,4,DoS,0.79039955,0.9417407,0.79039955,0.8594586
2,1,4,MITM,0.9212645,0.69760615,0.9212645,0.7939853
3,1,4,Normal,0.5180435,0.53070575,0.5180435,0.5242982
4,1,4,Scanner,0.8711986,0.99726963,0.8711986,0.9299809
5,1,4,Brute force,0.90366834,0.685986,0.90366834,0.7799228
6,1,4,Generic,0.95676804,0.988906,0.95676804,0.9725716
7,1,4,Exploit,0.23680286,0.4678845,0.23680286,0.31445545
8,1,4,Infection,0.7957053,0.6625279,0.7957053,0.7230352
0,1,5,Botnet,0.003877125,0.06666667,0.003877125,0.007328072
1,1,5,DoS,0.0035788845,0.035714287,0.0035788845,0.006505829
