Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src IP,10.678850095953717,4.0427595642121785,9.840097527349984,24.197171907072978,9.328002547268873,7.722322953501089,7.547126745742784,28.298392473710777,13.352675372307498
1,Src Port,0.0003653249931935251,8.99441346526065e-05,0.002812426621936138,0.0004224647007462634,0.0004817507839401101,0.00045318438694074304,0.0013918507686042202,0.002238252637097474,0.000418096576172502
2,Dst IP,11.576258351278096,4.500020883731049,10.276356072572877,27.916659400231037,10.472423515570114,9.511217069484669,7.637499038253995,27.135414391476054,13.066333130808697
3,Dst Port,0.001143000811856931,0.0004639325716645481,0.01021801049684203,0.0011503597565861337,0.0015877777387041346,0.014733211417540876,0.0017846440339368067,0.00172809708544296,0.002310098709119609
4,Protocol,6.983564980302417e-07,2.2879151719289214e-07,5.722003403025301e-07,4.974177430065921e-07,6.065272238255674e-06,1.2923537914603066e-05,2.358861660947501e-06,5.644192860954889e-07,9.9989979498253e-07
5,Flow Duration,0.24152255369188896,0.18666663473317743,0.25466797833199994,0.4167195025660343,0.6286404808082907,0.4951783158836164,0.8813872112603389,0.11362763164951806,0.20205279278154836
6,Tot Fwd Pkts,6.554874704467694e-07,1.136656370586378e-07,2.4348974098887726e-06,1.262959141279414e-06,2.240478501583168e-06,1.6402749580305514e-06,1.3977970799392855e-06,1.658237064361873e-06,1.0043127673778581e-06
7,Tot Bwd Pkts,3.1199962065582896e-07,2.2545789680083712e-07,2.676103361124102e-06,2.0353772936600946e-06,1.8131415419204701e-06,1.870348995144132e-06,1.4215705583642373e-06,6.416523919465549e-06,1.024231871584696e-05
8,TotLen Fwd Pkts,3.5368414680221596e-05,1.8485875234465066e-05,0.00029301750530716397,8.73811471324575e-05,0.0009136308343388969,0.0003862297271666925,0.00012607452063243826,6.139061969730182e-05,0.0004661062337566243
9,TotLen Bwd Pkts,0.00010078468834204969,0.00018119401527903235,0.00020789686982237266,0.0001928599960513544,0.0003822057865634246,0.0002297715820429036,0.0006586461475162241,0.0004507045820394834,0.002336539734081157
10,Fwd Pkt Len Max,2.6093183179385034e-05,2.6542928338808537e-05,0.0003126673822395507,0.0001018933902701822,0.0003979789126986477,0.00010635060041111903,8.765654334691412e-05,0.00022484088077182816,0.00015990388702474492
11,Fwd Pkt Len Min,5.389012607436708e-06,4.355331000167051e-06,8.601240557965168e-05,8.072525366192058e-06,1.0715912066685487e-05,3.265747999771608e-05,0.00012663859384712234,2.8849621741915725e-05,9.855453138252855e-06
