,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5419011,0.5369398,0.609055,0.57072836
0,1,2,0.59054965,0.61655784,0.47898194,0.5391316
0,2,1,0.5843499,0.5545084,0.8580827,0.6736756
0,2,2,0.6079293,0.68422604,0.4008556,0.5055396
0,3,1,0.4248898,0.44635484,0.62495464,0.5207674
0,3,2,0.54458994,0.5891737,0.29460722,0.39280057
0,4,1,0.5823276,0.5462197,0.97293884,0.69964826
0,4,2,0.6986086,0.78902555,0.5421917,0.6427247
0,5,1,0.5234282,0.52436155,0.50427145,0.51412034
0,5,2,0.48616368,0.4537604,0.1357791,0.2090146
0,6,1,0.6427664,0.604565,0.82543427,0.69794255
0,6,2,0.56157637,0.57741535,0.4592775,0.51161516
0,7,1,0.50033057,0.50019884,0.8316632,0.6246848
0,7,2,0.60726815,0.6910009,0.38807362,0.49701706
0,8,1,0.31020546,0.3537658,0.4591457,0.39962536
0,8,2,0.39371273,0.21808596,0.0822228,0.11942135
0,9,1,0.48727962,0.4929237,0.8860837,0.633458
0,9,2,0.5004235,0.50083584,0.25374645,0.3368362
0,10,1,0.55012965,0.52844304,0.9313586,0.674297
0,10,2,0.6273356,0.6869844,0.46783337,0.55661464
