,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.52165216,0.5126736,0.87587506,0.6467732
0,1,2,0.4690476,0.28186858,0.039996542,0.07005275
0,2,1,0.6131222,0.5651191,0.9817021,0.7173145
0,2,2,0.43816438,0.35834488,0.15642555,0.21778364
0,3,1,0.3646876,0.36475244,0.3649274,0.36483994
0,3,2,0.44098178,0.32830492,0.11285109,0.16796584
0,4,1,0.56129766,0.5331065,0.98706245,0.69230384
0,4,2,0.49790856,0.48513147,0.06823956,0.11964906
0,5,1,0.556728,0.5352986,0.86027354,0.659949
0,5,2,0.4500043,0.37561816,0.1509809,0.21538652
0,6,1,0.5294756,0.517703,0.86197823,0.6468867
0,6,2,0.429319,0.3520398,0.16817042,0.2276106
0,7,1,0.32323372,0.29439306,0.25309825,0.2721883
0,7,2,0.4991055,0.43266103,0.0057471264,0.011343574
0,8,1,0.51892984,0.5111347,0.868972,0.6436629
0,8,2,0.4626264,0.31696787,0.06472215,0.10749478
0,9,1,0.58415866,0.55592406,0.8365958,0.6679743
0,9,2,0.4332858,0.298641,0.09894564,0.14864294
0,10,1,0.61766595,0.59848315,0.715057,0.6515972
0,10,2,0.4560453,0.38342348,0.14456832,0.20996876
