,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.4948665,0.47667843,0.10492611,0.1719932
0,1,2,0.54445165,0.5455342,0.53256416,0.5389712
0,1,3,0.8049391,0.7267802,0.97726214,0.8336116
0,1,4,0.747874,0.75816166,0.7279492,0.7427483
0,1,5,0.49456832,0.4819785,0.14526834,0.2232493
0,1,6,0.45998186,0.35540983,0.0983666,0.15408671
0,1,7,0.49367383,0.49675626,0.96880996,0.65675974
0,2,1,0.40618357,0.3530081,0.22530465,0.2750566
0,2,2,0.8786233,0.8447718,0.92771584,0.8843031
0,2,3,0.79774433,0.7146783,0.99121076,0.83053094
0,2,4,0.7343531,0.73964685,0.72330827,0.73138636
0,2,5,0.52046925,0.61318994,0.11088929,0.18781424
0,2,6,0.41782475,0.3721924,0.23930515,0.29130962
0,2,7,0.74952036,0.671453,0.97718436,0.79597056
0,3,1,0.5245009,0.52788764,0.46378013,0.49376175
0,3,2,0.87622505,0.8844585,0.86551726,0.8748854
0,3,3,0.8350402,0.7599316,0.97951776,0.8558645
0,3,4,0.5069354,0.50506157,0.69204044,0.5839486
0,3,5,0.32763806,0.18306637,0.09955924,0.12897591
0,3,6,0.46455795,0.44655982,0.2961628,0.35613406
0,3,7,0.5183692,0.5097059,0.96466166,0.6669893
0,4,1,0.6603578,0.70801103,0.5458128,0.61642075
0,4,2,0.75311124,0.8909222,0.5768473,0.70028174
0,4,3,0.71870625,0.6425518,0.98581797,0.77800393
0,4,4,0.58082706,0.5803252,0.58395123,0.5821326
0,4,5,0.4369588,0.42992595,0.38677728,0.4072118
0,4,6,0.5718045,0.7573167,0.21133006,0.33044818
0,4,7,0.51877105,0.50992054,0.96484315,0.66721654
0,5,1,0.4798937,0.33718246,0.04163858,0.07412364
0,5,2,0.7634172,0.714346,0.8778844,0.78771675
0,5,3,0.36015037,0.07176881,0.023437904,0.035335965
0,5,4,0.6964869,0.7824531,0.544309,0.6420085
0,5,5,0.4327716,0.35959497,0.17218044,0.2328623
0,5,6,0.37342495,0.28606486,0.16925071,0.21267307
0,5,7,0.032214157,0.0072105536,0.006844698,0.0070228637
0,6,1,0.48133263,0.48505667,0.60593724,0.5388003
0,6,2,0.56112266,0.5705733,0.49416646,0.52962834
0,6,3,0.5895255,0.5959113,0.55623543,0.5753902
0,6,4,0.7371273,0.7509053,0.7096707,0.7297059
0,6,5,0.55888,0.7049639,0.2025149,0.3146425
0,6,6,0.5278325,0.5397784,0.37767696,0.44440717
0,6,7,0.8209619,0.7479818,0.9681099,0.8439277
0,7,1,0.4554576,0.4619962,0.54148304,0.49859148
0,7,2,0.63983667,0.6021516,0.8242935,0.69592535
0,7,3,0.87180454,0.81409204,0.96367645,0.8825911
0,7,4,0.70518535,0.72113556,0.6691211,0.69415534
0,7,5,0.40160745,0.17882532,0.054783512,0.083872505
0,7,6,0.46600986,0.4624592,0.4187192,0.4395036
0,7,7,0.46283382,0.1884373,0.02247861,0.040165853
0,8,1,0.52236193,0.5791067,0.16370235,0.25525033
0,8,2,0.86147267,0.88380224,0.8323827,0.8573222
0,8,3,0.77120817,0.6904992,0.9830438,0.8112023
0,8,4,0.54687583,0.5761905,0.35449833,0.4389406
0,8,5,0.69502205,0.8167158,0.5029038,0.6224968
0,8,6,0.42277676,0.37343305,0.22784548,0.2830137
0,8,7,0.16120042,0.014886587,0.010396682,0.012242965
0,9,1,0.55405754,0.56792414,0.4519834,0.50336385
0,9,2,0.69664246,0.67721206,0.75146484,0.7124089
0,9,3,0.8585299,0.7821509,0.9938812,0.8753953
0,9,4,0.6916386,0.787082,0.5254083,0.63016
0,9,5,0.41063002,0.14573485,0.036764324,0.058716353
0,9,6,0.4834716,0.4449244,0.13352346,0.20540433
0,9,7,0.47495463,0.2581372,0.02673062,0.048444692
0,10,1,0.47592688,0.31344184,0.040445942,0.07164673
0,10,2,0.6114856,0.70294505,0.38615504,0.4984772
0,10,3,0.7963573,0.7198215,0.97044337,0.8265521
0,10,4,0.6961758,0.7052823,0.6739953,0.6892839
0,10,5,0.5608634,0.601059,0.3619912,0.45185196
0,10,6,0.40575576,0.36586717,0.2570651,0.30196437
0,10,7,0.49261084,0.49626103,0.9807363,0.6590414
