,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5843013,0.58785224,0.56409127,0.5757267
0,1,2,0.7514519,0.76614255,0.72385275,0.7443975
0,1,3,0.51922476,0.50982106,0.9979777,0.67487794
0,1,4,0.5,0.0,0.0,0.0
0,1,5,0.62115633,0.5705422,0.9799067,0.7211823
0,1,6,0.6128597,0.80715495,0.29657766,0.43377197
0,1,7,0.79451644,0.7117532,0.98994035,0.8281082
0,2,1,0.73303086,0.66139925,0.95493907,0.7815146
0,2,2,0.33154005,0.033728022,0.012185637,0.017903056
0,2,3,0.53830695,0.5199627,0.9977703,0.6836556
0,2,4,0.5,0.0,0.0,0.0
0,2,5,0.30548355,0.36374697,0.5192896,0.42781922
0,2,6,0.5312549,0.54792666,0.35732433,0.43255964
0,2,7,0.7954887,0.7132034,0.9884625,0.8285701
0,3,1,0.5153098,0.5453707,0.18402904,0.27519628
0,3,2,0.46838215,0.0,0.0,0.0
0,3,3,0.51970446,0.51005477,0.9995592,0.6754441
0,3,4,0.50001293,1.0,2.5926885e-05,5.185243e-05
0,3,5,0.30270937,0.36180374,0.51651543,0.42553374
0,3,6,0.51848584,0.6819806,0.06927664,0.1257767
0,3,7,0.7714934,0.6885975,0.9912626,0.81266403
0,4,1,0.63331604,0.5807754,0.9585429,0.7233047
0,4,2,0.4596059,0.0,0.0,0.0
0,4,3,0.51922476,0.50982106,0.9979777,0.67487794
0,4,4,0.4964869,0.043771043,0.0003370495,0.00066894793
0,4,5,0.4186803,0.4324103,0.5202489,0.47228009
0,4,6,0.54563135,0.6163867,0.2416645,0.34720257
0,4,7,0.8391885,0.76303357,0.9839513,0.8595242
0,5,1,0.80125743,0.73762244,0.9351569,0.82472646
0,5,2,0.5034094,0.5198911,0.08911071,0.1521436
0,5,3,0.62920666,0.574455,0.99688876,0.7288892
0,5,4,0.9669821,1.0,0.9339642,0.96585464
0,5,5,0.41451904,0.42950308,0.5207934,0.47076333
0,5,6,0.6534612,0.91606915,0.33787918,0.49367377
0,5,7,0.6985092,0.6258858,0.9869588,0.7660049
0,6,1,0.44075707,0.0071182055,0.00085558725,0.0015275655
0,6,2,0.47289345,0.0,0.0,0.0
0,6,3,0.51975626,0.5100866,0.9990926,0.67536545
0,6,4,0.49434793,0.030172413,0.0003629764,0.0007173234
0,6,5,0.77749544,0.6970216,0.9817215,0.81523025
0,6,6,0.566671,0.67224866,0.26020223,0.3751846
0,6,7,0.7072984,0.63291496,0.9871143,0.77129406
0,7,1,0.4554187,0.03789304,0.003655691,0.0066680857
0,7,2,0.10930775,0.0,0.0,0.0
0,7,3,0.7877495,0.70482606,0.9901737,0.82348126
0,7,4,0.5000907,1.0,0.0001814882,0.00036291056
0,7,5,0.50050557,0.50025344,0.9978481,0.6664127
0,7,6,0.6144413,0.85003966,0.2779103,0.41887456
0,7,7,0.725162,0.6479094,0.9863106,0.7820733
0,8,1,0.46104485,0.39060792,0.13909775,0.20514293
0,8,2,0.4804252,0.0,0.0,0.0
0,8,3,0.5279881,0.5144085,0.9992222,0.67917275
0,8,4,0.5186155,1.0,0.03723101,0.071789235
0,8,5,0.4135468,0.42862037,0.51913404,0.46955505
0,8,6,0.59629244,0.73722535,0.29924813,0.42569983
0,8,7,0.6724656,0.6052132,0.9920664,0.7517929
0,9,1,0.44089967,0.013862231,0.0016852476,0.0030051551
0,9,2,0.48408088,0.0,0.0,0.0
0,9,3,0.5207804,0.5106349,0.9977703,0.67554307
0,9,4,0.86505055,0.9104717,0.8097226,0.8571468
0,9,5,0.41419497,0.42926756,0.5207415,0.47060063
0,9,6,0.46654135,0.42450127,0.18812549,0.2607118
0,9,7,0.91674876,0.86561733,0.9866736,0.92218965
0,10,1,0.7418849,0.71365106,0.80795956,0.7578827
0,10,2,0.34572205,0.1427628,0.061654136,0.0861173
0,10,3,0.51967853,0.51004684,0.9990148,0.6753128
0,10,4,0.5,0.0,0.0,0.0
0,10,5,0.41910812,0.43274704,0.52050817,0.47258776
0,10,6,0.49605912,0.47606298,0.07837698,0.13459483
0,10,7,0.63782734,0.58100694,0.9885403,0.7318655
