,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5034883,0.5017439,0.99564636,0.6672402
0,1,2,0.503879,0.50193983,0.9965394,0.667614
0,1,3,0.5000279,0.0,0.0,0.0
0,1,4,0.93101525,0.9902247,0.8706329,0.92658585
0,1,5,0.85851425,0.8851319,0.82397586,0.8534597
0,1,6,0.5043255,0.50219125,0.997656,0.6680869
0,1,7,0.50413036,0.5020805,0.9967627,0.6677885
0,1,8,0.5034048,0.50171375,0.9967627,0.66746396
0,1,9,0.5,0.5,1.0,0.6666667
0,1,10,0.9498772,0.96871364,0.92978346,0.94884944
0,2,1,0.50399065,0.5019972,0.99609286,0.66756445
0,2,2,0.9330803,0.9241281,0.9436258,0.9337752
0,2,3,0.5043813,0.5021957,0.995758,0.6676647
0,2,4,0.50426966,0.50216424,0.9970979,0.6679378
0,2,5,0.7488977,0.98946446,0.50318116,0.6671106
0,2,6,0.9157225,0.9932459,0.837147,0.9085403
0,2,7,0.504242,0.50213677,0.9968743,0.66786325
0,2,8,0.50530255,0.5026738,0.9968743,0.6683381
0,2,9,0.5035722,0.5018,0.99586964,0.6673399
0,2,10,0.5025675,0.5012924,0.99586964,0.6668909
0,3,1,0.50449294,0.50224745,0.99787897,0.66818666
0,3,2,0.92621535,0.9857506,0.8649252,0.92139375
0,3,3,0.9192387,0.98141265,0.854655,0.9136583
0,3,4,0.9117598,0.9850118,0.83625406,0.9045578
0,3,5,0.4999721,0.0,0.0,0.0
0,3,6,0.5035441,0.50179815,0.99676305,0.6675388
0,3,7,0.75736773,0.99210244,0.5188658,0.6813751
0,3,8,0.5,0.0,0.0,0.0
0,3,9,0.84773386,0.9949158,0.69903994,0.82113826
0,3,10,0.5,0.0,0.0,0.0
0,4,1,0.5037116,0.50185287,0.9977673,0.66781235
0,4,2,0.50365573,0.50182843,0.995758,0.66734
0,4,3,0.5039348,0.5019681,0.9965394,0.6676389
0,4,4,0.50399065,0.5020259,0.9957585,0.66751474
0,4,5,0.5043813,0.5022202,0.9973211,0.66803735
0,4,6,0.50382316,0.50193983,0.9964282,0.66758895
0,4,7,0.5034606,0.5017422,0.99665105,0.6674641
0,4,8,0.50474435,0.5023918,0.9965394,0.6680137
0,4,9,0.9003684,0.9966764,0.80341595,0.88967186
0,4,10,0.5032373,0.5016294,0.99665105,0.6673643
0,5,1,0.5000279,0.0,0.0,0.0
0,5,2,0.9163364,0.99273354,0.8388033,0.90929997
0,5,3,0.50493944,0.50247467,0.99732083,0.66826236
0,5,4,0.9568008,0.97164917,0.94106483,0.95611244
0,5,5,0.8731931,0.8864871,0.85601074,0.87098235
0,5,6,0.4999721,0.0,0.0,0.0
0,5,7,0.75792587,0.987962,0.5222148,0.6832688
0,5,8,0.5,0.5,1.0,0.6666667
0,5,9,0.9178946,0.9179413,0.9178388,0.91789
0,5,10,0.7545769,0.99244225,0.5130609,0.67642945
