Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.0003420078333354206
2,Dst IP,0.0
3,Dst Port,0.10158120849010914
4,Protocol,0.012803048243963841
5,Flow Duration,0.0804437214194294
6,Tot Fwd Pkts,0.011130344360214426
7,Tot Bwd Pkts,0.004612700414801088
8,TotLen Fwd Pkts,0.10025071104977334
9,TotLen Bwd Pkts,0.11913230391601679
10,Fwd Pkt Len Max,0.06693381402053727
11,Fwd Pkt Len Min,0.02718465161460743
12,Fwd Pkt Len Mean,0.03342707869781334
13,Fwd Pkt Len Std,0.03873551250489536
14,Bwd Pkt Len Max,0.06323442878314203
15,Bwd Pkt Len Min,0.019788817101371956
16,Bwd Pkt Len Mean,0.038178915620042886
17,Bwd Pkt Len Std,0.04157602760185979
18,Flow Byts/s,0.07241922449873761
19,Flow Pkts/s,0.0323386173275438
20,Flow IAT Mean,0.10424365291144197
21,Flow IAT Std,0.07132935780117391
22,Flow IAT Max,0.05766174189230686
23,Flow IAT Min,0.07391485001487334
24,Fwd IAT Tot,0.08431719807634667
25,Fwd IAT Mean,0.07178474476200196
26,Fwd IAT Std,0.08991605777393107
27,Fwd IAT Max,0.07260677146871879
28,Fwd IAT Min,0.10910473817492301
29,Bwd IAT Tot,6.2956882480381875
30,Bwd IAT Mean,0.27681560249590753
31,Bwd IAT Std,0.2419299553185265
32,Bwd IAT Max,0.32820514274844614
33,Bwd IAT Min,0.144639078884384
34,Fwd PSH Flags,0.00045803689609769116
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.05414458246133704
39,Bwd Header Len,0.044524200671443206
40,Fwd Pkts/s,0.07840116449893207
41,Bwd Pkts/s,0.13880744814175217
42,Pkt Len Min,0.0359941828894824
43,Pkt Len Max,0.145624307985898
44,Pkt Len Mean,0.06423864041602263
45,Pkt Len Std,0.05876484704165032
46,Pkt Len Var,0.4428727418846997
47,FIN Flag Cnt,5.6059767951950336e-06
48,SYN Flag Cnt,0.0001428085372981471
49,RST Flag Cnt,0.0008917882992371832
50,PSH Flag Cnt,0.0006452355235196095
51,ACK Flag Cnt,0.0005725355903222634
52,URG Flag Cnt,9.97446623415154e-05
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0005891525903900654
55,Down/Up Ratio,0.0012090697281635465
56,Pkt Size Avg,0.1152742145076755
57,Fwd Seg Size Avg,0.11662871489778921
58,Bwd Seg Size Avg,0.14726230173053687
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.02788091691404478
66,Subflow Fwd Byts,0.3330587628933986
67,Subflow Bwd Pkts,0.024163136255200807
68,Subflow Bwd Byts,0.2831041710902588
69,Init Fwd Win Byts,0.3810304323474319
70,Init Bwd Win Byts,1.2620896492028668
71,Fwd Act Data Pkts,0.03834348485692415
72,Active Mean,0.00851443147573733
73,Active Std,0.0003041801079343853
74,Active Max,0.006846488920423404
75,Active Min,0.006406577029104259
76,Idle Mean,2.830004203888784e-06
77,Idle Std,0.0004581535344947268
78,Idle Max,1.8708838577134724e-18
79,Idle Min,6.047379818358887e-11
