,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.92636,0.9379571,0.91312,0.9253719
0,1,2,0.96464,0.94800985,0.9832,0.96528435
0,1,3,0.96528,0.9480049,0.98456,0.9659367
0,1,4,0.96652,0.9445757,0.9912,0.96732634
0,1,5,0.9654,0.9534648,0.97856,0.96584946
0,1,6,0.94676,0.93260515,0.96312,0.94761693
0,1,7,0.91592,0.8659206,0.98424,0.921297
0,1,8,0.94832,0.93884104,0.95912,0.94887215
0,1,9,0.96344,0.94390804,0.98544,0.964227
0,1,10,0.9338,0.92706937,0.94168,0.9343176
0,2,1,0.96316,0.95184577,0.97568,0.96361554
0,2,2,0.96404,0.9443125,0.98624,0.96482104
0,2,3,0.9652,0.94463986,0.98832,0.96598643
0,2,4,0.9702,0.9543873,0.9876,0.9707097
0,2,5,0.94812,0.94715416,0.9492,0.94817597
0,2,6,0.96152,0.9395094,0.98656,0.96246004
0,2,7,0.96948,0.95124954,0.98968,0.9700843
0,2,8,0.95144,0.93764544,0.9672,0.9521934
0,2,9,0.96864,0.953125,0.98576,0.9691678
0,2,10,0.95672,0.9543212,0.95936,0.95683396
0,3,1,0.97004,0.9536715,0.98808,0.9705709
0,3,2,0.96656,0.9447834,0.99104,0.967359
0,3,3,0.96384,0.9405106,0.99032,0.9647728
0,3,4,0.96408,0.9437051,0.98704,0.9648862
0,3,5,0.96464,0.95114183,0.9796,0.9651612
0,3,6,0.965,0.9476319,0.9844,0.96566606
0,3,7,0.9618,0.9414239,0.98488,0.96266174
0,3,8,0.96768,0.9494848,0.98792,0.96832114
0,3,9,0.95668,0.9464998,0.96808,0.9571683
0,3,10,0.96184,0.9492607,0.97584,0.9623669
0,4,1,0.96784,0.95172256,0.98568,0.96840376
0,4,2,0.9612,0.9345696,0.99184,0.9623535
0,4,3,0.94816,0.9325201,0.96624,0.94908065
0,4,4,0.96968,0.95259017,0.98856,0.9702418
0,4,5,0.96876,0.95695233,0.98168,0.9691585
0,4,6,0.9616,0.94425625,0.98112,0.9623352
0,4,7,0.96536,0.9543821,0.97744,0.96577346
0,4,8,0.96844,0.9524067,0.98616,0.9689895
0,4,9,0.95008,0.9391196,0.96256,0.95069534
0,4,10,0.90764,0.85051936,0.98912,0.9145985
0,5,1,0.876,0.8284876,0.94832,0.8843629
0,5,2,0.9624,0.9400792,0.98776,0.96333
0,5,3,0.96644,0.9475017,0.9876,0.9671354
0,5,4,0.9698,0.9534399,0.98784,0.9703352
0,5,5,0.96736,0.9495229,0.9872,0.967995
0,5,6,0.94972,0.94625705,0.9536,0.94991434
0,5,7,0.96864,0.9558755,0.98264,0.969073
0,5,8,0.9494,0.9459395,0.95328,0.9495955
0,5,9,0.94328,0.93452007,0.95336,0.943846
0,5,10,0.96868,0.95319873,0.98576,0.969206
