Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,8.867017208570531e-08
2,Dst IP,0.0
3,Dst Port,0.009465325417109215
4,Protocol,9.16630929634315e-07
5,Flow Duration,0.0009423794798507119
6,Tot Fwd Pkts,0.0032876774340396112
7,Tot Bwd Pkts,1.2902057814169157e-07
8,TotLen Fwd Pkts,4.3423158692431335e-05
9,TotLen Bwd Pkts,9.987573648028833e-06
10,Fwd Pkt Len Max,1.2411702136745007e-06
11,Fwd Pkt Len Min,1.3212633543133147e-06
12,Fwd Pkt Len Mean,2.055116080600249e-06
13,Fwd Pkt Len Std,1.50995772094388e-15
14,Bwd Pkt Len Max,5.436697893676669e-07
15,Bwd Pkt Len Min,5.572205915512659e-07
16,Bwd Pkt Len Mean,5.419629155386958e-07
17,Bwd Pkt Len Std,0.0
18,Flow Byts/s,1.0208294728063262e-09
19,Flow Pkts/s,6.846131204599471e-07
20,Flow IAT Mean,3.5746793073459314e-05
21,Flow IAT Std,7.295153878025445e-06
22,Flow IAT Max,3.6787653766178995e-05
23,Flow IAT Min,5.6992473213263184e-05
24,Fwd IAT Tot,5.013737321889775e-05
25,Fwd IAT Mean,8.231063153676463e-05
26,Fwd IAT Std,0.0
27,Fwd IAT Max,0.00011917339648707973
28,Fwd IAT Min,0.0006546885406398836
29,Bwd IAT Tot,1.7663955953506927e-07
30,Bwd IAT Mean,0.0008413874047663889
31,Bwd IAT Std,0.0
32,Bwd IAT Max,5.657591728249708e-07
33,Bwd IAT Min,7.46543691781226e-09
34,Fwd PSH Flags,5.097607764099595e-16
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.10912695512743724
39,Bwd Header Len,7.866420177411506e-06
40,Fwd Pkts/s,0.00024266829730589215
41,Bwd Pkts/s,0.0002979590792344178
42,Pkt Len Min,9.020082476114905e-06
43,Pkt Len Max,9.794513319986459e-05
44,Pkt Len Mean,1.2784286668435133e-05
45,Pkt Len Std,7.407716786680238e-14
46,Pkt Len Var,1.2529650225558139e-11
47,FIN Flag Cnt,2.930231129738188e-11
48,SYN Flag Cnt,9.434886582862029e-05
49,RST Flag Cnt,1.2559308054454794e-16
50,PSH Flag Cnt,3.1098143967661672e-15
51,ACK Flag Cnt,5.694086789321738e-11
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,2.2691002211833065e-08
56,Pkt Size Avg,0.00014283536833547774
57,Fwd Seg Size Avg,5.119526653285244e-05
58,Bwd Seg Size Avg,7.446282500111206e-06
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,6.954181909830343e-08
64,Bwd Blk Rate Avg,3.96668894146753e-14
65,Subflow Fwd Pkts,4.11231600388221e-07
66,Subflow Fwd Byts,1.1741500729185795e-05
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,6.31747190906502e-06
69,Init Fwd Win Byts,2.869071119257417e-05
70,Init Bwd Win Byts,5.0792178579381343e-14
71,Fwd Act Data Pkts,3.0337489831578683e-07
72,Active Mean,0.0
73,Active Std,0.0
74,Active Max,0.0
75,Active Min,0.0
76,Idle Mean,0.0
77,Idle Std,3.686273836206162e-07
78,Idle Max,0.0
79,Idle Min,0.0
