,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96156,0.9439101,0.98144,0.9623093
0,1,2,0.96428,0.9470765,0.98352,0.96495426
0,1,3,0.96744,0.9493924,0.98752,0.96808094
0,1,4,0.96516,0.94923896,0.98288,0.96576667
0,1,5,0.96524,0.9482772,0.98416,0.9658854
0,1,6,0.97104,0.9459255,0.9992,0.97183317
0,1,7,0.96508,0.9504145,0.98136,0.9656394
0,1,8,0.96428,0.9473522,0.9832,0.96494323
0,1,9,0.96492,0.9473482,0.98456,0.9655957
0,1,10,0.96136,0.94347894,0.98152,0.9621236
0,2,1,0.99872,0.9980029,0.99944,0.99872094
0,2,2,0.9646,0.94883686,0.98216,0.96521086
0,2,3,0.96548,0.9486468,0.98424,0.96611565
0,2,4,0.96332,0.94546574,0.98336,0.9640406
0,2,5,0.9636,0.9463873,0.98288,0.96428853
0,2,6,0.9636,0.9479054,0.98112,0.9642267
0,2,7,0.97116,0.9470209,0.99816,0.97191817
0,2,8,0.96428,0.9475592,0.98296,0.964935
0,2,9,0.96544,0.9498222,0.9828,0.96602976
0,2,10,0.96332,0.94677156,0.98184,0.963987
0,3,1,0.96424,0.9471413,0.98336,0.9649109
0,3,2,0.9634,0.94705564,0.98168,0.964057
0,3,3,0.97148,0.94780034,0.99792,0.97221464
0,3,4,0.9656,0.9502553,0.98264,0.96617633
0,3,5,0.971,0.9468691,0.998,0.9717625
0,3,6,0.96432,0.94708055,0.9836,0.96499497
0,3,7,0.96336,0.9469136,0.98176,0.964022
0,3,8,0.96476,0.9482293,0.9832,0.9653981
0,3,9,0.96416,0.94775426,0.98248,0.96480477
0,3,10,0.96336,0.94499075,0.984,0.9641009
0,4,1,0.96404,0.946364,0.98384,0.96473825
0,4,2,0.96516,0.9493084,0.9828,0.9657639
0,4,3,0.96364,0.9472181,0.982,0.96429557
0,4,4,0.96548,0.9498956,0.9828,0.96606773
0,4,5,0.99844,0.9983204,0.99856,0.9984402
0,4,6,0.96444,0.9476444,0.9832,0.96509486
0,4,7,0.96452,0.94765246,0.98336,0.9651761
0,4,8,0.96144,0.94328314,0.98192,0.9622139
0,4,9,0.96488,0.9468625,0.98504,0.965574
0,4,10,0.96432,0.94721836,0.98344,0.96498936
0,5,1,0.96452,0.94689447,0.98424,0.96520615
0,5,2,0.963,0.9442696,0.98408,0.96376383
0,5,3,0.99172,0.99757147,0.98584,0.991671
0,5,4,0.9636,0.94783616,0.9812,0.9642295
0,5,5,0.96596,0.9503595,0.98328,0.9665395
0,5,6,0.96432,0.94714946,0.98352,0.96499217
0,5,7,0.965,0.9479769,0.984,0.96565264
0,5,8,0.96368,0.9468774,0.98248,0.9643502
0,5,9,0.96288,0.94541955,0.98248,0.96359354
0,5,10,0.96576,0.95075876,0.9824,0.96632046
