Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,1.202279943398741e-06
2,Dst IP,0.0
3,Dst Port,0.005886741860219514
4,Protocol,2.5436191533379924e-05
5,Flow Duration,3.338230499750498e-06
6,Tot Fwd Pkts,4.865388347304818e-05
7,Tot Bwd Pkts,0.0001076844593379474
8,TotLen Fwd Pkts,0.004771505475746515
9,TotLen Bwd Pkts,0.013034020265018115
10,Fwd Pkt Len Max,0.00451264031636765
11,Fwd Pkt Len Min,0.0025284115347030357
12,Fwd Pkt Len Mean,0.001246984798722517
13,Fwd Pkt Len Std,0.0003658343690558568
14,Bwd Pkt Len Max,0.012368726473461092
15,Bwd Pkt Len Min,0.00015819900772709997
16,Bwd Pkt Len Mean,0.0016471271626655182
17,Bwd Pkt Len Std,0.004430062127781111
18,Flow Byts/s,0.00031218434397096685
19,Flow Pkts/s,0.0004967399713658888
20,Flow IAT Mean,3.247246759648349e-06
21,Flow IAT Std,0.0020235985550261858
22,Flow IAT Max,1.470326423602836e-06
23,Flow IAT Min,2.528019490710596e-06
24,Fwd IAT Tot,8.493006557167696e-05
25,Fwd IAT Mean,0.00156260137222394
26,Fwd IAT Std,0.0010654736814710534
27,Fwd IAT Max,1.774452104027121e-05
28,Fwd IAT Min,1.453844687846907e-05
29,Bwd IAT Tot,0.0008504971275551249
30,Bwd IAT Mean,0.002085821340999846
31,Bwd IAT Std,0.0015894772723625279
32,Bwd IAT Max,0.0038082754033405253
33,Bwd IAT Min,0.0012015375980048266
34,Fwd PSH Flags,2.888528653825707e-08
35,Bwd PSH Flags,1.57504453242524e-07
36,Fwd URG Flags,0.0
37,Bwd URG Flags,6.396316513832879e-18
38,Fwd Header Len,0.004600172284217765
39,Bwd Header Len,0.0015113651904971974
40,Fwd Pkts/s,0.0007960932473452531
41,Bwd Pkts/s,0.0014777900082389185
42,Pkt Len Min,0.000828383705429391
43,Pkt Len Max,0.009908931257203003
44,Pkt Len Mean,0.0009476091916043421
45,Pkt Len Std,0.00033600651403294915
46,Pkt Len Var,0.0015981375254421053
47,FIN Flag Cnt,2.7185653134251347e-06
48,SYN Flag Cnt,6.276844350942616e-05
49,RST Flag Cnt,4.0345323202653024e-07
50,PSH Flag Cnt,0.00015704834158728764
51,ACK Flag Cnt,0.0004668354526829641
52,URG Flag Cnt,7.504480884436737e-18
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,5.727866174748508e-06
56,Pkt Size Avg,0.0011275865677507874
57,Fwd Seg Size Avg,0.0006627370302307999
58,Bwd Seg Size Avg,0.0020622920285266444
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,3.4560651134553835e-05
64,Bwd Blk Rate Avg,0.0012759361303837148
65,Subflow Fwd Pkts,7.39149927391252e-05
66,Subflow Fwd Byts,0.0023510960108479757
67,Subflow Bwd Pkts,3.55682549945667e-05
68,Subflow Bwd Byts,0.030296152713186853
69,Init Fwd Win Byts,0.025429208308135227
70,Init Bwd Win Byts,0.1685017376074891
71,Fwd Act Data Pkts,0.001061769336225888
72,Active Mean,0.0011110547905792516
73,Active Std,0.002562275440507065
74,Active Max,0.00037767747761314357
75,Active Min,0.007126044387979705
76,Idle Mean,0.0012239412422707064
77,Idle Std,0.011914399667316389
78,Idle Max,0.004191693177785047
79,Idle Min,0.00913239102377484
