,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5,0.5,1.0,0.6666667
0,1,2,0.73052,0.6532794,0.98248,0.7847535
0,1,3,0.73296,0.6553564,0.98272,0.786327
0,1,4,0.738,0.6590569,0.98616,0.790091
0,1,5,0.73108,0.65366817,0.98296,0.7851871
0,1,6,0.9754,0.9585616,0.99376,0.9758435
0,1,7,0.5,0.0,0.0,0.0
0,1,8,0.96188,0.9497546,0.97536,0.96238697
0,1,9,0.5,0.5,1.0,0.6666667
0,1,10,0.72968,0.65266407,0.98192,0.7841309
0,2,1,0.95956,0.9458977,0.97488,0.96017015
0,2,2,0.5,0.0,0.0,0.0
0,2,3,0.73188,0.6540035,0.98472,0.7859902
0,2,4,0.7272,0.6501057,0.984,0.78294086
0,2,5,0.73248,0.6552185,0.98136,0.78579205
0,2,6,0.72948,0.65207016,0.984,0.78436375
0,2,7,0.73244,0.6549352,0.98256,0.7859725
0,2,8,0.7332,0.65538377,0.9836,0.7866283
0,2,9,0.7408,0.66198474,0.98408,0.7915193
0,2,10,0.68504,0.65275395,0.79072,0.7151436
0,3,1,0.5,0.5,1.0,0.6666667
0,3,2,0.69632,0.6246951,0.98352,0.76407707
0,3,3,0.731,0.65343535,0.98376,0.78527415
0,3,4,0.5,0.5,1.0,0.6666667
0,3,5,0.5,0.0,0.0,0.0
0,3,6,0.5,0.5,1.0,0.6666667
0,3,7,0.73052,0.6532142,0.9828,0.78480846
0,3,8,0.5,0.5,1.0,0.6666667
0,3,9,0.99092,0.9982948,0.98352,0.9908523
0,3,10,0.5,0.0,0.0,0.0
0,4,1,0.728,0.65108144,0.98256,0.7831909
0,4,2,0.96548,0.96746206,0.96336,0.96540666
0,4,3,0.5,0.5,1.0,0.6666667
0,4,4,0.5,0.5,1.0,0.6666667
0,4,5,0.73376,0.65579015,0.984,0.7870489
0,4,6,0.96336,0.96589446,0.96064,0.9632601
0,4,7,0.7308,0.65321296,0.984,0.7851899
0,4,8,0.5,0.0,0.0,0.0
0,4,9,0.5,0.0,0.0,0.0
0,4,10,0.73032,0.6531709,0.98216,0.7845731
0,5,1,0.5,0.5,1.0,0.6666667
0,5,2,0.73212,0.6544748,0.98344,0.7859221
0,5,3,0.50984,0.5179353,0.28416,0.36698005
0,5,4,0.96688,0.9550842,0.97984,0.96730375
0,5,5,0.96788,0.9566643,0.98016,0.96826965
0,5,6,0.78228,0.7015249,0.98264,0.81862104
0,5,7,0.73036,0.6528316,0.984,0.7849143
0,5,8,0.5,0.0,0.0,0.0
0,5,9,0.7326,0.6545474,0.98512,0.7865104
0,5,10,0.72892,0.6520861,0.98152,0.7835861
