Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.00024534317039738617
2,Dst IP,0.0
3,Dst Port,0.00027270433266617523
4,Protocol,0.0009780796129487395
5,Flow Duration,0.009180574840953188
6,Tot Fwd Pkts,0.001193614284116046
7,Tot Bwd Pkts,0.00017197370074409612
8,TotLen Fwd Pkts,0.010158390012581554
9,TotLen Bwd Pkts,0.010130555487750983
10,Fwd Pkt Len Max,0.009070050582729403
11,Fwd Pkt Len Min,0.009014927853881144
12,Fwd Pkt Len Mean,0.00972798259500225
13,Fwd Pkt Len Std,0.0015126370082260978
14,Bwd Pkt Len Max,0.009224437543409241
15,Bwd Pkt Len Min,0.006284770500808452
16,Bwd Pkt Len Mean,0.006340635532034883
17,Bwd Pkt Len Std,0.0010985731307639355
18,Flow Byts/s,0.0010964987345651067
19,Flow Pkts/s,0.00013319619027702737
20,Flow IAT Mean,0.006363822465180437
21,Flow IAT Std,0.007023475566754925
22,Flow IAT Max,0.006532361280801863
23,Flow IAT Min,0.011156506954065691
24,Fwd IAT Tot,0.01651151289689228
25,Fwd IAT Mean,0.00552485010244774
26,Fwd IAT Std,0.002773235308533044
27,Fwd IAT Max,0.008434941630591487
28,Fwd IAT Min,0.008095485260520483
29,Bwd IAT Tot,0.016539875546884273
30,Bwd IAT Mean,0.011895322940369723
31,Bwd IAT Std,0.0037899655699796613
32,Bwd IAT Max,0.01507466101547968
33,Bwd IAT Min,0.0202694454429442
34,Fwd PSH Flags,0.0
35,Bwd PSH Flags,1.4220704873244648e-05
36,Fwd URG Flags,0.0
37,Bwd URG Flags,7.669858376857518e-09
38,Fwd Header Len,0.024333498024206222
39,Bwd Header Len,0.0239053221384605
40,Fwd Pkts/s,0.2813192666496646
41,Bwd Pkts/s,0.001065057482543292
42,Pkt Len Min,0.056725647391653714
43,Pkt Len Max,0.0770371089327955
44,Pkt Len Mean,0.07760233358789222
45,Pkt Len Std,0.04055021373637116
46,Pkt Len Var,0.06454770629943889
47,FIN Flag Cnt,1.687530158960726e-07
48,SYN Flag Cnt,0.0002185235713005008
49,RST Flag Cnt,1.6276614665002856e-07
50,PSH Flag Cnt,5.264526058274868e-05
51,ACK Flag Cnt,0.0005030544355546891
52,URG Flag Cnt,5.743868314311838e-08
53,CWE Flag Count,2.681775033124723e-07
54,ECE Flag Cnt,1.5524659738730404e-08
55,Down/Up Ratio,0.0005800065081752607
56,Pkt Size Avg,0.08937977358972007
57,Fwd Seg Size Avg,0.06677910031394527
58,Bwd Seg Size Avg,0.16885391894293303
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.005453680652412735
66,Subflow Fwd Byts,0.2197157517340531
67,Subflow Bwd Pkts,0.005207971681732633
68,Subflow Bwd Byts,0.16413659138901973
69,Init Fwd Win Byts,0.0
70,Init Bwd Win Byts,1.5736298467155478
71,Fwd Act Data Pkts,0.04860611196143432
72,Active Mean,0.0028034051604479944
73,Active Std,0.00017771460086559582
74,Active Max,0.005374430609178536
75,Active Min,0.005649766704522791
76,Idle Mean,0.43710236528386426
77,Idle Std,0.4872101970662725
78,Idle Max,0.7006698049103115
79,Idle Min,0.9571326752468824
