,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.94672024,0.9468361,0.9465906,0.9467134
0,1,2,0.9258491,0.9538547,0.8949961,0.92348856
0,1,3,0.94555354,0.9329806,0.9600726,0.9463327
0,1,4,0.9250713,0.9515285,0.89577395,0.92280984
0,1,5,0.9516463,0.9370296,0.9683692,0.95244163
0,1,6,0.94788694,0.9298333,0.96888775,0.9489589
0,1,7,0.9439979,0.92003924,0.9725175,0.9455508
0,1,8,0.92558986,0.95034295,0.89810735,0.92348707
0,1,9,0.9433498,0.9283567,0.9608504,0.94432414
0,1,10,0.95125747,0.9411914,0.96266526,0.9518072
0,2,1,0.9394607,0.9254518,0.9559243,0.9404413
0,2,2,0.94438684,0.9242574,0.9681099,0.9456755
0,2,3,0.94296086,0.9280882,0.96033186,0.94393474
0,2,4,0.95151675,0.9482626,0.9551465,0.9516921
0,2,5,0.942183,0.93166286,0.95436865,0.9428791
0,2,6,0.9218304,0.96672404,0.8737361,0.917881
0,2,7,0.9499611,0.92862433,0.9748509,0.9511763
0,2,8,0.9484055,0.9271425,0.97329533,0.94965845
0,2,9,0.9486648,0.9295111,0.97096187,0.94978446
0,2,10,0.9462017,0.93415743,0.9600726,0.94693774
0,3,1,0.94905365,0.9319202,0.96888775,0.9500445
0,3,2,0.9460721,0.93326616,0.9608504,0.9468574
0,3,3,0.94179416,0.9257871,0.96059114,0.942868
0,3,4,0.94594246,0.9341242,0.9595541,0.9466684
0,3,5,0.94827586,0.9243986,0.9764065,0.9496911
0,3,6,0.945035,0.92393184,0.9699248,0.9463698
0,3,7,0.9430905,0.92406946,0.9655172,0.9443388
0,3,8,0.95009077,0.9337831,0.96888775,0.9510116
0,3,9,0.9469795,0.9336016,0.96240604,0.947785
0,3,10,0.9456832,0.9394172,0.9528131,0.9460677
0,4,1,0.9430905,0.92554784,0.9637024,0.9442398
0,4,2,0.94944257,0.9510799,0.94762766,0.9493506
0,4,3,0.9439979,0.92952096,0.9608504,0.9449261
0,4,4,0.9468499,0.9316304,0.96448016,0.9477707
0,4,5,0.9416645,0.9230196,0.9637024,0.94292235
0,4,6,0.9528131,0.9334822,0.9751102,0.9538422
0,4,7,0.92636764,0.9472396,0.90303344,0.9246084
0,4,8,0.94412756,0.92005885,0.9727768,0.9456837
0,4,9,0.94970185,0.9455433,0.95436865,0.9499355
0,4,10,0.9495722,0.9296333,0.9727768,0.9507159
0,5,1,0.94373864,0.92691445,0.9634431,0.9448259
0,5,2,0.9495722,0.94415987,0.95566505,0.9498777
0,5,3,0.94594246,0.9381049,0.9548872,0.9464217
0,5,4,0.94296086,0.92363006,0.9657765,0.94423324
0,5,5,0.9522945,0.95299923,0.95151675,0.9522574
0,5,6,0.94257194,0.92399406,0.96448016,0.94380313
0,5,7,0.95060927,0.9323383,0.9717397,0.9516313
0,5,8,0.9493129,0.9302383,0.9714804,0.9504122
0,5,9,0.9493129,0.9434493,0.9559243,0.9496458
0,5,10,0.9410163,0.935707,0.94710916,0.9413736
