Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.0002509116944422491
2,Dst IP,0.0
3,Dst Port,0.0001692091189406029
4,Protocol,1.871532050882531e-05
5,Flow Duration,0.02110699307666704
6,Tot Fwd Pkts,0.0030536715766424265
7,Tot Bwd Pkts,0.0015502915158437792
8,TotLen Fwd Pkts,0.032223929564893165
9,TotLen Bwd Pkts,0.005681320699874506
10,Fwd Pkt Len Max,0.015100330851244436
11,Fwd Pkt Len Min,0.00039513673548339227
12,Fwd Pkt Len Mean,0.013207921006576261
13,Fwd Pkt Len Std,0.016440612231005416
14,Bwd Pkt Len Max,0.013912529593818829
15,Bwd Pkt Len Min,0.00022929503914284076
16,Bwd Pkt Len Mean,0.025270546857439576
17,Bwd Pkt Len Std,0.044646793790916676
18,Flow Byts/s,0.011821053747289686
19,Flow Pkts/s,0.004110079180567668
20,Flow IAT Mean,0.011086023549928313
21,Flow IAT Std,0.017487792399650575
22,Flow IAT Max,0.011052980043752875
23,Flow IAT Min,0.017808887612367003
24,Fwd IAT Tot,0.009443069689475315
25,Fwd IAT Mean,0.006474008258856944
26,Fwd IAT Std,0.006438155256618229
27,Fwd IAT Max,0.014289947882540482
28,Fwd IAT Min,0.02436961428580537
29,Bwd IAT Tot,0.014399359036517467
30,Bwd IAT Mean,0.01272116799860501
31,Bwd IAT Std,0.014720056090599981
32,Bwd IAT Max,0.01675470502179852
33,Bwd IAT Min,0.013085826837642681
34,Fwd PSH Flags,1.421242650691317e-06
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.025722165451834
39,Bwd Header Len,0.022169438349873637
40,Fwd Pkts/s,0.03173993956862293
41,Bwd Pkts/s,0.20023104947566922
42,Pkt Len Min,0.0013283556034399443
43,Pkt Len Max,0.04928165565586504
44,Pkt Len Mean,0.032006955584475534
45,Pkt Len Std,0.021475363939237484
46,Pkt Len Var,0.1162237435577961
47,FIN Flag Cnt,0.001386849250274826
48,SYN Flag Cnt,0.0011085783744489426
49,RST Flag Cnt,7.844245707968249e-05
50,PSH Flag Cnt,0.0029302184056956633
51,ACK Flag Cnt,0.007105875452231303
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,0.00025649168903170416
56,Pkt Size Avg,0.10324959274676597
57,Fwd Seg Size Avg,0.08735839067202525
58,Bwd Seg Size Avg,0.0892264665147309
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0110626625296267
64,Bwd Blk Rate Avg,3.280881355254086
65,Subflow Fwd Pkts,0.003049938584081159
66,Subflow Fwd Byts,0.10052374461693132
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,0.10229628239686214
69,Init Fwd Win Byts,1.4090091154530353
70,Init Bwd Win Byts,1.8302883256180695
71,Fwd Act Data Pkts,0.030006194766396606
72,Active Mean,0.0
73,Active Std,0.0
74,Active Max,0.0
75,Active Min,0.0
76,Idle Mean,0.0
77,Idle Std,0.347735960426025
78,Idle Max,0.0
79,Idle Min,0.001325559220662325
