,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96488,0.93436986,1.0,0.9660716
0,1,2,0.96576,0.93597424,0.99992,0.966891
0,1,3,0.9608,0.9344547,0.99112,0.9619536
0,1,4,0.96972,0.9442385,0.9984,0.97056425
0,1,5,0.96092,0.93479735,0.99096,0.9620597
0,1,6,0.77388,0.6885914,1.0,0.81558084
0,1,7,0.968,0.94004816,0.99976,0.968985
0,1,8,0.96612,0.93654007,1.0,0.9672302
0,1,9,0.5,0.0,0.0,0.0
0,1,10,0.969,0.9416196,1.0,0.9699321
0,2,1,0.96804,0.93998647,0.99992,0.96902746
0,2,2,0.96944,0.94240046,1.0,0.9703462
0,2,3,0.60036,0.55577785,1.0,0.71446943
0,2,4,0.77524,0.68988353,1.0,0.81648654
0,2,5,0.96612,0.93654007,1.0,0.9672302
0,2,6,0.96476,0.9404139,0.9924,0.96570784
0,2,7,0.96604,0.93639976,1.0,0.96715546
0,2,8,0.96028,0.93590426,0.98824,0.9613604
0,2,9,0.93536,0.88552,1.0,0.9392846
0,2,10,0.9646,0.9338812,1.0,0.9658103
0,3,1,0.72584,0.92643505,0.49064,0.6415272
0,3,2,0.96784,0.93963313,0.99992,0.96883965
0,3,3,0.96716,0.9384338,0.99992,0.96820176
0,3,4,0.96488,0.93443483,0.99992,0.966069
0,3,5,0.96608,0.9364699,1.0,0.9671928
0,3,6,0.9494,0.9082782,0.99976,0.95182604
0,3,7,0.5,0.5,1.0,0.6666667
0,3,8,0.95548,0.9182399,1.0,0.95737755
0,3,9,0.94212,0.8983637,0.99704,0.94513327
0,3,10,0.96584,0.93611443,0.99992,0.9669658
0,4,1,0.96956,0.9432153,0.99928,0.97043854
0,4,2,0.96144,0.9296782,0.9984,0.9628144
0,4,3,0.96176,0.93359375,0.99424,0.9629629
0,4,4,0.96476,0.93416035,1.0,0.96595955
0,4,5,0.96584,0.93611443,0.99992,0.9669658
0,4,6,0.95244,0.91314197,1.0,0.95459926
0,4,7,0.96672,0.93759376,1.0,0.9677919
0,4,8,0.95636,0.9197263,1.0,0.9581848
0,4,9,0.72536,0.92373645,0.49128,0.64142466
0,4,10,0.97084,0.9448938,1.0,0.97166616
0,5,1,0.96016,0.92714983,0.9988,0.96164215
0,5,2,0.96432,0.9334578,0.99992,0.96554655
0,5,3,0.93672,0.89043057,0.996,0.94026136
0,5,4,0.96532,0.93546456,0.9996,0.9664694
0,5,5,0.9712,0.9455371,1.0,0.97200626
0,5,6,0.96604,0.93639976,1.0,0.96715546
0,5,7,0.95764,0.9218969,1.0,0.95936143
0,5,8,0.96496,0.9345096,1.0,0.9661463
0,5,9,0.49764,0.49766225,0.5024,0.5000199
0,5,10,0.96364,0.93220973,1.0,0.9649157
