Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.030943585717993292
2,Dst IP,0.0
3,Dst Port,0.1271100555517225
4,Protocol,0.010453707048520664
5,Flow Duration,0.06054366877174648
6,Tot Fwd Pkts,0.0
7,Tot Bwd Pkts,0.0
8,TotLen Fwd Pkts,0.0
9,TotLen Bwd Pkts,0.0
10,Fwd Pkt Len Max,0.0
11,Fwd Pkt Len Min,0.0
12,Fwd Pkt Len Mean,0.0
13,Fwd Pkt Len Std,0.0
14,Bwd Pkt Len Max,0.0
15,Bwd Pkt Len Min,0.0
16,Bwd Pkt Len Mean,0.0
17,Bwd Pkt Len Std,0.0
18,Flow Byts/s,0.0
19,Flow Pkts/s,0.0
20,Flow IAT Mean,0.14535920782199213
21,Flow IAT Std,0.16214424705513988
22,Flow IAT Max,0.16201973740422776
23,Flow IAT Min,0.2637171544861366
24,Fwd IAT Tot,0.0
25,Fwd IAT Mean,0.4624437131919992
26,Fwd IAT Std,0.06554648779656164
27,Fwd IAT Max,0.14476149556034393
28,Fwd IAT Min,0.8794503784402113
29,Bwd IAT Tot,0.0
30,Bwd IAT Mean,1.5592022893848423
31,Bwd IAT Std,0.04505254466737586
32,Bwd IAT Max,0.2461219000863132
33,Bwd IAT Min,0.47153505227758874
34,Fwd PSH Flags,0.01835788409374204
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.0
39,Bwd Header Len,0.0
40,Fwd Pkts/s,0.0
41,Bwd Pkts/s,0.0
42,Pkt Len Min,0.0
43,Pkt Len Max,0.0
44,Pkt Len Mean,0.0
45,Pkt Len Std,0.0
46,Pkt Len Var,0.0
47,FIN Flag Cnt,0.0
48,SYN Flag Cnt,0.0
49,RST Flag Cnt,0.0
50,PSH Flag Cnt,0.0
51,ACK Flag Cnt,0.0
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,0.004540259651619147
56,Pkt Size Avg,0.0
57,Fwd Seg Size Avg,0.0
58,Bwd Seg Size Avg,0.0
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.0
66,Subflow Fwd Byts,0.0
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,0.0
69,Init Fwd Win Byts,0.0
70,Init Bwd Win Byts,0.0
71,Fwd Act Data Pkts,0.1509586793337724
72,Active Mean,0.010853038999337147
73,Active Std,2.8451835057542675e-05
74,Active Max,0.0006819664348773266
75,Active Min,0.0016835134411911333
76,Idle Mean,0.0
77,Idle Std,0.0
78,Idle Max,0.0
79,Idle Min,0.0
