,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.514,0.5070994,1.0,0.6729475
0,1,2,0.99316,0.99264765,0.99368,0.9931636
0,1,3,0.51428,0.50724345,1.0,0.67307436
0,1,4,0.51396,0.5070788,1.0,0.67292935
0,1,5,0.51436,0.5072846,1.0,0.67311054
0,1,6,0.51328,0.50672936,1.0,0.6726216
0,1,7,0.99232,0.9909845,0.99368,0.99233043
0,1,8,0.99016,0.9877408,0.99264,0.9901844
0,1,9,0.9952,0.99433,0.99608,0.9952042
0,1,10,0.99408,0.99384296,0.99432,0.9940814
0,2,1,0.9944,0.9921166,0.99672,0.994413
0,2,2,0.5,0.0,0.0,0.0
0,2,3,0.9886,0.9798099,0.99776,0.9887035
0,2,4,0.99664,0.9972765,0.996,0.9966378
0,2,5,0.99372,0.99344367,0.994,0.9937218
0,2,6,0.99392,0.99718153,0.99064,0.9939
0,2,7,0.51312,0.5066472,1.0,0.67254925
0,2,8,0.99504,0.9944072,0.99568,0.99504316
0,2,9,0.99436,0.9955891,0.99312,0.994353
0,2,10,0.9906,0.9904823,0.99072,0.9906011
0,3,1,0.51556,0.507903,1.0,0.67365474
0,3,2,0.51384,0.50701714,1.0,0.6728751
0,3,3,0.7546,0.7353398,0.79552,0.76424706
0,3,4,0.99484,0.99614984,0.99352,0.99483323
0,3,5,0.51404,0.50711995,1.0,0.67296565
0,3,6,0.9948,0.9936941,0.99592,0.9948058
0,3,7,0.97548,0.9846693,0.966,0.97524536
0,3,8,0.51348,0.5068321,1.0,0.67271215
0,3,9,0.51444,0.50732577,1.0,0.6731468
0,3,10,0.99464,0.99774593,0.99152,0.99462324
0,4,1,0.995,0.99694806,0.99304,0.99499017
0,4,2,0.99248,0.99004936,0.99496,0.9924986
0,4,3,0.98568,0.9875522,0.98376,0.98565245
0,4,4,0.51492,0.507573,1.0,0.6733644
0,4,5,0.51376,0.506976,1.0,0.67283887
0,4,6,0.9834,0.9783865,0.98864,0.98348653
0,4,7,0.99068,0.9966799,0.98464,0.9906234
0,4,8,0.99608,0.99679536,0.99536,0.9960772
0,4,9,0.51468,0.5074493,1.0,0.67325556
0,4,10,0.51344,0.50681156,1.0,0.67269397
0,5,1,0.51424,0.50722283,1.0,0.6730562
0,5,2,0.5154,0.5078204,1.0,0.67358214
0,5,3,0.51372,0.50695544,1.0,0.67282075
0,5,4,0.99752,0.99577487,0.99928,0.9975243
0,5,5,0.99056,0.9870532,0.99416,0.9905939
0,5,6,0.9938,0.9975816,0.99,0.9937764
0,5,7,0.51336,0.50677043,1.0,0.6726578
0,5,8,0.99636,0.997275,0.99544,0.9963566
0,5,9,0.99472,0.99487835,0.99456,0.99471915
0,5,10,0.73708,0.71076024,0.79952,0.75253195
