Index,Feature,SHAP_value
0,Src Port,0.000653678236146615
1,Dst Port,0.32842816705715117
2,Protocol,0.05814806709922613
3,Flow Duration,0.14674022295538475
4,Tot Fwd Pkts,0.0
5,Tot Bwd Pkts,0.0
6,TotLen Fwd Pkts,0.0
7,TotLen Bwd Pkts,0.0
8,Fwd Pkt Len Max,0.0
9,Fwd Pkt Len Min,0.0
10,Fwd Pkt Len Mean,0.0
11,Fwd Pkt Len Std,0.0
12,Bwd Pkt Len Max,0.0
13,Bwd Pkt Len Min,0.0
14,Bwd Pkt Len Mean,0.0
15,Bwd Pkt Len Std,0.0
16,Flow Byts/s,0.0
17,Flow Pkts/s,0.0
18,Flow IAT Mean,0.3686519690816986
19,Flow IAT Std,0.1795780579065549
20,Flow IAT Max,0.08957560565907632
21,Flow IAT Min,0.03839669192692792
22,Fwd IAT Tot,0.0
23,Fwd IAT Mean,0.7990518512817758
24,Fwd IAT Std,0.6866493431937071
25,Fwd IAT Max,0.8813996182217616
26,Fwd IAT Min,0.1338630662807497
27,Bwd IAT Tot,0.0
28,Bwd IAT Mean,0.3512840488583463
29,Bwd IAT Std,0.1648148047020967
30,Bwd IAT Max,0.36173991620313106
31,Bwd IAT Min,0.10102151972962922
32,Fwd PSH Flags,4.133802186697722e-06
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.0
37,Bwd Header Len,0.0
38,Fwd Pkts/s,0.0
39,Bwd Pkts/s,0.0
40,Pkt Len Min,0.0
41,Pkt Len Max,0.0
42,Pkt Len Mean,0.0
43,Pkt Len Std,0.0
44,Pkt Len Var,0.0
45,FIN Flag Cnt,0.0
46,SYN Flag Cnt,0.0
47,RST Flag Cnt,0.0
48,PSH Flag Cnt,0.0
49,ACK Flag Cnt,0.0
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,0.04321662306411252
54,Pkt Size Avg,0.0
55,Fwd Seg Size Avg,0.0
56,Bwd Seg Size Avg,0.0
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.0
64,Subflow Fwd Byts,0.0
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.0
67,Init Fwd Win Byts,0.0
68,Fwd Act Data Pkts,0.19723629166927328
69,Active Mean,0.00019241105687490347
70,Active Std,3.1849347970749096e-06
71,Active Max,0.0001740275692271015
72,Active Min,9.201412035579886e-05
73,Idle Std,1.281664502142239e-05
