,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.847854,0.78639704,0.9551239,0.862587
0,1,2,0.9292292,0.9669662,0.88881445,0.9262448
0,1,3,0.9325222,0.9992269,0.8657066,0.9276871
0,1,4,0.5010884,0.50055933,0.9988838,0.66691506
0,1,5,0.9131551,0.9995951,0.82665473,0.9049365
0,1,6,0.9618798,0.9787136,0.94430184,0.9611998
0,1,7,0.8842375,0.9288562,0.83221704,0.8778851
0,1,8,0.9453003,0.970734,0.9182853,0.94378155
0,1,9,0.8993637,0.9548633,0.8383568,0.8928253
0,1,10,0.94792366,0.94538796,0.95077026,0.9480715
0,2,1,0.9246526,0.99947476,0.84974325,0.9185471
0,2,2,0.7545348,0.9884319,0.5150703,0.67723477
0,2,3,0.92666185,0.9809967,0.8701719,0.9222669
0,2,4,0.5035441,0.50179875,0.9964282,0.66746426
0,2,5,0.5021488,0.5010912,0.9995535,0.6675363
0,2,6,0.8285427,0.7972932,0.88112515,0.8371155
0,2,7,0.8959031,0.92165023,0.86537176,0.89262486
0,2,8,0.5,0.5,1.0,0.6666667
0,2,9,0.90187544,0.94204324,0.85644114,0.89720505
0,2,10,0.5,0.5,1.0,0.6666667
0,3,1,0.5000279,0.0,0.0,0.0
0,3,2,0.9541776,0.9869539,0.920518,0.952579
0,3,3,0.9305129,0.92235243,0.9401652,0.9311737
0,3,4,0.502372,0.501207,0.9965398,0.66696554
0,3,5,0.5048278,0.5024481,0.9965398,0.6680634
0,3,6,0.5039348,0.50199676,0.9962049,0.6675892
0,3,7,0.9296718,0.9895701,0.86849743,0.9250892
0,3,8,0.9510493,0.979357,0.9215227,0.94956005
0,3,9,0.9184528,0.9360242,0.8983032,0.9167758
0,3,10,0.95808214,0.97107106,0.9442956,0.95749617
0,4,1,0.91248536,0.99358803,0.8303193,0.90464604
0,4,2,0.9555729,0.98421925,0.92598796,0.954216
0,4,3,0.51230675,0.50625926,0.99319047,0.6706618
0,4,4,0.92035496,0.9418114,0.89608216,0.9183779
0,4,5,0.5000279,0.5000279,1.0,0.6666915
0,4,6,0.94318247,0.9709406,0.91371804,0.94146067
0,4,7,0.5,0.0,0.0,0.0
0,4,8,0.9172248,0.9259259,0.9070105,0.9163706
0,4,9,0.5,0.0,0.0,0.0
0,4,10,0.88630277,0.85782236,0.9260996,0.8906544
0,5,1,0.5000279,0.0,0.0,0.0
0,5,2,0.5798962,0.7532743,0.23755303,0.36119834
0,5,3,0.92688507,0.92142385,0.9333557,0.9273514
0,5,4,0.9378244,0.92733413,0.950106,0.93858194
0,5,5,0.9226433,0.9826641,0.8604755,0.91751957
0,5,6,0.9619914,0.96853065,0.9550173,0.9617265
0,5,7,0.9470864,0.9789524,0.91382,0.9452656
0,5,8,0.9522773,0.96128887,0.9425095,0.95180655
0,5,9,0.92224824,0.9285148,0.91493636,0.92167556
0,5,10,0.8381893,0.999835,0.6764903,0.8069778
