Index,Feature,SHAP_value
0,Src Port,0.00023287300496675545
1,Dst Port,0.0840259530190261
2,Protocol,0.006048108179642217
3,Flow Duration,0.04503231518476898
4,Tot Fwd Pkts,0.011769008843308825
5,Tot Bwd Pkts,0.004895901566709295
6,TotLen Fwd Pkts,0.07908600353218784
7,TotLen Bwd Pkts,0.10662293506680806
8,Fwd Pkt Len Max,0.07884352169380374
9,Fwd Pkt Len Min,0.018068403791922
10,Fwd Pkt Len Mean,0.029709318907558645
11,Fwd Pkt Len Std,0.025240635453713144
12,Bwd Pkt Len Max,0.08148928417049252
13,Bwd Pkt Len Min,0.03673272531548373
14,Bwd Pkt Len Mean,0.034003683003555676
15,Bwd Pkt Len Std,0.030589150775595063
16,Flow Byts/s,0.16068871457091877
17,Flow Pkts/s,0.06304182093323357
18,Flow IAT Mean,0.05491271078140343
19,Flow IAT Std,1.5358645184886526
20,Flow IAT Max,0.03294569012257785
21,Flow IAT Min,0.049795439215470506
22,Fwd IAT Tot,0.0571716337104969
23,Fwd IAT Mean,0.06464679177323533
24,Fwd IAT Std,0.15111687033672622
25,Fwd IAT Max,0.06344143605071566
26,Fwd IAT Min,0.08001495317119937
27,Bwd IAT Tot,0.36195464991970683
28,Bwd IAT Mean,0.608170966936821
29,Bwd IAT Std,0.23258228249818522
30,Bwd IAT Max,1.0529532933021146
31,Bwd IAT Min,0.15275621064218226
32,Fwd PSH Flags,6.545592630768029e-05
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,6.654433377661917e-09
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.07084160466037556
37,Bwd Header Len,0.13526054232467194
38,Fwd Pkts/s,0.20436151286276877
39,Bwd Pkts/s,0.26194520514932046
40,Pkt Len Min,0.06504837075998451
41,Pkt Len Max,0.36647101549365935
42,Pkt Len Mean,0.12155058141377388
43,Pkt Len Std,0.15235711540542982
44,Pkt Len Var,1.1532311145828458
45,FIN Flag Cnt,1.862243442407241e-05
46,SYN Flag Cnt,9.219590511386634e-05
47,RST Flag Cnt,0.0010856607609493417
48,PSH Flag Cnt,0.0022227826774745517
49,ACK Flag Cnt,0.0018521379724833384
50,URG Flag Cnt,0.00030271983953676835
51,CWE Flag Count,3.427255630867876e-08
52,ECE Flag Cnt,0.0018646660118389548
53,Down/Up Ratio,0.004640821457751115
54,Pkt Size Avg,0.30974925640372486
55,Fwd Seg Size Avg,0.33626410642359883
56,Bwd Seg Size Avg,0.35188090191826193
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.11793741386094381
64,Subflow Fwd Byts,0.6969798356863611
65,Subflow Bwd Pkts,0.11647195802182853
66,Subflow Bwd Byts,0.4688338597637852
67,Init Fwd Win Byts,1.304097586766185
68,Fwd Act Data Pkts,0.15999637666585545
69,Active Mean,0.1788739865307976
70,Active Std,0.012901154008942001
71,Active Max,0.1978535432363498
72,Active Min,0.23426888336385687
73,Idle Std,0.13126666582458224
