,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96708,0.95060587,0.98536,0.967671
0,1,2,0.96872,0.94951665,0.99008,0.9693742
0,1,3,0.9674,0.95161164,0.98488,0.96796006
0,1,4,0.96432,0.9439345,0.98728,0.9651208
0,1,5,0.95416,0.94062406,0.96952,0.9548534
0,1,6,0.95072,0.92354536,0.9828,0.95225173
0,1,7,0.96648,0.9475058,0.98768,0.96717584
0,1,8,0.9576,0.94603866,0.97056,0.9581425
0,1,9,0.96424,0.94162863,0.98984,0.9651326
0,1,10,0.96684,0.95107055,0.98432,0.96740973
0,2,1,0.96324,0.9409122,0.98856,0.9641478
0,2,2,0.9604,0.938376,0.98552,0.9613704
0,2,3,0.96036,0.94960546,0.97232,0.9608285
0,2,4,0.96704,0.94907695,0.98704,0.96768624
0,2,5,0.96116,0.93806523,0.98752,0.9621575
0,2,6,0.95648,0.950213,0.96344,0.9567808
0,2,7,0.95708,0.9328737,0.98504,0.9582475
0,2,8,0.95636,0.9303659,0.98656,0.95763934
0,2,9,0.94636,0.94596756,0.9468,0.9463836
0,2,10,0.96836,0.9528893,0.98544,0.9688914
0,3,1,0.96196,0.94205004,0.98448,0.96279776
0,3,2,0.96168,0.94371825,0.98192,0.96244025
0,3,3,0.96968,0.95420086,0.98672,0.970188
0,3,4,0.96748,0.948913,0.98816,0.9681389
0,3,5,0.94852,0.9382475,0.96024,0.94911635
0,3,6,0.96288,0.94,0.98888,0.96382064
0,3,7,0.96592,0.94724315,0.9868,0.96661705
0,3,8,0.96548,0.94899297,0.98384,0.96610236
0,3,9,0.96516,0.94593143,0.98672,0.9658953
0,3,10,0.95832,0.93719476,0.98248,0.95930326
0,4,1,0.96688,0.9497534,0.98592,0.9674988
0,4,2,0.96752,0.9512044,0.9856,0.9680968
0,4,3,0.9682,0.95112926,0.98712,0.9687905
0,4,4,0.96276,0.9423415,0.98584,0.96360016
0,4,5,0.94808,0.94102365,0.95608,0.9484921
0,4,6,0.96772,0.9483169,0.98936,0.9684037
0,4,7,0.96432,0.9440704,0.98712,0.96511537
0,4,8,0.96364,0.9457734,0.98368,0.96435434
0,4,9,0.96664,0.9471788,0.9884,0.9673504
0,4,10,0.967,0.94886583,0.9872,0.9676534
0,5,1,0.96956,0.9523699,0.98856,0.97012764
0,5,2,0.96,0.94217163,0.98016,0.9607905
0,5,3,0.96624,0.9465216,0.98832,0.9669693
0,5,4,0.96684,0.9491956,0.98648,0.96747875
0,5,5,0.96672,0.9441906,0.99208,0.9675431
0,5,6,0.96596,0.95189697,0.98152,0.96648157
0,5,7,0.96404,0.9454727,0.98488,0.9647741
0,5,8,0.95928,0.93744284,0.98424,0.96027166
0,5,9,0.9696,0.95070636,0.99056,0.97022414
0,5,10,0.9696,0.95314187,0.98776,0.9701422
