Index,Feature,SHAP_value
0,Src Port,6.427393446773156e-08
1,Dst Port,0.0010569388957928972
2,Protocol,3.08453370158578e-05
3,Flow Duration,0.0007553682569408467
4,Tot Fwd Pkts,0.003712648829316008
5,Tot Bwd Pkts,1.694200581798431e-05
6,TotLen Fwd Pkts,0.00021832216437253448
7,TotLen Bwd Pkts,0.0001996257548247722
8,Fwd Pkt Len Max,0.00011144260761021985
9,Fwd Pkt Len Min,4.3887949284777116e-05
10,Fwd Pkt Len Mean,1.4011727737219006e-05
11,Fwd Pkt Len Std,8.89424328097955e-08
12,Bwd Pkt Len Max,5.730815858465873e-05
13,Bwd Pkt Len Min,5.202548149277376e-05
14,Bwd Pkt Len Mean,2.589622157938221e-05
15,Bwd Pkt Len Std,4.0417461954036277e-13
16,Flow Byts/s,0.0009402395504578515
17,Flow Pkts/s,0.014681900457075684
18,Flow IAT Mean,0.00275364300554841
19,Flow IAT Std,7.724801873578052e-07
20,Flow IAT Max,0.0009348828215898468
21,Flow IAT Min,0.001593517759697211
22,Fwd IAT Tot,0.000701620085604079
23,Fwd IAT Mean,0.001161418621813424
24,Fwd IAT Std,0.0
25,Fwd IAT Max,0.0010695501377427493
26,Fwd IAT Min,0.001154403050641736
27,Bwd IAT Tot,3.926626180294719e-09
28,Bwd IAT Mean,5.563515851972937e-06
29,Bwd IAT Std,0.0
30,Bwd IAT Max,1.4738838109687804e-09
31,Bwd IAT Min,8.426451859345693e-10
32,Fwd PSH Flags,0.0
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.0520080743595421
37,Bwd Header Len,0.00026563480166786463
38,Fwd Pkts/s,0.12049293081130472
39,Bwd Pkts/s,0.0024874472206460017
40,Pkt Len Min,0.0012837602678103072
41,Pkt Len Max,0.0005935183345796188
42,Pkt Len Mean,3.9797782536584684e-05
43,Pkt Len Std,1.1588266631449876e-06
44,Pkt Len Var,1.3734350671587489e-05
45,FIN Flag Cnt,6.812794948864038e-10
46,SYN Flag Cnt,9.101289832001727e-05
47,RST Flag Cnt,1.7303650316728386e-06
48,PSH Flag Cnt,1.9242487366386006e-09
49,ACK Flag Cnt,3.785537317646067e-06
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,2.787730163399317e-07
54,Pkt Size Avg,3.750274122226734e-05
55,Fwd Seg Size Avg,4.045120157295704e-05
56,Bwd Seg Size Avg,1.727184288164729e-05
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,2.63008748254967e-09
62,Bwd Blk Rate Avg,1.7679588305767863e-09
63,Subflow Fwd Pkts,9.749499155859254e-07
64,Subflow Fwd Byts,4.9700134759181185e-05
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.00012117853775470028
67,Init Fwd Win Byts,0.009671740743520268
68,Fwd Act Data Pkts,5.433383463894835e-06
69,Active Mean,0.0
70,Active Std,0.0
71,Active Max,0.0
72,Active Min,0.0
73,Idle Std,0.032470886670875054
