,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9574,0.94994885,0.96568,0.9577498
0,1,2,0.95816,0.95222676,0.96472,0.9584327
0,1,3,0.9572,0.9478138,0.96768,0.95764387
0,1,4,0.95552,0.94827586,0.9636,0.95587647
0,1,5,0.9574,0.94846654,0.96736,0.9578201
0,1,6,0.9548,0.94742644,0.96304,0.9551694
0,1,7,0.95496,0.94422746,0.96704,0.95549756
0,1,8,0.9578,0.94878834,0.96784,0.9582195
0,1,9,0.9982,0.9986388,0.99776,0.9981992
0,1,10,0.9542,0.94518936,0.96432,0.9546588
0,2,1,0.99796,0.99744266,0.99848,0.99796104
0,2,2,0.99828,0.9967302,0.99984,0.99828273
0,2,3,0.95684,0.9495395,0.96496,0.9571876
0,2,4,0.95672,0.9469934,0.9676,0.95718575
0,2,5,0.99812,0.9964915,0.99976,0.99812305
0,2,6,0.97184,0.94817626,0.99824,0.9725643
0,2,7,0.95568,0.9452783,0.96736,0.95619166
0,2,8,0.97112,0.94633925,0.99888,0.97190005
0,2,9,0.9724,0.9490494,0.9984,0.9730994
0,2,10,0.95612,0.9475626,0.96568,0.9565355
0,3,1,0.9726,0.9492054,0.99864,0.9732954
0,3,2,0.9704,0.9443101,0.99976,0.9712443
0,3,3,0.95676,0.9473478,0.96728,0.9572101
0,3,4,0.95452,0.94585264,0.96424,0.95495784
0,3,5,0.95656,0.9483111,0.96576,0.956956
0,3,6,0.95536,0.94769543,0.96392,0.9557389
0,3,7,0.95616,0.9477073,0.9656,0.95656997
0,3,8,0.9734,0.9496239,0.99984,0.9740852
0,3,9,0.97132,0.9512139,0.9936,0.971945
0,3,10,0.9562,0.9481336,0.9652,0.95659065
0,4,1,0.996,0.99823207,0.99376,0.99599105
0,4,2,0.95516,0.9464804,0.96488,0.9555917
0,4,3,0.97272,0.94853497,0.99968,0.9734361
0,4,4,0.97268,0.95092726,0.9968,0.97332346
0,4,5,0.97256,0.9486556,0.9992,0.973272
0,4,6,0.97112,0.9474924,0.99752,0.97186285
0,4,7,0.95604,0.9479764,0.96504,0.9564321
0,4,8,0.95608,0.9472074,0.966,0.9565114
0,4,9,0.95712,0.949002,0.96616,0.95750415
0,4,10,0.99824,0.99855906,0.99792,0.9982394
0,5,1,0.95756,0.9487642,0.96736,0.9579719
0,5,2,0.95652,0.9481662,0.96584,0.9569214
0,5,3,0.95528,0.94740564,0.96408,0.95567
0,5,4,0.95628,0.9474386,0.96616,0.9567077
0,5,5,0.95836,0.9493373,0.9684,0.9587739
0,5,6,0.99776,0.99601406,0.99952,0.99776393
0,5,7,0.95576,0.94675344,0.96584,0.9562015
0,5,8,0.9854,0.9906202,0.98008,0.9853219
0,5,9,0.96644,0.9477767,0.98728,0.9671251
0,5,10,0.9542,0.9458186,0.9636,0.9546265
