Index,Feature,SHAP_value
0,Src Port,0.0001430694823631493
1,Dst Port,0.10064081085782932
2,Protocol,0.0017911533035120468
3,Flow Duration,9.928999842755539e-05
4,Tot Fwd Pkts,0.002093454450860976
5,Tot Bwd Pkts,0.000763249983618326
6,TotLen Fwd Pkts,0.048857035290006554
7,TotLen Bwd Pkts,0.019701130464679768
8,Fwd Pkt Len Max,0.025901275654384725
9,Fwd Pkt Len Min,0.016241336354443577
10,Fwd Pkt Len Mean,0.022470894040844087
11,Fwd Pkt Len Std,0.01403459171569677
12,Bwd Pkt Len Max,0.02540459734001412
13,Bwd Pkt Len Min,0.012547081818291672
14,Bwd Pkt Len Mean,0.012209682974778601
15,Bwd Pkt Len Std,0.0019820067209985956
16,Flow Byts/s,0.002576129965685312
17,Flow Pkts/s,0.005070772249605371
18,Flow IAT Mean,0.000411521555009071
19,Flow IAT Std,0.0012129207981958984
20,Flow IAT Max,0.00016773562787526943
21,Flow IAT Min,0.0005990053447900667
22,Fwd IAT Tot,8.028253254051542e-05
23,Fwd IAT Mean,0.00010278292981959409
24,Fwd IAT Std,0.0003428852268870568
25,Fwd IAT Max,5.891745934909397e-05
26,Fwd IAT Min,0.0009088481106534676
27,Bwd IAT Tot,0.002960721242458198
28,Bwd IAT Mean,0.004367670192173176
29,Bwd IAT Std,0.0015081389223330875
30,Bwd IAT Max,0.008848973997130175
31,Bwd IAT Min,0.004548482721005927
32,Fwd PSH Flags,2.8545746993572215e-05
33,Bwd PSH Flags,1.1407750244384249e-07
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.04160792095975018
37,Bwd Header Len,0.03850066457425761
38,Fwd Pkts/s,0.003633634765979086
39,Bwd Pkts/s,0.009433917436407759
40,Pkt Len Min,0.016846372957353757
41,Pkt Len Max,0.0326063007403957
42,Pkt Len Mean,0.027382448539413674
43,Pkt Len Std,0.021078776995106876
44,Pkt Len Var,0.03236928214612415
45,FIN Flag Cnt,7.497140733030205e-05
46,SYN Flag Cnt,0.0014530423059032677
47,RST Flag Cnt,6.7956054784532985e-06
48,PSH Flag Cnt,0.00042235705643362144
49,ACK Flag Cnt,0.0006779988135894391
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,2.7509352283344535e-05
54,Pkt Size Avg,0.04705321862136761
55,Fwd Seg Size Avg,0.02380101321898096
56,Bwd Seg Size Avg,0.017917017562373516
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.00026644429805644445
62,Bwd Blk Rate Avg,0.0010751069726427382
63,Subflow Fwd Pkts,0.0005458904269302325
64,Subflow Fwd Byts,0.08700670310153533
65,Subflow Bwd Pkts,0.0004666734379770483
66,Subflow Bwd Byts,0.018475623280168753
67,Init Fwd Win Byts,0.11248202051963323
68,Fwd Act Data Pkts,0.0031991755396477374
69,Active Mean,0.0024272542894166462
70,Active Std,0.00032186071848859635
71,Active Max,0.000561074654877643
72,Active Min,0.0010052514879694175
73,Idle Std,1.0786184054385646
