,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.93096,0.9033393,0.9652,0.93324566
0,1,2,0.93232,0.9063769,0.96424,0.9344135
0,1,3,0.5,0.5,1.0,0.6666667
0,1,4,0.5,0.5,1.0,0.6666667
0,1,5,0.5,0.5,1.0,0.6666667
0,1,6,0.93244,0.9059097,0.96512,0.934578
0,1,7,0.96452,0.9702762,0.9584,0.9643015
0,1,8,0.99424,0.99750364,0.99096,0.9942211
0,1,9,0.5,0.5,1.0,0.6666667
0,1,10,0.99272,0.99870443,0.98672,0.9926761
0,2,1,0.5,0.0,0.0,0.0
0,2,2,0.98224,0.97554433,0.98928,0.9823641
0,2,3,0.77364,0.6976368,0.96592,0.81014526
0,2,4,0.93244,0.9055443,0.9656,0.9346084
0,2,5,0.5,0.5,1.0,0.6666667
0,2,6,0.96472,0.9686945,0.96048,0.9645698
0,2,7,0.99516,0.99863046,0.99168,0.9951431
0,2,8,0.5,0.0,0.0,0.0
0,2,9,0.9304,0.9033588,0.96392,0.9326573
0,2,10,0.96504,0.9687147,0.96112,0.9649024
0,3,1,0.97216,0.9592996,0.98616,0.97254443
0,3,2,0.77752,0.7019914,0.96448,0.8125631
0,3,3,0.99644,0.9989547,0.99392,0.99643105
0,3,4,0.7812,0.70560366,0.96504,0.8151778
0,3,5,0.95956,0.9609983,0.958,0.9594968
0,3,6,0.77976,0.70452684,0.96368,0.8139739
0,3,7,0.98776,0.98289245,0.9928,0.9878214
0,3,8,0.5,0.5,1.0,0.6666667
0,3,9,0.5,0.5,1.0,0.6666667
0,3,10,0.5,0.5,1.0,0.6666667
0,4,1,0.98824,0.98092985,0.99584,0.9883287
0,4,2,0.7832,0.7071629,0.96672,0.8168176
0,4,3,0.9688,0.9813537,0.95576,0.9683878
0,4,4,0.99528,0.99663085,0.99392,0.9952736
0,4,5,0.99228,0.9974133,0.98712,0.9922399
0,4,6,0.5,0.5,1.0,0.6666667
0,4,7,0.48412,0.4723345,0.27112,0.34449813
0,4,8,0.78424,0.708436,0.96608,0.81743723
0,4,9,0.96296,0.9638506,0.962,0.9629244
0,4,10,0.5,0.0,0.0,0.0
0,5,1,0.99488,0.9965484,0.9932,0.9948714
0,5,2,0.5,0.0,0.0,0.0
0,5,3,0.96236,0.964105,0.96048,0.9622891
0,5,4,0.9734,0.95383084,0.99496,0.9739615
0,5,5,0.9934,0.9903793,0.99648,0.99342024
0,5,6,0.96556,0.9683702,0.96256,0.96545637
0,5,7,0.97312,0.9862687,0.9596,0.97275156
0,5,8,0.93036,0.90094656,0.96704,0.932824
0,5,9,0.77804,0.70261765,0.96416,0.81286895
0,5,10,0.98896,0.9825517,0.9956,0.9890328
