Index,Feature,SHAP_value
0,Src Port,0.021324239593257056
1,Dst Port,0.02008801793197828
2,Protocol,0.06719940341918942
3,Flow Duration,0.49344219695792785
4,Tot Fwd Pkts,0.008658279417129553
5,Tot Bwd Pkts,0.0013133851761649728
6,TotLen Fwd Pkts,0.12089571466164625
7,TotLen Bwd Pkts,0.09271730776830145
8,Fwd Pkt Len Max,0.07023805680307534
9,Fwd Pkt Len Min,0.056625124323120855
10,Fwd Pkt Len Mean,0.0839828383833305
11,Fwd Pkt Len Std,0.021358887469693104
12,Bwd Pkt Len Max,0.06336055639116622
13,Bwd Pkt Len Min,0.0701278906722205
14,Bwd Pkt Len Mean,0.10941587807233066
15,Bwd Pkt Len Std,0.013807844068766695
16,Flow Byts/s,0.00010558699453824678
17,Flow Pkts/s,0.000995801368100977
18,Flow IAT Mean,0.10205753808538745
19,Flow IAT Std,0.03160811742303421
20,Flow IAT Max,0.10074098261074779
21,Flow IAT Min,0.11469006370940896
22,Fwd IAT Tot,0.06457559597865684
23,Fwd IAT Mean,0.041536527224282416
24,Fwd IAT Std,0.01514259178741743
25,Fwd IAT Max,0.05776963253939686
26,Fwd IAT Min,0.06105198977340772
27,Bwd IAT Tot,0.07742009409236206
28,Bwd IAT Mean,0.04533331675571238
29,Bwd IAT Std,0.011485493078016848
30,Bwd IAT Max,0.07236986546295382
31,Bwd IAT Min,0.09801427353222494
32,Fwd PSH Flags,0.0
33,Bwd PSH Flags,6.178339678432964e-05
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.16548219106584333
37,Bwd Header Len,0.11572321451466387
38,Fwd Pkts/s,0.2334222075526416
39,Bwd Pkts/s,0.011897170759373205
40,Pkt Len Min,0.3127879177869012
41,Pkt Len Max,0.278547109219411
42,Pkt Len Mean,0.2943283665888167
43,Pkt Len Std,0.10100034722566775
44,Pkt Len Var,0.7767880919109822
45,FIN Flag Cnt,3.6187714111292735e-06
46,SYN Flag Cnt,0.0003901626262161585
47,RST Flag Cnt,8.693243435118347e-08
48,PSH Flag Cnt,6.430127239918874e-05
49,ACK Flag Cnt,0.0008679076927056599
50,URG Flag Cnt,0.0
51,CWE Flag Count,1.7667428212007508e-06
52,ECE Flag Cnt,4.6008838398847723e-07
53,Down/Up Ratio,0.0013423609918287332
54,Pkt Size Avg,0.29931277229587394
55,Fwd Seg Size Avg,0.20135557948429933
56,Bwd Seg Size Avg,0.3146223976454249
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.019903024123635937
64,Subflow Fwd Byts,0.38510648820897747
65,Subflow Bwd Pkts,0.006586752941223418
66,Subflow Bwd Byts,0.4682676895918144
67,Init Fwd Win Byts,0.0
68,Fwd Act Data Pkts,0.01948621408880996
69,Active Mean,0.005023784660801287
70,Active Std,0.00026644706290282965
71,Active Max,0.005477545545916047
72,Active Min,0.006105130713080238
73,Idle Std,0.2559521864051261
