,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9012186,0.8726222,0.93959033,0.9048689
0,1,2,0.9079596,0.9359934,0.8758102,0.9049023
0,1,3,0.92727506,0.9478261,0.9043298,0.92556715
0,1,4,0.9236453,0.9297738,0.9165154,0.9230971
0,1,5,0.92144156,0.88711596,0.9657765,0.92477655
0,1,6,0.9134042,0.8806398,0.95644283,0.9169774
0,1,7,0.8498833,0.9213238,0.7651024,0.8359773
0,1,8,0.9349235,0.91491467,0.9590355,0.93645567
0,1,9,0.8864402,0.8896732,0.8822919,0.8859672
0,1,10,0.9299974,0.93404865,0.9253306,0.92966914
0,2,1,0.93647915,0.93693227,0.9359606,0.9364462
0,2,2,0.9001815,0.9483009,0.84651285,0.8945206
0,2,3,0.927664,0.9452092,0.9079596,0.92621005
0,2,4,0.92558986,0.9020328,0.9548872,0.9277078
0,2,5,0.93323827,0.9395055,0.92610836,0.9327588
0,2,6,0.91664505,0.87459207,0.9727768,0.9210753
0,2,7,0.9115893,0.9498441,0.8690692,0.9076631
0,2,8,0.9213119,0.9328716,0.9079596,0.92024696
0,2,9,0.93233085,0.911018,0.95825773,0.93404096
0,2,10,0.93142337,0.92276424,0.9416645,0.9321186
0,3,1,0.93168265,0.9223744,0.9427016,0.93242717
0,3,2,0.92870104,0.9331936,0.9235157,0.92832947
0,3,3,0.8408089,0.97506326,0.6995074,0.8146136
0,3,4,0.9271454,0.9087075,0.94970185,0.9287525
0,3,5,0.9283122,0.9111498,0.9491833,0.92977774
0,3,6,0.9394607,0.9404886,0.938294,0.93939
0,3,7,0.9280529,0.9337888,0.92144156,0.9275741
0,3,8,0.92144156,0.8910272,0.96033186,0.9243823
0,3,9,0.8892922,0.88450706,0.89551467,0.88997686
0,3,10,0.9289603,0.907412,0.9554058,0.9307906
0,4,1,0.9227379,0.8958485,0.9567021,0.92527586
0,4,2,0.9211823,0.89884603,0.9491833,0.92332906
0,4,3,0.92520094,0.9540421,0.8934405,0.9227473
0,4,4,0.9362199,0.94759244,0.9235157,0.9353992
0,4,5,0.93168265,0.9049125,0.96473944,0.9338687
0,4,6,0.92934924,0.90909094,0.95410943,0.93105626
0,4,7,0.8798289,0.8318985,0.95203525,0.8879217
0,4,8,0.9092559,0.8854701,0.9401089,0.91197187
0,4,9,0.9347939,0.9157164,0.9577392,0.9362565
0,4,10,0.9394607,0.9335038,0.9463313,0.9398738
0,5,1,0.92455274,0.88794124,0.9717397,0.92795247
0,5,2,0.9285714,0.9320439,0.92455274,0.92828315
0,5,3,0.9258491,0.89798886,0.9608504,0.9283567
0,5,4,0.9310345,0.942743,0.91781175,0.93011034
0,5,5,0.9043298,0.9302069,0.8742546,0.9013633
0,5,6,0.9257195,0.9034398,0.9533316,0.92771536
0,5,7,0.9336272,0.9291763,0.93881255,0.93396956
0,5,8,0.9246824,0.93471336,0.91314495,0.92380327
0,5,9,0.9188489,0.9049887,0.9359606,0.9202141
0,5,10,0.93401605,0.9393701,0.92792326,0.93361163
