Index,Feature,SHAP_value
0,Src Port,0.0006452807568709685
1,Dst Port,0.0007060219660578418
2,Protocol,0.0012231571970379314
3,Flow Duration,0.08166017206205893
4,Tot Fwd Pkts,0.004233130183741162
5,Tot Bwd Pkts,0.0032614837842687436
6,TotLen Fwd Pkts,0.21068326331902557
7,TotLen Bwd Pkts,0.05260153213738565
8,Fwd Pkt Len Max,0.10467558632081068
9,Fwd Pkt Len Min,0.005369197362648587
10,Fwd Pkt Len Mean,0.02357019790201299
11,Fwd Pkt Len Std,0.04989714883205905
12,Bwd Pkt Len Max,0.05080668694338296
13,Bwd Pkt Len Min,0.0017779189761045803
14,Bwd Pkt Len Mean,0.033958134087924294
15,Bwd Pkt Len Std,0.04330960049418157
16,Flow Byts/s,0.12250444166658363
17,Flow Pkts/s,0.010222453877157481
18,Flow IAT Mean,0.038507388570784576
19,Flow IAT Std,0.04928149197169017
20,Flow IAT Max,0.06455038520045839
21,Flow IAT Min,0.015099248591614342
22,Fwd IAT Tot,0.11191065967804241
23,Fwd IAT Mean,0.034525324113003734
24,Fwd IAT Std,0.044127427280942454
25,Fwd IAT Max,0.09729433556070612
26,Fwd IAT Min,0.01805218565720077
27,Bwd IAT Tot,0.16530427398028014
28,Bwd IAT Mean,0.09989647000247406
29,Bwd IAT Std,0.12770532801872733
30,Bwd IAT Max,0.22248515649962225
31,Bwd IAT Min,0.06639442363528826
32,Fwd PSH Flags,1.820919175792479e-06
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.06755369484233555
37,Bwd Header Len,0.4341778381948517
38,Fwd Pkts/s,0.06851534207084546
39,Bwd Pkts/s,0.8861217166781948
40,Pkt Len Min,0.007659105152414611
41,Pkt Len Max,0.20986985874603364
42,Pkt Len Mean,0.05613477710784792
43,Pkt Len Std,0.12191209835980565
44,Pkt Len Var,0.4721396102766945
45,FIN Flag Cnt,0.0014048682793305438
46,SYN Flag Cnt,0.0062663136967425785
47,RST Flag Cnt,0.0006065428438891466
48,PSH Flag Cnt,0.0494698746512219
49,ACK Flag Cnt,0.09490140396304614
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,0.0018785871702795224
54,Pkt Size Avg,0.18232214639701555
55,Fwd Seg Size Avg,0.14074329274685893
56,Bwd Seg Size Avg,0.1279264101320659
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.05680160723411591
62,Bwd Blk Rate Avg,1.5042559736679926
63,Subflow Fwd Pkts,0.006259128880239497
64,Subflow Fwd Byts,0.37380290851404163
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.40062883929482995
67,Init Fwd Win Byts,0.8436916595613628
68,Fwd Act Data Pkts,0.06599335777883766
69,Active Mean,0.0
70,Active Std,0.0
71,Active Max,0.0
72,Active Min,0.0
73,Idle Std,0.48669330677882544
