,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9702,0.94375235,1.0,0.97106236
0,1,2,0.9696,0.94295204,0.99968,0.9704878
0,1,3,0.97016,0.9436811,1.0,0.97102463
0,1,4,0.96564,0.93602514,0.9996,0.9667685
0,1,5,0.9686,0.94635373,0.99352,0.9693635
0,1,6,0.96588,0.9361846,0.99992,0.9670033
0,1,7,0.94228,0.90274644,0.99136,0.9449804
0,1,8,0.97124,0.9466899,0.99872,0.9720092
0,1,9,0.95992,0.93487144,0.98872,0.961042
0,1,10,0.9686,0.9409108,1.0,0.969556
0,2,1,0.96964,0.94282264,0.99992,0.9705323
0,2,2,0.96968,0.942827,1.0,0.97057223
0,2,3,0.94176,0.897724,0.99712,0.94481504
0,2,4,0.96996,0.94332504,1.0,0.9708361
0,2,5,0.97052,0.9443227,1.0,0.97136414
0,2,6,0.97128,0.94568014,1.0,0.97208184
0,2,7,0.97156,0.94624877,0.99992,0.97234434
0,2,8,0.97012,0.9436099,1.0,0.9709869
0,2,9,0.97272,0.9482628,1.0,0.97344446
0,2,10,0.9692,0.942041,0.99992,0.9701179
0,3,1,0.97064,0.9445368,1.0,0.97147745
0,3,2,0.97212,0.94725275,0.99992,0.9728741
0,3,3,0.97056,0.94439405,1.0,0.9714019
0,3,4,0.9688,0.94126505,1.0,0.96974397
0,3,5,0.96988,0.9432496,0.99992,0.97075844
0,3,6,0.9714,0.94589484,1.0,0.9721952
0,3,7,0.97232,0.947544,1.0,0.97306556
0,3,8,0.5,0.5,1.0,0.6666667
0,3,9,0.94932,0.90796834,1.0,0.9517646
0,3,10,0.78188,0.69758314,0.9952,0.8202288
0,4,1,0.97016,0.9436811,1.0,0.97102463
0,4,2,0.97092,0.9451713,0.99984,0.9717373
0,4,3,0.97204,0.94704145,1.0,0.9728005
0,4,4,0.96904,0.9416905,1.0,0.96996975
0,4,5,0.97052,0.9443227,1.0,0.97136414
0,4,6,0.96652,0.9452546,0.9904,0.96730083
0,4,7,0.97036,0.94410455,0.99992,0.971211
0,4,8,0.96988,0.94318265,1.0,0.97076064
0,4,9,0.96956,0.94281405,0.99976,0.9704523
0,4,10,0.94468,0.90043944,0.99992,0.947576
0,5,1,0.96976,0.94310296,0.99984,0.9706431
0,5,2,0.96948,0.94253826,0.99992,0.97038156
0,5,3,0.9494,0.90810025,1.0,0.95183706
0,5,4,0.96972,0.9428981,1.0,0.97060996
0,5,5,0.97132,0.94581914,0.99992,0.9721175
0,5,6,0.97076,0.94475096,1.0,0.97159064
0,5,7,0.96916,0.94197,0.99992,0.9700803
0,5,8,0.97084,0.9448938,1.0,0.97166616
0,5,9,0.96984,0.94311154,1.0,0.97072303
0,5,10,0.96604,0.94378,0.99112,0.96687084
