,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99308,0.991468,0.99472,0.9930914
0,1,2,0.9904,0.9911859,0.9896,0.9903923
0,1,3,0.9954,0.9917414,0.99912,0.99541706
0,1,4,0.9812,0.9655573,0.998,0.9815107
0,1,5,0.99196,0.9935789,0.99032,0.9919468
0,1,6,0.99412,0.9940805,0.99416,0.99412024
0,1,7,0.50928,0.50468343,1.0,0.6708167
0,1,8,0.97384,0.96933436,0.97864,0.9739649
0,1,9,0.99204,0.99532896,0.98872,0.99201345
0,1,10,0.99052,0.9890723,0.992,0.990534
0,2,1,0.99652,0.9964803,0.99656,0.9965201
0,2,2,0.9956,0.99575865,0.99544,0.99559927
0,2,3,0.99336,0.9944676,0.99224,0.99335253
0,2,4,0.97844,0.9819486,0.9748,0.97836125
0,2,5,0.51024,0.50517297,1.0,0.67124903
0,2,6,0.969,0.9817569,0.95576,0.968584
0,2,7,0.98912,0.98393226,0.99448,0.989178
0,2,8,0.50948,0.50478536,1.0,0.67090684
0,2,9,0.99388,0.9935247,0.99424,0.99388224
0,2,10,0.99488,0.99766695,0.99208,0.9948656
0,3,1,0.99364,0.9914775,0.99584,0.99365395
0,3,2,0.98084,0.9791152,0.98264,0.9808744
0,3,3,0.99116,0.99317217,0.98912,0.9911419
0,3,4,0.99508,0.99575424,0.9944,0.99507666
0,3,5,0.99248,0.9895038,0.99552,0.9925028
0,3,6,0.99336,0.9944676,0.99224,0.99335253
0,3,7,0.99556,0.99528265,0.99584,0.9955612
0,3,8,0.7984,0.76993775,0.85112,0.8084961
0,3,9,0.99468,0.9950364,0.99432,0.9946781
0,3,10,0.9862,0.98976547,0.98256,0.9861496
0,4,1,0.97772,0.97921515,0.97616,0.97768515
0,4,2,0.99524,0.9970293,0.99344,0.99523145
0,4,3,0.98732,0.9921629,0.9824,0.9872573
0,4,4,0.5096,0.5048465,1.0,0.6709608
0,4,5,0.5,0.0,0.0,0.0
0,4,6,0.99204,0.9939764,0.99008,0.99202436
0,4,7,0.98564,0.97585636,0.99592,0.98578614
0,4,8,0.51028,0.5051934,1.0,0.6712671
0,4,9,0.51084,0.5054794,1.0,0.6715195
0,4,10,0.99436,0.9954301,0.99328,0.99435383
0,5,1,0.50972,0.5049077,1.0,0.67101485
0,5,2,0.98212,0.9966214,0.96752,0.9818551
0,5,3,0.97184,0.97526187,0.96824,0.9717383
0,5,4,0.99512,0.9948033,0.99544,0.9951216
0,5,5,0.99348,0.992495,0.99448,0.9934865
0,5,6,0.9918,0.99089676,0.99272,0.9918075
0,5,7,0.98968,0.9889759,0.9904,0.9896875
0,5,8,0.5066,0.50332195,1.0,0.669613
0,5,9,0.9868,0.9923936,0.98112,0.98672456
0,5,10,0.99296,0.9934337,0.99248,0.9929566
