Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,4.8899463384817565e-05
2,Dst IP,0.0
3,Dst Port,0.010774645908356587
4,Protocol,0.0019690157683983404
5,Flow Duration,0.010416843410277344
6,Tot Fwd Pkts,0.0
7,Tot Bwd Pkts,0.0
8,TotLen Fwd Pkts,0.0
9,TotLen Bwd Pkts,0.0
10,Fwd Pkt Len Max,0.0
11,Fwd Pkt Len Min,0.0
12,Fwd Pkt Len Mean,0.0
13,Fwd Pkt Len Std,0.0
14,Bwd Pkt Len Max,0.0
15,Bwd Pkt Len Min,0.0
16,Bwd Pkt Len Mean,0.0
17,Bwd Pkt Len Std,0.0
18,Flow Byts/s,0.0
19,Flow Pkts/s,0.0
20,Flow IAT Mean,0.003399444564221578
21,Flow IAT Std,0.00511010231041634
22,Flow IAT Max,0.010347314682118414
23,Flow IAT Min,0.0009711540660668616
24,Fwd IAT Tot,0.0
25,Fwd IAT Mean,0.011532743357508783
26,Fwd IAT Std,0.009583095714455255
27,Fwd IAT Max,0.014129864116617161
28,Fwd IAT Min,0.001421509596236325
29,Bwd IAT Tot,0.0
30,Bwd IAT Mean,0.011299491680037268
31,Bwd IAT Std,0.011350371048377121
32,Bwd IAT Max,0.019001023813522838
33,Bwd IAT Min,0.003847115174051635
34,Fwd PSH Flags,4.2204367218801063e-10
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.0
39,Bwd Header Len,0.0
40,Fwd Pkts/s,0.0
41,Bwd Pkts/s,0.0
42,Pkt Len Min,0.0
43,Pkt Len Max,0.0
44,Pkt Len Mean,0.0
45,Pkt Len Std,0.0
46,Pkt Len Var,0.0
47,FIN Flag Cnt,0.0
48,SYN Flag Cnt,0.0
49,RST Flag Cnt,0.0
50,PSH Flag Cnt,0.0
51,ACK Flag Cnt,0.0
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,0.0023914698011717954
56,Pkt Size Avg,0.0
57,Fwd Seg Size Avg,0.0
58,Bwd Seg Size Avg,0.0
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.0
66,Subflow Fwd Byts,0.0
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,0.0
69,Init Fwd Win Byts,0.0
70,Init Bwd Win Byts,0.0
71,Fwd Act Data Pkts,0.25959769974534785
72,Fwd Seg Size Min,3.017315975655518
73,Active Mean,0.004597090890200621
74,Active Std,0.00027487313312732234
75,Active Max,0.05976643092602637
76,Active Min,0.08492638987488364
77,Idle Mean,0.0014482676512086253
78,Idle Std,0.0006240633786439364
79,Idle Max,0.002074851277130676
80,Idle Min,0.0002103095630524178
