,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9810236,0.9946051,0.96729183,0.98075837
0,1,2,0.91516435,0.87482363,0.9689663,0.9194915
0,1,3,0.9765028,0.9828074,0.969971,0.9763471
0,1,4,0.95998216,0.95375466,0.96684897,0.9602572
0,1,5,0.9355919,0.9075718,0.96997434,0.93773603
0,1,6,0.9355919,0.91091925,0.9656212,0.93747294
0,1,7,0.91091764,0.8706949,0.9651708,0.9155019
0,1,8,0.95183074,0.93563664,0.9704175,0.95270973
0,1,9,0.98297614,0.9951929,0.9706408,0.9827635
0,1,10,0.9812458,0.99415404,0.9681849,0.9809976
0,2,1,0.96433556,0.9562356,0.9732083,0.96464735
0,2,2,0.9827538,0.9964413,0.9689663,0.98251176
0,2,3,0.9816934,0.99861336,0.96472424,0.9813763
0,2,4,0.9122063,0.868122,0.9720951,0.91717124
0,2,5,0.94893116,0.9289676,0.9722067,0.9500955
0,2,6,0.96790755,0.96443605,0.97164863,0.96802884
0,2,7,0.97532934,0.9825476,0.96784997,0.97514343
0,2,8,0.98035276,0.9959659,0.96461266,0.9800386
0,2,9,0.95501226,0.9456593,0.9655057,0.95547944
0,2,10,0.94267696,0.9216374,0.9676267,0.9440723
0,3,1,0.9368756,0.9087206,0.97131056,0.9389737
0,3,2,0.91109,0.87163186,0.9641661,0.91556686
0,3,3,0.976726,0.98556,0.9676267,0.976511
0,3,4,0.9062343,0.8624639,0.96662575,0.91157895
0,3,5,0.98331195,0.9970156,0.96952784,0.9830796
0,3,6,0.9050064,0.999312,0.81058156,0.8951066
0,3,7,0.5,0.0,0.0,0.0
0,3,8,0.927495,0.997144,0.85744584,0.9220335
0,3,9,0.9315696,0.90312827,0.9668453,0.9339012
0,3,10,0.9137084,0.8726121,0.96885467,0.9182184
0,4,1,0.98180497,0.9963201,0.9671802,0.98153394
0,4,2,0.9815259,0.9921278,0.9707524,0.9813238
0,4,3,0.9126528,0.86976093,0.9706408,0.91743606
0,4,4,0.9382709,0.9130115,0.9688581,0.94010615
0,4,5,0.90818775,0.9994537,0.81683224,0.898962
0,4,6,0.9088017,0.998096,0.81917626,0.8998284
0,4,7,0.9470306,0.9290689,0.9679616,0.9481166
0,4,8,0.9828645,0.99827206,0.9674034,0.9825954
0,4,9,0.9799062,0.99425155,0.9653941,0.9796103
0,4,10,0.93530923,0.9029658,0.9754409,0.9378051
0,5,1,0.93587095,0.9079511,0.9700826,0.9379891
0,5,2,0.9007088,0.9993045,0.8019647,0.88982475
0,5,3,0.98225147,0.99609554,0.96829647,0.98199934
0,5,4,0.9832003,0.9949691,0.9713138,0.98299915
0,5,5,0.9126528,0.87298226,0.9658444,0.91706854
0,5,6,0.9805213,0.99665433,0.96428174,0.9802008
0,5,7,0.96042645,0.9541901,0.96729183,0.9606963
0,5,8,0.9605381,0.95470077,0.9669569,0.9607898
0,5,9,0.9415048,0.9162282,0.9718687,0.9432286
0,5,10,0.9029917,0.9962881,0.8089976,0.8929276
