Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.0002549578503422204
2,Dst IP,0.0
3,Dst Port,0.13709516693571716
4,Protocol,0.0028580910854609496
5,Flow Duration,0.1640521345776335
6,Tot Fwd Pkts,0.0027207752743090346
7,Tot Bwd Pkts,0.0031220692796767465
8,TotLen Fwd Pkts,0.09470673456930495
9,TotLen Bwd Pkts,0.10365683191427164
10,Fwd Pkt Len Max,0.06873752995589297
11,Fwd Pkt Len Min,0.007383134037196345
12,Fwd Pkt Len Mean,0.023667375696009792
13,Fwd Pkt Len Std,0.027287301758761623
14,Bwd Pkt Len Max,0.0542529854981955
15,Bwd Pkt Len Min,0.012161580101995657
16,Bwd Pkt Len Mean,0.02848366691352029
17,Bwd Pkt Len Std,0.026777936718659818
18,Flow Byts/s,0.06789400010371743
19,Flow Pkts/s,0.018112971445331392
20,Flow IAT Mean,0.0729272185307785
21,Flow IAT Std,0.022724601515435972
22,Flow IAT Max,0.08069512142102493
23,Flow IAT Min,0.08062728736180512
24,Fwd IAT Tot,0.16542658632256557
25,Fwd IAT Mean,0.08177615544246139
26,Fwd IAT Std,0.03426782571648567
27,Fwd IAT Max,0.107021372290471
28,Fwd IAT Min,0.13970287238518667
29,Bwd IAT Tot,0.10178257898135805
30,Bwd IAT Mean,0.10317248356851678
31,Bwd IAT Std,0.09192127646055674
32,Bwd IAT Max,0.13023509081639797
33,Bwd IAT Min,0.0750762252043501
34,Fwd PSH Flags,0.00021837997561373752
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.06699046999173007
39,Bwd Header Len,0.07619241865416179
40,Fwd Pkts/s,0.07021316690567303
41,Bwd Pkts/s,0.4556498837209907
42,Pkt Len Min,0.0363278574871294
43,Pkt Len Max,0.2114067804272688
44,Pkt Len Mean,0.06586846870353448
45,Pkt Len Std,0.09659542368059329
46,Pkt Len Var,0.4082417476446006
47,FIN Flag Cnt,1.8989718507782525e-06
48,SYN Flag Cnt,0.0006073861337861075
49,RST Flag Cnt,0.001504564415220465
50,PSH Flag Cnt,0.0015196181325645678
51,ACK Flag Cnt,0.0013950486122785365
52,URG Flag Cnt,0.00038570217122009174
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0012428454828403801
55,Down/Up Ratio,0.0042808764029465774
56,Pkt Size Avg,0.32267322345531657
57,Fwd Seg Size Avg,0.2496963167349527
58,Bwd Seg Size Avg,0.6876435188037644
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.021373716551036637
66,Subflow Fwd Byts,0.5510676634509994
67,Subflow Bwd Pkts,0.030385584401302956
68,Subflow Bwd Byts,0.23060290535188752
69,Init Fwd Win Byts,0.17467206344456573
70,Init Bwd Win Byts,0.49191462149227183
71,Fwd Act Data Pkts,0.0211630929335044
72,Fwd Seg Size Min,0.39624934951432356
73,Active Mean,0.007917842714714655
74,Active Std,0.0038046758719509468
75,Active Max,0.009543935035443657
76,Active Min,0.02454916693972087
77,Idle Mean,0.000560542785894697
78,Idle Std,0.008350988603843295
79,Idle Max,5.098453264256239e-05
80,Idle Min,0.0008762055650285326
