,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.95392,0.94761753,0.96096,0.95424217
0,1,2,0.96316,0.9446962,0.98392,0.9639092
0,1,3,0.95168,0.9475979,0.95624,0.95189935
0,1,4,0.94492,0.9321626,0.95968,0.94572115
0,1,5,0.951,0.94330424,0.95968,0.9514217
0,1,6,0.9668,0.950162,0.98528,0.9674024
0,1,7,0.95464,0.9461454,0.96416,0.9550677
0,1,8,0.95364,0.9436664,0.96488,0.95415527
0,1,9,0.95868,0.95234716,0.96568,0.9589672
0,1,10,0.95544,0.9515387,0.95976,0.9556316
0,2,1,0.96572,0.9499884,0.9832,0.96630895
0,2,2,0.97044,0.9557467,0.98656,0.9709089
0,2,3,0.95228,0.947306,0.95784,0.9525439
0,2,4,0.96596,0.9471785,0.98696,0.9666601
0,2,5,0.9662,0.9488562,0.98552,0.9668406
0,2,6,0.95584,0.952007,0.96008,0.9560265
0,2,7,0.955,0.9494271,0.9612,0.9552773
0,2,8,0.95328,0.9496112,0.95736,0.9534699
0,2,9,0.96584,0.9511855,0.98208,0.96638596
0,2,10,0.96632,0.9483156,0.9864,0.96698296
0,3,1,0.95684,0.9521736,0.962,0.9570616
0,3,2,0.94832,0.9459653,0.95096,0.94845605
0,3,3,0.9664,0.95012355,0.98448,0.9669967
0,3,4,0.95068,0.9444576,0.95768,0.95102286
0,3,5,0.95404,0.94566154,0.96344,0.954468
0,3,6,0.95428,0.9510684,0.95784,0.95444226
0,3,7,0.9582,0.95215917,0.96488,0.9584774
0,3,8,0.95336,0.94678336,0.96072,0.9537008
0,3,9,0.95124,0.9436797,0.95976,0.95165193
0,3,10,0.9674,0.95238096,0.984,0.96793234
0,4,1,0.95336,0.9496192,0.95752,0.9535532
0,4,2,0.95632,0.9526266,0.9604,0.9564975
0,4,3,0.95156,0.9523199,0.95072,0.9515193
0,4,4,0.95948,0.95442677,0.96504,0.9597041
0,4,5,0.9518,0.94138336,0.9636,0.9523622
0,4,6,0.9534,0.94363993,0.9644,0.953907
0,4,7,0.9684,0.952963,0.98544,0.9689294
0,4,8,0.96736,0.9514683,0.98496,0.96792454
0,4,9,0.95436,0.9505037,0.95864,0.9545545
0,4,10,0.95376,0.9471775,0.96112,0.9540978
0,5,1,0.96836,0.95450664,0.9836,0.96883494
0,5,2,0.96632,0.9513706,0.98288,0.9668687
0,5,3,0.96628,0.95136684,0.9828,0.966828
0,5,4,0.9532,0.94867736,0.95824,0.9534347
0,5,5,0.96776,0.9506011,0.9868,0.96836245
0,5,6,0.96824,0.94871205,0.99,0.96891636
0,5,7,0.95732,0.9524337,0.96272,0.9575492
0,5,8,0.967,0.9534685,0.98192,0.9674851
0,5,9,0.96616,0.9510062,0.98296,0.96671915
0,5,10,0.97052,0.9535045,0.98928,0.9710628
