Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,2.7255896006281217e-06
2,Dst IP,0.0
3,Dst Port,0.044929066802943736
4,Protocol,6.0014549215731614e-05
5,Flow Duration,0.0026924163314790673
6,Tot Fwd Pkts,0.00481730609140382
7,Tot Bwd Pkts,1.7861736379041027e-05
8,TotLen Fwd Pkts,0.001131276363155805
9,TotLen Bwd Pkts,0.0001542304697606909
10,Fwd Pkt Len Max,0.0005090447755575842
11,Fwd Pkt Len Min,0.0004123222824450128
12,Fwd Pkt Len Mean,0.0003415123498279319
13,Fwd Pkt Len Std,1.8877906104621424e-06
14,Bwd Pkt Len Max,7.119026617757331e-05
15,Bwd Pkt Len Min,5.3786558202882696e-05
16,Bwd Pkt Len Mean,4.7533014547421184e-05
17,Bwd Pkt Len Std,4.769461429662159e-06
18,Flow Byts/s,0.0007479815143412483
19,Flow Pkts/s,0.12786413441845185
20,Flow IAT Mean,0.010597693875442911
21,Flow IAT Std,0.023747467358144
22,Flow IAT Max,0.006003859189775558
23,Flow IAT Min,0.0686342039641373
24,Fwd IAT Tot,0.0024159612777681526
25,Fwd IAT Mean,0.031245946042040573
26,Fwd IAT Std,0.0
27,Fwd IAT Max,0.009231953743727258
28,Fwd IAT Min,0.14445019623471486
29,Bwd IAT Tot,9.444468259975426e-06
30,Bwd IAT Mean,0.1467076949536502
31,Bwd IAT Std,0.0
32,Bwd IAT Max,1.7666190029847676e-06
33,Bwd IAT Min,1.040269817893646e-05
34,Fwd PSH Flags,9.148573114847736e-10
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.408215151032732
39,Bwd Header Len,0.0005749311021301308
40,Fwd Pkts/s,0.5271828173302842
41,Bwd Pkts/s,0.001850142384006526
42,Pkt Len Min,0.005005974148809932
43,Pkt Len Max,0.005482634414336775
44,Pkt Len Mean,0.003157694938192007
45,Pkt Len Std,0.00012363615367390587
46,Pkt Len Var,0.0015836494822132035
47,FIN Flag Cnt,2.3087039844197932e-05
48,SYN Flag Cnt,0.009233525799388543
49,RST Flag Cnt,1.7688518584233038e-06
50,PSH Flag Cnt,1.3277144979007009e-10
51,ACK Flag Cnt,1.7393644853281583e-05
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,7.3243270658795985e-06
56,Pkt Size Avg,0.003962872833080714
57,Fwd Seg Size Avg,0.0026579936440959983
58,Bwd Seg Size Avg,0.0019981025271133095
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,7.809369322035308e-06
64,Bwd Blk Rate Avg,2.0952075676344967e-05
65,Subflow Fwd Pkts,2.3183179237217643e-05
66,Subflow Fwd Byts,0.0008870751582305614
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,0.0012727415583639414
69,Init Fwd Win Byts,0.0028707405946320715
70,Init Bwd Win Byts,0.007433340313951228
71,Fwd Act Data Pkts,7.640243936345998e-05
72,Fwd Seg Size Min,0.2789433270971897
73,Active Mean,0.0
74,Active Std,0.0
75,Active Max,0.0
76,Active Min,0.0
77,Idle Mean,0.0
78,Idle Std,0.0016304476911193828
79,Idle Max,0.0
80,Idle Min,0.0
