,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99812,0.99704635,0.9992,0.99812204
0,1,2,0.97136,0.94629604,0.99944,0.9721423
0,1,3,0.98972,0.9985341,0.98088,0.9896283
0,1,4,0.99872,0.99872,0.99872,0.99872
0,1,5,0.99808,0.99728435,0.99888,0.99808156
0,1,6,0.99744,0.99759924,0.99728,0.9974396
0,1,7,0.9986,0.998082,0.99912,0.9986007
0,1,8,0.99876,0.9979235,0.9996,0.998761
0,1,9,0.99896,0.99896,0.99896,0.99896
0,1,10,0.99916,0.99864143,0.99968,0.9991604
0,2,1,0.97328,0.9497491,0.99944,0.9739611
0,2,2,0.9708,0.9455633,0.99912,0.97160417
0,2,3,0.9988,0.99784416,0.99976,0.9988012
0,2,4,0.999,0.99903995,0.99896,0.999
0,2,5,0.99844,0.99840015,0.99848,0.9984401
0,2,6,0.9988,0.9987202,0.99888,0.9988001
0,2,7,0.97288,0.9486868,0.99984,0.9735919
0,2,8,0.99812,0.9968084,0.99944,0.99812245
0,2,9,0.97296,0.94924015,0.99936,0.9736555
0,2,10,0.99768,0.99807847,0.99728,0.9976791
0,3,1,0.97412,0.9514741,0.9992,0.97475314
0,3,2,0.97428,0.95142007,0.9996,0.97491515
0,3,3,0.99868,0.9980027,0.99936,0.9986809
0,3,4,0.97244,0.94809926,0.9996,0.9731687
0,3,5,0.99872,0.99872,0.99872,0.99872
0,3,6,0.99836,0.99784225,0.99888,0.99836093
0,3,7,0.9726,0.9485233,0.99944,0.97331625
0,3,8,0.99772,0.9979989,0.99744,0.9977194
0,3,9,0.97184,0.94817626,0.99824,0.9725643
0,3,10,0.99928,0.99928,0.99928,0.99928
0,4,1,0.97248,0.94837534,0.99936,0.9732004
0,4,2,0.9984,0.9973655,0.99944,0.9984017
0,4,3,0.97316,0.95001143,0.99888,0.973833
0,4,4,0.99872,0.99864024,0.9988,0.9987201
0,4,5,0.99888,0.9984812,0.99928,0.9988804
0,4,6,0.99792,0.99656934,0.99928,0.9979228
0,4,7,0.99716,0.99727935,0.99704,0.99715966
0,4,8,0.99852,0.9980817,0.99896,0.9985206
0,4,9,0.97232,0.9493835,0.99784,0.9730088
0,4,10,0.99836,0.9969685,0.99976,0.9983623
0,5,1,0.9976,0.99656713,0.99864,0.9976025
0,5,2,0.99792,0.9974425,0.9984,0.997921
0,5,3,0.99836,0.9987191,0.998,0.99835944
0,5,4,0.99808,0.9988782,0.99728,0.99807847
0,5,5,0.99784,0.99799937,0.99768,0.9978397
0,5,6,0.9982,0.9969675,0.99944,0.9982022
0,5,7,0.99788,0.99784017,0.99792,0.99788004
0,5,8,0.99884,0.9983218,0.99936,0.9988406
0,5,9,0.99852,0.9976839,0.99936,0.99852127
0,5,10,0.99868,0.9980823,0.99928,0.9986808
