Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.0002754262100657266
2,Dst IP,0.0
3,Dst Port,0.06363196315222046
4,Protocol,0.0028432915538204404
5,Flow Duration,0.0003981220071060063
6,Tot Fwd Pkts,0.003356047821108641
7,Tot Bwd Pkts,0.0012505481757347154
8,TotLen Fwd Pkts,0.028297579906506127
9,TotLen Bwd Pkts,0.013530356389021388
10,Fwd Pkt Len Max,0.015486206575439542
11,Fwd Pkt Len Min,0.01232153126796445
12,Fwd Pkt Len Mean,0.0149556361910869
13,Fwd Pkt Len Std,0.004662271494469642
14,Bwd Pkt Len Max,0.011130263597296044
15,Bwd Pkt Len Min,0.003104293668014814
16,Bwd Pkt Len Mean,0.007214426183110778
17,Bwd Pkt Len Std,0.0042997503400525145
18,Flow Byts/s,0.015982364770804666
19,Flow Pkts/s,0.032174478686888844
20,Flow IAT Mean,0.0005060580731702412
21,Flow IAT Std,0.00516808986264367
22,Flow IAT Max,0.0006536794472419156
23,Flow IAT Min,0.0009539589659476898
24,Fwd IAT Tot,0.0010481611158289694
25,Fwd IAT Mean,0.0017342879766559286
26,Fwd IAT Std,0.006790968451103716
27,Fwd IAT Max,0.0020928314702189496
28,Fwd IAT Min,0.023301573774752768
29,Bwd IAT Tot,0.12029377925983828
30,Bwd IAT Mean,0.10352100217461872
31,Bwd IAT Std,0.024666433976106523
32,Bwd IAT Max,0.1184127912749375
33,Bwd IAT Min,0.1501895995619893
34,Fwd PSH Flags,2.0276100525745728e-05
35,Bwd PSH Flags,1.3337830485511405e-07
36,Fwd URG Flags,0.0
37,Bwd URG Flags,3.3163023090310158e-09
38,Fwd Header Len,0.1699010908885622
39,Bwd Header Len,0.05764880599198795
40,Fwd Pkts/s,0.14581141765411662
41,Bwd Pkts/s,0.19958300641295046
42,Pkt Len Min,0.05243644369678666
43,Pkt Len Max,0.07229999276356551
44,Pkt Len Mean,0.04552808402239898
45,Pkt Len Std,0.009696524598916106
46,Pkt Len Var,0.12152925710625442
47,FIN Flag Cnt,0.00011801586017042794
48,SYN Flag Cnt,0.0035908739771754574
49,RST Flag Cnt,6.54410849286352e-05
50,PSH Flag Cnt,0.0008666001316344178
51,ACK Flag Cnt,0.001957301024818397
52,URG Flag Cnt,1.1688044287438972e-08
53,CWE Flag Count,9.708353536552749e-09
54,ECE Flag Cnt,8.317036190419458e-09
55,Down/Up Ratio,0.00029718726807435663
56,Pkt Size Avg,0.06156813638879044
57,Fwd Seg Size Avg,0.04473500731733424
58,Bwd Seg Size Avg,0.02288397269458748
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0004484072351577645
64,Bwd Blk Rate Avg,0.009913469167906742
65,Subflow Fwd Pkts,0.005137609645388088
66,Subflow Fwd Byts,0.19638224483837238
67,Subflow Bwd Pkts,0.004507124746019187
68,Subflow Bwd Byts,0.06643034937340497
69,Init Fwd Win Byts,0.8430748957273471
70,Init Bwd Win Byts,0.5122050665634381
71,Fwd Act Data Pkts,0.008150676054864484
72,Fwd Seg Size Min,0.4881561211417723
73,Active Mean,0.09197031739710657
74,Active Std,0.0215793415252444
75,Active Max,0.04473282150472291
76,Active Min,0.03227469622027
77,Idle Mean,0.018210733848596374
78,Idle Std,0.006075793103098894
79,Idle Max,0.025839886475922558
80,Idle Min,0.03173954070083599
