,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99492,0.99551463,0.99432,0.994917
0,1,2,0.98152,0.96637225,0.99776,0.98181534
0,1,3,0.97976,0.9639486,0.9968,0.980099
0,1,4,0.99624,0.998313,0.99416,0.99623215
0,1,5,0.98972,0.98448753,0.99512,0.9897752
0,1,6,0.99412,0.99352777,0.99472,0.9941235
0,1,7,0.99048,0.9858162,0.99528,0.9905255
0,1,8,0.99568,0.9975907,0.99376,0.9956717
0,1,9,0.9906,0.99700135,0.98416,0.9905391
0,1,10,0.99484,0.99622947,0.99344,0.99483275
0,2,1,0.9798,0.9635211,0.99736,0.9801486
0,2,2,0.99508,0.9979882,0.99216,0.99506557
0,2,3,0.99696,0.9970395,0.99688,0.99695975
0,2,4,0.98988,0.9848761,0.99504,0.989932
0,2,5,0.9792,0.9636223,0.996,0.9795436
0,2,6,0.98136,0.9671584,0.99656,0.981639
0,2,7,0.99112,0.9865272,0.99584,0.9911617
0,2,8,0.96044,0.9420167,0.98128,0.9612476
0,2,9,0.98104,0.9655466,0.99768,0.98135036
0,2,10,0.97824,0.9617643,0.99608,0.9786214
0,3,1,0.99676,0.99592686,0.9976,0.9967627
0,3,2,0.99468,0.99654704,0.9928,0.99467003
0,3,3,0.967,0.9571619,0.97776,0.9673513
0,3,4,0.98084,0.9661109,0.99664,0.981138
0,3,5,0.9806,0.9651568,0.9972,0.9809168
0,3,6,0.99108,0.98567927,0.99664,0.9911293
0,3,7,0.97912,0.96204287,0.9976,0.97949886
0,3,8,0.9788,0.96223354,0.99672,0.9791732
0,3,9,0.99372,0.99630076,0.99112,0.9937036
0,3,10,0.98884,0.98231906,0.9956,0.9889149
0,4,1,0.99128,0.9859155,0.9968,0.9913279
0,4,2,0.97952,0.9627142,0.99768,0.9798853
0,4,3,0.991,0.985293,0.99688,0.9910526
0,4,4,0.9814,0.96766925,0.99608,0.9816691
0,4,5,0.99368,0.9966999,0.99064,0.9936607
0,4,6,0.99024,0.98442686,0.99624,0.9902982
0,4,7,0.9934,0.9960589,0.99072,0.9933823
0,4,8,0.96072,0.943751,0.97984,0.96145695
0,4,9,0.99516,0.9964707,0.99384,0.9951536
0,4,10,0.99676,0.99640256,0.99712,0.99676114
0,5,1,0.99008,0.98742837,0.9928,0.9901069
0,5,2,0.98808,0.98024243,0.99624,0.98817647
0,5,3,0.99032,0.98519635,0.9956,0.99037087
0,5,4,0.99028,0.98565656,0.99504,0.9903261
0,5,5,0.98804,0.9980407,0.978,0.98791873
0,5,6,0.98864,0.9822359,0.99528,0.988715
0,5,7,0.98664,0.9769484,0.9968,0.9867744
0,5,8,0.99196,0.98639566,0.99768,0.99200577
0,5,9,0.9956,0.9962352,0.99496,0.9955972
0,5,10,0.97572,0.95731753,0.99584,0.9761989
