,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9463313,0.9415235,0.95177597,0.94662195
0,1,2,0.9439979,0.9396662,0.948924,0.94427246
0,1,3,0.9590355,0.9520041,0.96681356,0.95935166
0,1,4,0.9507389,0.94360805,0.95877624,0.9511317
0,1,5,0.95177597,0.9392488,0.9660358,0.952454
0,1,6,0.95009077,0.9430832,0.95799845,0.9504823
0,1,7,0.9499611,0.9460293,0.95436865,0.95018065
0,1,8,0.94373864,0.9275543,0.96266526,0.9447837
0,1,9,0.94827586,0.95571953,0.9401089,0.94784987
0,1,10,0.95527613,0.9392196,0.97355455,0.95607895
0,2,1,0.94736844,0.9423225,0.9530723,0.9476669
0,2,2,0.9280529,0.9611732,0.89214414,0.92537314
0,2,3,0.9516463,0.95036197,0.9530723,0.95171523
0,2,4,0.94736844,0.939842,0.9559243,0.94781494
0,2,5,0.9578688,0.9457345,0.9714804,0.95843464
0,2,6,0.95320195,0.94523686,0.96214676,0.95361686
0,2,7,0.95009077,0.9361809,0.9660358,0.9508741
0,2,8,0.9462017,0.9479438,0.9442572,0.9460969
0,2,9,0.94853514,0.9373104,0.9613689,0.9491873
0,2,10,0.9498315,0.9341842,0.9678507,0.9507195
0,3,1,0.9486648,0.94913054,0.9481462,0.94863814
0,3,2,0.948924,0.9321188,0.9683692,0.9498983
0,3,3,0.94257194,0.930843,0.95618355,0.94334316
0,3,4,0.95527613,0.9481878,0.9631838,0.95562696
0,3,5,0.9486648,0.9292979,0.97122115,0.9497971
0,3,6,0.9542391,0.94421905,0.9655172,0.9547494
0,3,7,0.9507389,0.9386828,0.96448016,0.9514066
0,3,8,0.9499611,0.94625866,0.95410943,0.95016783
0,3,9,0.9419238,0.94725794,0.9359606,0.94157535
0,3,10,0.95177597,0.93991417,0.965258,0.9524175
0,4,1,0.95527613,0.9416499,0.97070265,0.9559556
0,4,2,0.9481462,0.93881696,0.95877624,0.94869155
0,4,3,0.9480166,0.93113774,0.9675914,0.94901466
0,4,4,0.9572206,0.9534585,0.9613689,0.9573974
0,4,5,0.95683175,0.9499489,0.96448016,0.9571594
0,4,6,0.9458128,0.92741734,0.9673321,0.94695437
0,4,7,0.9363495,0.93737006,0.9351828,0.9362752
0,4,8,0.9380347,0.9416993,0.93388647,0.9377766
0,4,9,0.95009077,0.9410569,0.96033186,0.9505967
0,4,10,0.9530723,0.9418458,0.9657765,0.953661
0,5,1,0.9460721,0.93066335,0.9639616,0.9470199
0,5,2,0.95035,0.9629531,0.9367384,0.9496649
0,5,3,0.9477573,0.9566367,0.9380347,0.9472444
0,5,4,0.9481462,0.9313701,0.9675914,0.94913524
0,5,5,0.9507389,0.93648005,0.96707284,0.9515306
0,5,6,0.9513871,0.9356857,0.96940625,0.9522475
0,5,7,0.9289603,0.96202177,0.8931812,0.9263243
0,5,8,0.945035,0.9406932,0.9499611,0.94530445
0,5,9,0.9551465,0.94454294,0.96707284,0.9556751
0,5,10,0.9509982,0.94545454,0.9572206,0.95130116
