Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.00029183567844364404
2,Dst IP,0.0
3,Dst Port,0.0008590148792556353
4,Protocol,0.0006599881162668107
5,Flow Duration,0.004995380259229552
6,Tot Fwd Pkts,0.0004894729994833362
7,Tot Bwd Pkts,0.0001763244535338537
8,TotLen Fwd Pkts,0.013789348130281764
9,TotLen Bwd Pkts,0.01401922693763914
10,Fwd Pkt Len Max,0.0074165879726553335
11,Fwd Pkt Len Min,0.004757004420645155
12,Fwd Pkt Len Mean,0.007650937282905687
13,Fwd Pkt Len Std,0.0050222574716606
14,Bwd Pkt Len Max,0.01593830574634174
15,Bwd Pkt Len Min,0.01290056171941394
16,Bwd Pkt Len Mean,0.016716439906707774
17,Bwd Pkt Len Std,0.009311975915151063
18,Flow Byts/s,0.0036804261799897745
19,Flow Pkts/s,0.0008957154379893855
20,Flow IAT Mean,0.00714686692838295
21,Flow IAT Std,0.007319600209351358
22,Flow IAT Max,0.01125534684802498
23,Flow IAT Min,0.016008347744397015
24,Fwd IAT Tot,0.014446069234737879
25,Fwd IAT Mean,0.007809245944544902
26,Fwd IAT Std,0.0043798313438337625
27,Fwd IAT Max,0.011171176742835172
28,Fwd IAT Min,0.008212929747679686
29,Bwd IAT Tot,0.03517229173266857
30,Bwd IAT Mean,0.027931530655128205
31,Bwd IAT Std,0.005444348076029977
32,Bwd IAT Max,0.03688721425626364
33,Bwd IAT Min,0.034110796164968246
34,Fwd PSH Flags,0.0
35,Bwd PSH Flags,7.038600207324422e-05
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.032057979708660964
39,Bwd Header Len,0.03385239382265042
40,Fwd Pkts/s,0.14392328113669284
41,Bwd Pkts/s,0.003515699177909285
42,Pkt Len Min,0.04172793715507404
43,Pkt Len Max,0.09995446445581571
44,Pkt Len Mean,0.09725680569493407
45,Pkt Len Std,0.11285706270104763
46,Pkt Len Var,0.46681357082952396
47,FIN Flag Cnt,0.0
48,SYN Flag Cnt,0.00026460003061577026
49,RST Flag Cnt,0.0
50,PSH Flag Cnt,0.00015486513711507544
51,ACK Flag Cnt,0.0007957284305555902
52,URG Flag Cnt,0.0
53,CWE Flag Count,1.8539088079705835e-06
54,ECE Flag Cnt,3.802590945269912e-08
55,Down/Up Ratio,0.001456495488169435
56,Pkt Size Avg,0.13309031715918324
57,Fwd Seg Size Avg,0.10713227918192522
58,Bwd Seg Size Avg,0.13091666868542062
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,0.010091811008225182
66,Subflow Fwd Byts,0.24958817087162882
67,Subflow Bwd Pkts,0.006090706401134389
68,Subflow Bwd Byts,0.23691935242913614
69,Init Fwd Win Byts,0.0
70,Init Bwd Win Byts,1.0958433268420344
71,Fwd Act Data Pkts,0.019141970089385448
72,Fwd Seg Size Min,0.0
73,Active Mean,0.002329264332069264
74,Active Std,0.00024930900409584066
75,Active Max,0.002113874246942073
76,Active Min,0.0007862939752626323
77,Idle Mean,0.4166900174788128
78,Idle Std,0.4919869268305271
79,Idle Max,0.620699026355383
80,Idle Min,0.5605480022682693
