Index,Feature,SHAP_value
0,Src IP,0.0
1,Src Port,0.002773065557487708
2,Dst IP,0.0
3,Dst Port,0.0030352912226693785
4,Protocol,0.00042002483894892413
5,Flow Duration,0.035557142618671565
6,Tot Fwd Pkts,0.002458871765187679
7,Tot Bwd Pkts,0.0014358595454722228
8,TotLen Fwd Pkts,0.04859308345599394
9,TotLen Bwd Pkts,0.024973680864755723
10,Fwd Pkt Len Max,0.02374250490480751
11,Fwd Pkt Len Min,0.002053164837914009
12,Fwd Pkt Len Mean,0.005665555167430056
13,Fwd Pkt Len Std,0.008770525479580318
14,Bwd Pkt Len Max,0.014249116772641032
15,Bwd Pkt Len Min,0.0007770283933824551
16,Bwd Pkt Len Mean,0.005459548877520447
17,Bwd Pkt Len Std,0.007674145338896136
18,Flow Byts/s,0.02493402233189341
19,Flow Pkts/s,0.010381534412370537
20,Flow IAT Mean,0.037197261171645936
21,Flow IAT Std,0.025251132476682002
22,Flow IAT Max,0.04144229292913378
23,Flow IAT Min,0.012619191035297772
24,Fwd IAT Tot,0.04132832211509724
25,Fwd IAT Mean,0.023863080866068597
26,Fwd IAT Std,0.027028163238358837
27,Fwd IAT Max,0.042365077218217875
28,Fwd IAT Min,0.01823692317136762
29,Bwd IAT Tot,0.053712076461855454
30,Bwd IAT Mean,0.034079519641273676
31,Bwd IAT Std,0.032839758660747856
32,Bwd IAT Max,0.05519551202230717
33,Bwd IAT Min,0.021566684895996814
34,Fwd PSH Flags,9.75139597662455e-05
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.04500665244565165
39,Bwd Header Len,0.16400219557371623
40,Fwd Pkts/s,0.05337743887472142
41,Bwd Pkts/s,0.21303492042759836
42,Pkt Len Min,0.018139639638194236
43,Pkt Len Max,0.1715296856068635
44,Pkt Len Mean,0.05836674235344121
45,Pkt Len Std,0.07988776492418774
46,Pkt Len Var,0.2306229916970417
47,FIN Flag Cnt,0.0010102668557316812
48,SYN Flag Cnt,0.005222592479524375
49,RST Flag Cnt,0.00037504550205622354
50,PSH Flag Cnt,0.01997904849536567
51,ACK Flag Cnt,0.03054419485477212
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,0.0010262066420271073
56,Pkt Size Avg,0.18029045518862663
57,Fwd Seg Size Avg,0.23346343938898376
58,Bwd Seg Size Avg,0.1691317566531709
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.05338286016600735
64,Bwd Blk Rate Avg,1.6680676339386302
65,Subflow Fwd Pkts,0.006537662306757249
66,Subflow Fwd Byts,0.1764951402432864
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,0.18712439115963778
69,Init Fwd Win Byts,1.3849374119020026
70,Init Bwd Win Byts,3.033571201639913
71,Fwd Act Data Pkts,0.08402088187368509
72,Fwd Seg Size Min,0.03836665923346627
73,Active Mean,0.0
74,Active Std,0.0
75,Active Max,0.0
76,Active Min,0.0
77,Idle Mean,0.0
78,Idle Std,0.09142077498602057
79,Idle Max,0.0
80,Idle Min,0.2586774087041977
