,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9688,0.9413315,0.99992,0.96974164
0,1,2,0.96936,0.9422584,1.0,0.97027093
0,1,3,0.9702,0.94375235,1.0,0.97106236
0,1,4,0.97004,0.94346744,1.0,0.9709115
0,1,5,0.96968,0.942827,1.0,0.97057223
0,1,6,0.96948,0.94253826,0.99992,0.97038156
0,1,7,0.9698,0.9430404,1.0,0.9706853
0,1,8,0.96824,0.9404063,0.99984,0.9692129
0,1,9,0.96788,0.93963766,1.0,0.9688796
0,1,10,0.96976,0.9429692,1.0,0.97064763
0,2,1,0.97124,0.9456086,1.0,0.97204405
0,2,2,0.96764,0.93921405,1.0,0.9686544
0,2,3,0.97024,0.94382364,1.0,0.9711001
0,2,4,0.96872,0.94118977,0.99992,0.9696664
0,2,5,0.96608,0.9364699,1.0,0.9671928
0,2,6,0.96972,0.9428981,1.0,0.97060996
0,2,7,0.96956,0.94261366,1.0,0.9704592
0,2,8,0.97044,0.9442472,0.99992,0.97128654
0,2,9,0.96872,0.9411233,1.0,0.9696688
0,2,10,0.97008,0.94353867,1.0,0.97094923
0,3,1,0.9682,0.9402693,0.99992,0.96917766
0,3,2,0.9708,0.9448224,1.0,0.9716285
0,3,3,0.96572,0.9358389,1.0,0.9668561
0,3,4,0.96924,0.9420454,1.0,0.9701579
0,3,5,0.96936,0.9423251,0.99992,0.9702686
0,3,6,0.97136,0.94582325,1.0,0.9721574
0,3,7,0.96748,0.9389978,0.99992,0.96850175
0,3,8,0.96984,0.9431784,0.99992,0.9707207
0,3,9,0.96972,0.9428981,1.0,0.97060996
0,3,10,0.97,0.94346315,0.99992,0.9708715
0,4,1,0.97048,0.9442514,1.0,0.9713265
0,4,2,0.96604,0.936596,0.99976,0.96714777
0,4,3,0.95048,0.9357685,0.96736,0.95130205
0,4,4,0.96992,0.9432539,1.0,0.9707984
0,4,5,0.97036,0.94403744,1.0,0.9712132
0,4,6,0.97048,0.9442514,1.0,0.9713265
0,4,7,0.96992,0.9432539,1.0,0.9707984
0,4,8,0.96908,0.9417615,1.0,0.97000736
0,4,9,0.97144,0.9460339,0.99992,0.97223085
0,4,10,0.96928,0.9421164,1.0,0.9701956
0,5,1,0.97032,0.94396615,1.0,0.9711755
0,5,2,0.97108,0.9453899,0.99992,0.9718907
0,5,3,0.97008,0.94353867,1.0,0.97094923
0,5,4,0.96924,0.9420454,1.0,0.9701579
0,5,5,0.96888,0.94140685,1.0,0.96981925
0,5,6,0.9702,0.9438194,0.99992,0.9710601
0,5,7,0.96948,0.94247156,1.0,0.97038394
0,5,8,0.967,0.93808633,1.0,0.96805423
0,5,9,0.96996,0.943392,0.99992,0.9708339
0,5,10,0.96908,0.9417615,1.0,0.97000736
