,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99872,0.9980029,0.99944,0.99872094
0,1,2,0.95892,0.9608741,0.9568,0.95883274
0,1,3,0.9586,0.96211207,0.9548,0.9584421
0,1,4,0.96864,0.98134756,0.95544,0.9682204
0,1,5,0.97376,0.99194217,0.95528,0.97326595
0,1,6,0.99728,0.99458945,1.0,0.9972874
0,1,7,0.95976,0.9622748,0.95704,0.9596502
0,1,8,0.9614,0.96262133,0.96008,0.961349
0,1,9,0.99796,0.99633205,0.9996,0.99796337
0,1,10,0.99764,0.9953022,1.0,0.99764556
0,2,1,0.95888,0.9596154,0.95808,0.9588471
0,2,2,0.99244,0.9851052,1.0,0.99249667
0,2,3,0.95704,0.9591706,0.95472,0.9569401
0,2,4,0.95768,0.9609992,0.95408,0.95752716
0,2,5,0.99636,0.99277264,1.0,0.99637324
0,2,6,0.99844,0.997604,0.99928,0.9984413
0,2,7,0.99924,0.998562,0.99992,0.9992405
0,2,8,0.51376,0.506976,1.0,0.67283887
0,2,9,0.96124,0.9632784,0.95904,0.9611545
0,2,10,0.99648,0.9956869,0.99728,0.9964828
0,3,1,0.998,0.996095,0.99992,0.9980038
0,3,2,0.51384,0.50701714,1.0,0.6728751
0,3,3,0.96088,0.96088,0.96088,0.96088
0,3,4,0.99664,0.9933249,1.0,0.99665123
0,3,5,0.99696,0.99395674,1.0,0.99696916
0,3,6,0.99848,0.9969692,1.0,0.9984823
0,3,7,0.95912,0.9626733,0.95528,0.95896244
0,3,8,0.9612,0.96506935,0.95704,0.9610379
0,3,9,0.99952,0.9993602,0.99968,0.99952006
0,3,10,0.99736,0.99474776,1.0,0.99736696
0,4,1,0.99952,0.99959993,0.99944,0.99952
0,4,2,0.99844,0.9978426,0.99904,0.9984409
0,4,3,0.98176,0.9919131,0.97144,0.98156977
0,4,4,0.95952,0.96255434,0.95624,0.95938677
0,4,5,0.9598,0.96220344,0.9572,0.95969516
0,4,6,0.96,0.9634854,0.95624,0.95984906
0,4,7,0.99396,0.9896122,0.9984,0.99398667
0,4,8,0.514,0.5070994,1.0,0.6729475
0,4,9,0.96024,0.96290636,0.95736,0.9601252
0,4,10,0.99872,0.99832135,0.99912,0.9987206
0,5,1,0.99776,0.9967268,0.9988,0.9977623
0,5,2,0.96052,0.9642713,0.95648,0.9603599
0,5,3,0.99836,0.99680996,0.99992,0.99836254
0,5,4,0.97608,0.9935313,0.9584,0.97564954
0,5,5,0.97304,0.9916847,0.95408,0.9725189
0,5,6,0.99824,0.9966507,0.99984,0.9982428
0,5,7,0.99848,0.9969692,1.0,0.9984823
0,5,8,0.99536,0.9916627,0.99912,0.99537736
0,5,9,0.54176,0.5227729,0.95864,0.6765852
0,5,10,0.9746,0.95213777,0.99944,0.9752157
