,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9000875,0.94813186,0.84648234,0.8944283
0,1,2,0.8817816,0.94208246,0.8135807,0.8731289
0,1,3,0.97119355,0.94912255,0.9957648,0.97188437
0,1,4,0.9020126,0.94464016,0.8540777,0.89707905
0,1,5,0.95876795,0.92387295,0.99993,0.960398
0,1,6,0.94672734,0.93577576,0.95929295,0.94738847
0,1,7,0.9976724,0.9983177,0.99702483,0.9976709
0,2,1,0.93291914,0.9563854,0.90721035,0.93114907
0,2,2,0.9218411,0.8897549,0.96300316,0.9249311
0,2,3,0.9865418,0.9800725,0.99327964,0.9866319
0,2,4,0.9100105,0.93420565,0.8821491,0.90743136
0,2,5,0.9682359,0.94116676,0.99891496,0.9691814
0,2,6,0.8434722,0.84711707,0.8382219,0.84264606
0,2,7,0.99819744,0.9994386,0.99695486,0.9981952
0,3,1,0.93876445,0.9248026,0.95519775,0.9397545
0,3,2,0.8862093,0.8571336,0.92691636,0.8906602
0,3,3,0.9721911,0.9498783,0.99698985,0.972864
0,3,4,0.8840567,0.92032176,0.84091705,0.8788295
0,3,5,0.95239764,0.92388165,0.9860343,0.95394665
0,3,6,0.9018376,0.93947864,0.85901296,0.89744574
0,3,7,0.99684983,0.99761623,0.9960798,0.99684745
0,4,1,0.9337417,0.9225602,0.94697237,0.9346069
0,4,2,0.9868568,0.98194796,0.9919496,0.98692346
0,4,3,0.96750087,0.9428988,0.9952748,0.96837914
0,4,4,0.8876444,0.97864985,0.79257965,0.87584126
0,4,5,0.9623556,0.9384023,0.9896745,0.96335673
0,4,6,0.93473923,0.9141133,0.959643,0.936325
0,4,7,0.9879069,0.97969645,0.99646485,0.9880095
0,5,1,0.9365943,0.9322222,0.94165206,0.93691343
0,5,2,0.9088904,0.9591981,0.8541127,0.9036104
0,5,3,0.9774939,0.9589557,0.9976899,0.9779394
0,5,4,0.8880469,0.95234406,0.81697583,0.87948155
0,5,5,0.9444872,0.94152004,0.94784737,0.9446732
0,5,6,0.6979174,0.8597239,0.47301364,0.6102644
0,5,7,0.9983899,0.9989138,0.9978649,0.99838907
0,6,1,0.9440147,0.9378689,0.9510326,0.94440484
0,6,2,0.9782639,0.96833014,0.9888694,0.978492
0,6,3,0.98563176,0.9779531,0.9936647,0.98574626
0,6,4,0.8558453,0.87767005,0.8269513,0.8515561
0,6,5,0.96879596,0.9418401,0.99929994,0.9697196
0,6,6,0.9441022,0.93100756,0.95929295,0.9449386
0,6,7,0.9961848,0.99594176,0.9964298,0.9961857
0,7,1,0.9162058,0.9598221,0.86877847,0.9120338
0,7,2,0.9715611,0.971908,0.97119355,0.97155064
0,7,3,0.9761288,0.95681375,0.99726987,0.976623
0,7,4,0.9085754,0.929186,0.8845642,0.9063262
0,7,5,0.9601855,0.9268253,0.99926496,0.96168286
0,7,6,0.8776514,0.9363096,0.8104305,0.8688343
0,7,7,0.99742734,0.99880666,0.9960448,0.9974238
0,8,1,0.91083306,0.95330787,0.8639832,0.90645033
0,8,2,0.9207385,0.9348164,0.90455025,0.91943437
0,8,3,0.9782289,0.9611516,0.9967448,0.97862464
0,8,4,0.8683934,0.8650711,0.87294364,0.8689895
0,8,5,0.96741337,0.93927634,0.99943995,0.9684247
0,8,6,0.93960446,0.930902,0.9497025,0.94020826
0,8,7,0.99698985,0.9984204,0.9955548,0.9969856
0,9,1,0.89735734,0.965629,0.8240462,0.8892372
0,9,2,0.9583129,0.9564914,0.960308,0.9583959
0,9,3,0.97101855,0.94752246,0.99726987,0.97176
0,9,4,0.92054605,0.9689696,0.8689184,0.9162207
0,9,5,0.96473575,0.9400749,0.99275464,0.9656968
0,9,6,0.80287015,0.9494131,0.639832,0.76446974
0,9,7,0.99747986,0.99817735,0.99677986,0.99747807
0,10,1,0.9296815,0.9487826,0.9084004,0.9281525
0,10,2,0.97917396,0.9703821,0.98851943,0.97936684
0,10,3,0.96704584,0.9402197,0.9975149,0.9680202
0,10,4,0.91121805,0.9330925,0.8859643,0.9089179
0,10,5,0.96666086,0.94081664,0.9959748,0.9676103
0,10,6,0.90894294,0.8987951,0.9216661,0.9100869
0,10,7,0.9938572,0.9957137,0.9919846,0.99384564
