,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.7072923,0.89094585,0.47240868,0.6174338
0,1,2,0.52299714,0.51187515,0.99128395,0.67512965
0,2,1,0.7288772,0.70013034,0.8006974,0.74704444
0,2,2,0.77837616,0.74079174,0.8564196,0.7944203
0,3,1,0.5706913,0.68985295,0.25686514,0.37434414
0,3,2,0.7297854,0.6817987,0.86176276,0.7612897
0,4,1,0.6557624,0.6614091,0.63827044,0.64963377
0,4,2,0.4644311,0.45330513,0.3452962,0.39199668
0,5,1,0.5924244,0.61920667,0.48008892,0.540845
0,5,2,0.87467706,0.8338032,0.93590164,0.8819073
0,6,1,0.5758042,0.6095524,0.42177665,0.49857017
0,6,2,0.6993052,0.66144365,0.81656444,0.7308639
0,7,1,0.76492023,0.8118548,0.6896696,0.7457908
0,7,2,0.45400575,0.29651332,0.06702114,0.10933027
0,8,1,0.4963604,0.4375841,0.02551652,0.048221156
0,8,2,0.59330964,0.6707741,0.36650574,0.47401395
0,9,1,0.71252286,0.68882984,0.7752594,0.72949356
0,9,2,0.6267093,0.58466434,0.87501305,0.7009616
0,10,1,0.62794,0.8347017,0.31906548,0.46166068
0,10,2,0.7597599,0.7230138,0.8421451,0.7780457
