,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.70609796,0.76027435,0.60202247,0.6719567
0,1,2,0.7816414,0.72319305,0.9125783,0.80692244
0,2,1,0.55576235,0.78058517,0.15513033,0.2588232
0,2,2,0.7111267,0.6924275,0.75971425,0.724512
0,3,1,0.65120304,0.6991538,0.53081685,0.60346574
0,3,2,0.7934173,0.7259142,0.9428171,0.8202691
0,4,1,0.63198936,0.70591193,0.4524889,0.5514798
0,4,2,0.7414601,0.6748722,0.9318502,0.78281075
0,5,1,0.7945384,0.81896627,0.7562462,0.7863576
0,5,2,0.6861006,0.6619635,0.7606146,0.70786846
0,6,1,0.5348052,0.52817476,0.6524714,0.5837802
0,6,2,0.7395257,0.6758147,0.9207137,0.77948105
0,7,1,0.7275303,0.82774943,0.5746404,0.6783539
0,7,2,0.7126631,0.6827391,0.7945394,0.7344087
0,8,1,0.728219,0.8627508,0.5427862,0.6663492
0,8,2,0.6222991,0.58328074,0.85655665,0.6939853
0,9,1,0.69296485,0.7792778,0.53843606,0.6368473
0,9,2,0.71383744,0.710752,0.7211574,0.71591693
0,10,1,0.5344434,0.63618505,0.1609014,0.25684306
0,10,2,0.76974165,0.6950246,0.9612996,0.8067586
