,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.96635616,0.6933257,0.96635616,0.8073831
1,1,1,Normal,0.57255787,0.94450057,0.57255787,0.71293396
0,1,2,Attack,0.9583444,0.9153193,0.9583444,0.9363379
1,1,2,Normal,0.9113388,0.9562898,0.9113388,0.9332734
0,1,3,Attack,0.84506255,0.99811375,0.84506255,0.9152337
1,1,3,Normal,0.99840295,0.865662,0.99840295,0.9273062
0,1,4,Attack,0.98560023,0.6636973,0.98560023,0.793235
1,1,4,Normal,0.50058556,0.97203845,0.50058556,0.6608454
0,1,5,Attack,0.937317,0.99149704,0.937317,0.96364605
1,1,5,Normal,0.99196166,0.9405648,0.99196166,0.96557975
0,1,6,Attack,0.9108065,0.7491844,0.9108065,0.8221274
1,1,6,Normal,0.69507587,0.88627183,0.69507587,0.7791154
0,1,7,Attack,0.99845624,0.99438024,0.99845624,0.9964141
1,1,7,Normal,0.9943572,0.99844986,0.9943572,0.99639934
0,2,1,Attack,0.94229436,0.77707535,0.94229436,0.8517467
1,2,1,Normal,0.7296779,0.9267122,0.7296779,0.81647605
0,2,2,Attack,0.9485494,0.9366081,0.9485494,0.94254094
1,2,2,Normal,0.93579984,0.9478849,0.93579984,0.9418036
0,2,3,Attack,0.85799843,0.98032355,0.85799843,0.91509116
1,2,3,Normal,0.9827788,0.8737517,0.9827788,0.9250639
0,2,4,Attack,0.97921216,0.74662095,0.97921216,0.8472433
1,2,4,Normal,0.667687,0.9698059,0.667687,0.79087585
0,2,5,Attack,0.64570135,0.5807618,0.64570135,0.61151236
1,2,5,Normal,0.5338834,0.6010968,0.5338834,0.5654999
0,2,6,Attack,0.96228373,0.75134045,0.96228373,0.84382874
1,2,6,Normal,0.6815278,0.94756126,0.6815278,0.7928226
0,2,7,Attack,0.94631356,0.9957429,0.94631356,0.9703992
1,2,7,Normal,0.9959542,0.94885254,0.9959542,0.971833
0,3,1,Attack,0.93265903,0.80420464,0.93265903,0.86368173
1,3,1,Normal,0.7729305,0.9198581,0.7729305,0.8400179
0,3,2,Attack,0.94647324,0.8155921,0.94647324,0.87617195
1,3,2,Normal,0.7859995,0.93624175,0.7859995,0.8545673
0,3,3,Attack,0.84335905,0.99704206,0.84335905,0.91378385
1,3,3,Normal,0.997498,0.864279,0.997498,0.92612225
0,3,4,Attack,0.395901,0.756831,0.395901,0.51986086
1,3,4,Normal,0.8727974,0.59096724,0.8727974,0.70475084
0,3,5,Attack,0.9110727,0.9690561,0.9110727,0.9391703
1,3,5,Normal,0.9709076,0.91609323,0.9709076,0.9427043
0,3,6,Attack,0.9779079,0.58670413,0.9779079,0.7333992
1,3,6,Normal,0.3111259,0.9337008,0.3111259,0.46672922
0,3,7,Attack,0.9988555,0.9940137,0.9988555,0.9964287
1,3,7,Normal,0.9939846,0.99884987,0.9939846,0.99641126
0,4,1,Attack,0.97370243,0.65734667,0.97370243,0.78484464
1,4,1,Normal,0.4924408,0.94930476,0.4924408,0.6484867
0,4,2,Attack,0.9042055,0.9603381,0.9042055,0.9314268
1,4,2,Normal,0.9626564,0.90949553,0.9626564,0.9353212
0,4,3,Attack,0.78706414,0.9969656,0.78706414,0.8796668
1,4,3,Normal,0.9976045,0.8240985,0.9976045,0.90258884
0,4,4,Attack,0.6050306,0.7633231,0.6050306,0.6750211
1,4,4,Normal,0.8124035,0.6728688,0.8124035,0.7360818
0,4,5,Attack,0.6703753,0.44375926,0.6703753,0.5340203
1,4,5,Normal,0.15970188,0.32637075,0.15970188,0.21446188
0,4,6,Attack,0.84870905,0.7487789,0.84870905,0.7956184
1,4,6,Normal,0.7152515,0.8254085,0.7152515,0.76639193
0,4,7,Attack,0.94455683,0.9823391,0.94455683,0.9630776
1,4,7,Normal,0.98301834,0.9466103,0.98301834,0.9644708
0,5,1,Attack,0.97519296,0.6493106,0.97519296,0.77956504
1,5,1,Normal,0.47330317,0.9501977,0.47330317,0.63186693
0,5,2,Attack,0.96965665,0.89330816,0.96965665,0.9299179
1,5,2,Normal,0.8841895,0.9668209,0.8841895,0.9236608
0,5,3,Attack,0.8684323,0.99776757,0.8684323,0.9286182
1,5,3,Normal,0.99805695,0.88352966,0.99805695,0.93730783
0,5,4,Attack,0.9533404,0.8169936,0.9533404,0.8799165
1,5,4,Normal,0.78645194,0.9439936,0.78645194,0.85805136
0,5,5,Attack,0.92422146,0.77413386,0.92422146,0.84254587
1,5,5,Normal,0.73034334,0.90599614,0.73034334,0.80874205
0,5,6,Attack,0.95863724,0.6329368,0.95863724,0.76246125
1,5,6,Normal,0.44405112,0.9147886,0.44405112,0.597882
0,5,7,Attack,0.9981368,0.99651885,0.9981368,0.9973272
1,5,7,Normal,0.9965132,0.9981338,0.9965132,0.9973228
0,6,1,Attack,0.9793984,0.733953,0.9793984,0.8390951
1,6,1,Normal,0.6449827,0.9690474,0.6449827,0.77448225
0,6,2,Attack,0.8219324,0.8969704,0.8219324,0.8578135
1,6,2,Normal,0.9055896,0.835679,0.9055896,0.8692308
0,6,3,Attack,0.76092625,0.99644476,0.76092625,0.8629037
1,6,3,Normal,0.99728507,0.8066308,0.99728507,0.8918829
0,6,4,Attack,0.9702422,0.81406045,0.9702422,0.88531595
1,6,4,Normal,0.778387,0.9631777,0.778387,0.8609786
0,6,5,Attack,0.78977907,0.61475986,0.78977907,0.69136494
1,6,5,Normal,0.50508386,0.70611,0.50508386,0.58891445
0,6,6,Attack,0.95898324,0.66501164,0.95898324,0.78539044
1,6,6,Normal,0.5169284,0.926486,0.5169284,0.66360277
0,6,7,Attack,0.9976577,0.99596107,0.9976577,0.9968087
1,6,7,Normal,0.9959542,0.9976537,0.9959542,0.9968032
0,7,1,Attack,0.94993347,0.7808555,0.94993347,0.85713595
1,7,1,Normal,0.73340434,0.9360965,0.73340434,0.8224461
