,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.83309823,0.9469943,0.70569605,0.80872995
0,1,2,0.9148123,0.9043616,0.9277349,0.91589916
0,1,3,0.8625233,0.78973794,0.98812884,0.87786424
0,1,4,0.6798909,0.6681177,0.7149055,0.69072014
0,1,5,0.79695237,0.7712827,0.84426403,0.80612487
0,1,6,0.7890737,0.8115015,0.7530743,0.78119695
0,1,7,0.99680597,0.997256,0.99635345,0.99680454
0,2,1,0.74080384,0.87689555,0.56026083,0.68369764
0,2,2,0.83550704,0.8114961,0.8740485,0.8416116
0,2,3,0.92342293,0.8684113,0.9980836,0.92874306
0,2,4,0.8738222,0.939069,0.7995209,0.8636945
0,2,5,0.9294783,0.93418187,0.9240618,0.9290942
0,2,6,0.775712,0.87502265,0.64330584,0.74148273
0,2,7,0.98738354,0.9782438,0.99693906,0.98750293
0,3,1,0.80127764,0.9164459,0.6630024,0.76939
0,3,2,0.6597551,0.6583808,0.6640937,0.6612249
0,3,3,0.85807824,0.77960676,0.99840295,0.8755427
0,3,4,0.8595555,0.88696325,0.8241416,0.8543992
0,3,5,0.65542984,0.8836476,0.3579984,0.50955653
0,3,6,0.71828586,0.84644306,0.5333245,0.6543549
0,3,7,0.9973117,0.9966507,0.99797714,0.9973135
0,4,1,0.60389936,0.71489125,0.3456481,0.46599084
0,4,2,0.8651717,0.9393755,0.7807293,0.85273635
0,4,3,0.86163163,0.7857849,0.9943306,0.87784183
0,4,4,0.77117383,0.8429841,0.66648924,0.7444183
0,4,5,0.93658507,0.90803254,0.97157305,0.93872887
0,4,6,0.8153979,0.87414354,0.73689115,0.79967076
0,4,7,0.9946101,0.99541444,0.99379826,0.99460566
0,5,1,0.8408571,0.9636831,0.708411,0.81656134
0,5,2,0.6131488,0.6465155,0.49928135,0.5634387
0,5,3,0.92354274,0.8688316,0.99771094,0.9288218
0,5,4,0.796074,0.8266526,0.74926805,0.78606033
0,5,5,0.52378225,0.8342686,0.05935587,0.11082673
0,5,6,0.7904578,0.9418553,0.6191376,0.7471373
0,5,7,0.9959276,0.99447984,0.9973915,0.9959336
0,6,1,0.79065746,0.8444143,0.71261644,0.7729373
0,6,2,0.9116849,0.9738374,0.8461006,0.9054863
0,6,3,0.930889,0.8802706,0.99744475,0.9352017
0,6,4,0.8036066,0.9182035,0.6665957,0.7724266
0,6,5,0.9464333,0.9207325,0.97697634,0.94802094
0,6,6,0.7907107,0.91738003,0.6389673,0.75327116
0,6,7,0.99210805,0.9911537,0.9930796,0.9921157
0,7,1,0.6938515,0.7694613,0.55355334,0.6438899
0,7,2,0.7319537,0.7304387,0.7352409,0.7328319
0,7,3,0.9231568,0.86855525,0.99723184,0.9284564
0,7,4,0.6693372,0.7443727,0.5158105,0.6093642
0,7,5,0.9504658,0.9361406,0.9668885,0.9512661
0,7,6,0.59430397,0.71210486,0.316609,0.43833143
0,7,7,0.99606067,0.9983688,0.993745,0.99605155
0,8,1,0.8209609,0.94722396,0.6797977,0.791533
0,8,2,0.8680197,0.94921863,0.7776417,0.8549065
0,8,3,0.9014107,0.83662945,0.9976311,0.91006434
0,8,4,0.7388475,0.7365244,0.7437583,0.7401236
0,8,5,0.7045515,0.86738694,0.48293853,0.62043494
0,8,6,0.46513176,0.3946098,0.1305563,0.19620001
0,8,7,0.9704418,0.94864833,0.9947298,0.97114265
0,9,1,0.6362789,0.9816557,0.2777482,0.43298754
0,9,2,0.870016,0.9357154,0.7946234,0.859417
0,9,3,0.90009314,0.8345165,0.9981102,0.9090116
0,9,4,0.8383418,0.8446065,0.82925206,0.83685887
0,9,5,0.94365185,0.93424344,0.95448494,0.94425577
0,9,6,0.7396061,0.88688326,0.549268,0.67839175
0,9,7,0.98977906,0.99667996,0.9828321,0.9897076
0,10,1,0.79616714,0.94063836,0.63223314,0.7562
0,10,2,0.6614586,0.65541893,0.680889,0.66791123
0,10,3,0.95009315,0.91033727,0.99853605,0.9523991
0,10,4,0.71605,0.9366796,0.46342826,0.62007195
0,10,5,0.5967128,0.8648459,0.22925207,0.36243138
0,10,6,0.7722917,0.94629616,0.57734895,0.71715266
0,10,7,0.99558157,0.9982072,0.9929465,0.9955699
