,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.89869577,0.94424343,0.8474315,0.8932219
0,1,2,0.9694171,0.9746474,0.96390736,0.96924764
0,1,3,0.963029,0.9337073,0.99683255,0.96423787
0,1,4,0.8763508,0.93462026,0.8093159,0.8674664
0,1,5,0.966263,0.9400387,0.99606067,0.9672392
0,1,6,0.6603806,0.7639175,0.46422678,0.577507
0,1,7,0.9976178,0.9982942,0.99693906,0.9976162
0,2,1,0.8791589,0.9657969,0.78615916,0.8667684
0,2,2,0.9779212,0.9629496,0.99409103,0.97827256
0,2,3,0.9391669,0.89341664,0.9973117,0.94250965
0,2,4,0.888568,0.94268733,0.8274421,0.8813132
0,2,5,0.8473649,0.9392481,0.7427735,0.82953584
0,2,6,0.7010248,0.7213057,0.65520364,0.6866675
0,2,7,0.9945169,0.99855095,0.9904711,0.9944947
0,3,1,0.88770294,0.97813815,0.79313284,0.8759738
0,3,2,0.940205,0.93879175,0.94181526,0.94030106
0,3,3,0.93694437,0.8889679,0.9986159,0.94060725
0,3,4,0.8120575,0.7562959,0.9208411,0.83049667
0,3,5,0.94099015,0.9298687,0.953926,0.94174373
0,3,6,0.718592,0.7965979,0.5870908,0.6759834
0,3,7,0.99615383,0.9953496,0.99696565,0.99615693
0,4,1,0.88469523,0.98824406,0.7786532,0.87101775
0,4,2,0.955177,0.9531507,0.95741284,0.9552771
0,4,3,0.95616186,0.92081225,0.9981634,0.9579289
0,4,4,0.922691,0.9454683,0.89712536,0.92066264
0,4,5,0.90692043,0.9455584,0.86356133,0.9027017
0,4,6,0.78566676,0.92278904,0.6235028,0.74418235
0,4,7,0.9896061,0.9979157,0.9812617,0.9895186
0,5,1,0.8995608,0.98475796,0.81168485,0.88988435
0,5,2,0.9390205,0.92264134,0.9583977,0.94017965
0,5,3,0.9395794,0.8935141,0.9981102,0.9429204
0,5,4,0.9307692,0.9462828,0.9133884,0.92954475
0,5,5,0.9488155,0.93523824,0.9644131,0.94960165
0,5,6,0.6511445,0.6911889,0.54642004,0.6103373
0,5,7,0.98955286,0.9973231,0.9817408,0.9894706
0,6,1,0.858584,0.9925777,0.7225712,0.8363216
0,6,2,0.96931064,0.9632198,0.97588503,0.9695111
0,6,3,0.94960076,0.91011727,0.9977375,0.9519154
0,6,4,0.8754192,0.83496803,0.93579984,0.8825131
0,6,5,0.9136146,0.93865913,0.8850679,0.9110761
0,6,6,0.8268965,0.9368309,0.7010647,0.8019791
0,6,7,0.9959675,0.99672115,0.9952089,0.9959645
0,7,1,0.86819273,0.99234766,0.74210805,0.8491761
0,7,2,0.963202,0.9516493,0.9759915,0.9636667
0,7,3,0.8692574,0.793795,0.9976843,0.8841372
0,7,4,0.9154379,0.9813718,0.8469524,0.9092208
0,7,5,0.96417356,0.9358878,0.99661964,0.9652994
0,7,6,0.7431062,0.90390486,0.5440511,0.6792616
0,7,7,0.9970322,0.99927807,0.99478304,0.9970255
0,8,1,0.9057759,0.93559635,0.87154645,0.9024364
0,8,2,0.9527282,0.94774663,0.9582912,0.95298976
0,8,3,0.93707746,0.88976973,0.99776417,0.9406775
0,8,4,0.9089433,0.88931686,0.93414956,0.91118205
0,8,5,0.7534735,0.9334547,0.54586107,0.6888814
0,8,6,0.7628693,0.929242,0.56907105,0.7058668
0,8,7,0.99667287,0.9970433,0.9963002,0.9966716
0,9,1,0.86374766,0.9611906,0.75810486,0.84765327
0,9,2,0.94830984,0.9386655,0.95930266,0.94887185
0,9,3,0.9350679,0.8891693,0.9940378,0.9386837
0,9,4,0.906947,0.9699391,0.83992547,0.9002625
0,9,5,0.95630825,0.9341995,0.98176736,0.95739293
0,9,6,0.79861593,0.9024032,0.66965663,0.76880056
0,9,7,0.99716526,0.9970727,0.9972584,0.99716556
0,10,1,0.9054831,0.96464956,0.8418153,0.89905626
0,10,2,0.95934254,0.95999146,0.95863724,0.95931387
0,10,3,0.8498935,0.77097976,0.99550176,0.86897224
0,10,4,0.9075725,0.92298555,0.8893532,0.90585726
0,10,5,0.9213867,0.93914175,0.90117115,0.9197647
0,10,6,0.842321,0.94400334,0.72781473,0.821931
0,10,7,0.99544847,0.9960823,0.9948097,0.9954456
