,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9879159,0.79024017,0.9879159,0.8780903
1,1,1,Normal,0.7377695,0.9838847,0.7377695,0.8432357
0,1,2,Attack,0.95350015,0.95154995,0.95350015,0.9525241
1,1,2,Normal,0.95145065,0.95340466,0.95145065,0.9524267
0,1,3,Attack,0.92832047,0.9943266,0.92832047,0.96019053
1,1,3,Normal,0.99470323,0.93278253,0.99470323,0.9627483
0,1,4,Attack,0.99273354,0.8404768,0.99273354,0.9102824
1,1,4,Normal,0.8115784,0.991126,0.8115784,0.8924108
0,1,5,Attack,0.9313282,0.8924427,0.9313282,0.9114709
1,1,5,Normal,0.88775617,0.9281997,0.88775617,0.90752757
0,1,6,Attack,0.9516103,0.7611505,0.9516103,0.8457908
1,1,6,Normal,0.70138407,0.935461,0.70138407,0.80168545
0,1,7,Attack,0.94578123,0.9870826,0.94578123,0.96599066
1,1,7,Normal,0.9876231,0.9479587,0.9876231,0.96738446
0,2,1,Attack,0.9775885,0.78074914,0.9775885,0.86815107
1,2,1,Normal,0.72547245,0.97003347,0.72547245,0.83011514
0,2,2,Attack,0.907506,0.99865264,0.907506,0.95090014
1,2,2,Normal,0.9987756,0.91524184,0.9987756,0.9551859
0,2,3,Attack,0.88195366,0.9977116,0.88195366,0.93626815
1,2,3,Normal,0.99797714,0.89422596,0.99797714,0.94325715
0,2,4,Attack,0.94612724,0.83193296,0.94612724,0.8853631
1,2,4,Normal,0.80886346,0.9375559,0.80886346,0.86846805
0,2,5,Attack,0.93654513,0.9534985,0.93654513,0.94494575
1,2,5,Normal,0.95432526,0.93765366,0.95432526,0.945916
0,2,6,Attack,0.9031142,0.70795166,0.9031142,0.7937121
1,2,6,Normal,0.6274421,0.8662404,0.6274421,0.7277526
0,2,7,Attack,0.9463668,0.99680394,0.9463668,0.97093076
1,2,7,Normal,0.99696565,0.9489499,0.99696565,0.9723654
0,3,1,Attack,0.9937716,0.66175115,0.9937716,0.79446745
1,3,1,Normal,0.49204153,0.9875,0.49204153,0.65681297
