,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.9672033,0.41589743,0.9672033,0.58167475
1,1,1,DoS,0.17864598,0.9676898,0.17864598,0.30161127
2,1,1,MITM,0.9985092,0.9769545,0.9985092,0.9876143
3,1,1,Normal,0.74023265,0.95095783,0.74023265,0.83246684
4,1,1,Scanner,0.4446764,0.99201596,0.4446764,0.6140857
5,1,1,Brute force,0.99284434,0.97425395,0.99284434,0.9834613
6,1,1,Generic,0.9901581,0.9996989,0.9901581,0.99490565
7,1,1,Exploit,0.980322,0.7691228,0.980322,0.86197406
8,1,1,Infection,0.945422,0.98846275,0.945422,0.9664634
0,1,2,Botnet,0.9385808,0.4090968,0.9385808,0.56982535
1,1,2,DoS,0.16761109,0.70603013,0.16761109,0.27090862
2,1,2,MITM,0.99821055,0.96930206,0.99821055,0.98354393
3,1,2,Normal,0.74180084,0.82878083,0.74180084,0.78288233
4,1,2,Scanner,0.4291679,0.99791956,0.4291679,0.6002086
5,1,2,Brute force,0.9892666,0.96369445,0.9892666,0.9763131
6,1,2,Generic,0.9898598,0.99909693,0.9898598,0.994457
7,1,2,Exploit,0.8502833,0.7490804,0.8502833,0.79647994
8,1,2,Infection,0.9400716,0.9785847,0.9400716,0.9589416
0,1,3,Botnet,0.9710707,0.41335535,0.9710707,0.5798753
1,1,3,DoS,0.1627907,0.90697676,0.1627907,0.2760364
2,1,3,MITM,0.99940354,0.9809719,0.99940354,0.99010193
3,1,3,Normal,0.72450805,0.8920705,0.72450805,0.7996051
4,1,3,Scanner,0.43662393,0.99524134,0.43662393,0.60696524
5,1,3,Brute force,0.9940352,0.96162724,0.9940352,0.97756267
6,1,3,Generic,0.9919499,0.99521387,0.9919499,0.9935792
7,1,3,Exploit,0.90337014,0.7529207,0.90337014,0.82131237
8,1,3,Infection,0.9466309,0.9742252,0.9466309,0.9602298
0,1,4,Botnet,0.89621234,0.402761,0.89621234,0.55576104
1,1,4,DoS,0.1326774,0.66917294,0.1326774,0.22144814
2,1,4,MITM,0.9973158,0.95844084,0.9973158,0.977492
3,1,4,Normal,0.6543394,0.74727523,0.6543394,0.6977262
4,1,4,Scanner,0.44484198,0.99666,0.44484198,0.6151309
5,1,4,Brute force,0.9537727,0.957485,0.9537727,0.95562524
6,1,4,Generic,0.98568875,0.9644107,0.98568875,0.9749336
7,1,4,Exploit,0.7470921,0.6416496,0.7470921,0.69036794
8,1,4,Infection,0.93468535,0.9057804,0.93468535,0.92000586
0,1,5,Botnet,0.96272,0.4090218,0.96272,0.57412183
1,1,5,DoS,0.14047122,0.8532609,0.14047122,0.24122919
2,1,5,MITM,0.99463326,0.97515345,0.99463326,0.98479706
3,1,5,Normal,0.66447955,0.8363363,0.66447955,0.74056834
4,1,5,Scanner,0.44066787,0.9973009,0.44066787,0.61124897
5,1,5,Brute force,0.992544,0.94304335,0.992544,0.9671607
6,1,5,Generic,0.99224573,0.9919499,0.99224573,0.99209774
7,1,5,Exploit,0.86642814,0.70619684,0.86642814,0.77814966
8,1,5,Infection,0.93468535,0.98833174,0.93468535,0.9607603
0,2,1,Botnet,0.96601075,0.41384596,0.96601075,0.57945096
1,2,1,DoS,0.15597972,0.9561243,0.15597972,0.26820514
2,2,1,MITM,0.9985092,0.9752475,0.9985092,0.98674124
3,2,1,Normal,0.7688637,0.8458005,0.7688637,0.8054991
4,2,1,Scanner,0.45362362,0.9967235,0.45362362,0.6234884
5,2,1,Brute force,0.99791294,0.9681805,0.99791294,0.9828219
6,2,1,Generic,0.9901581,0.9960996,0.9901581,0.99311996
7,2,1,Exploit,0.86255217,0.7683931,0.86255217,0.81275463
8,2,1,Infection,0.9504921,0.98303515,0.9504921,0.96648973
0,2,2,Botnet,0.96094215,0.41716284,0.96094215,0.581769
1,2,2,DoS,0.16701461,0.9032258,0.16701461,0.28190285
2,2,2,MITM,0.9970176,0.9760584,0.9970176,0.98642665
3,2,2,Normal,0.71168756,0.84465677,0.71168756,0.772492
4,2,2,Scanner,0.45988667,0.9903661,0.45988667,0.62810594
5,2,2,Brute force,0.99791294,0.96372014,0.99791294,0.9805185
6,2,2,Generic,0.99194753,0.9978998,0.99194753,0.99491477
7,2,2,Exploit,0.85863405,0.7283076,0.85863405,0.7881193
8,2,2,Infection,0.95527726,0.9804162,0.95527726,0.96768343
0,2,3,Botnet,0.9704742,0.41127402,0.9704742,0.5777186
1,2,3,DoS,0.16994633,0.8809892,0.16994633,0.28492877
2,2,3,MITM,0.9961229,0.978898,0.9961229,0.98743534
3,2,3,Normal,0.65205723,0.9681275,0.65205723,0.7792624
4,2,3,Scanner,0.4223084,0.9978858,0.4223084,0.5934619
5,2,3,Brute force,0.99314046,0.9503425,0.99314046,0.97127026
6,2,3,Generic,0.99135363,0.9978992,0.99135363,0.9946157
7,2,3,Exploit,0.9725619,0.7159166,0.9725619,0.8247345
8,2,3,Infection,0.92218244,0.98471826,0.92218244,0.95242494
0,2,4,Botnet,0.94214135,0.41429508,0.94214135,0.5755147
1,2,4,DoS,0.18455575,0.78653115,0.18455575,0.29896158
2,2,4,MITM,0.9979123,0.97836256,0.9979123,0.98804075
3,2,4,Normal,0.7396361,0.95752895,0.7396361,0.8345953
4,2,4,Scanner,0.44066787,0.99864864,0.44066787,0.6115019
5,2,4,Brute force,0.9940352,0.9717201,0.9940352,0.982751
6,2,4,Generic,0.9925462,0.9993996,0.9925462,0.9959611
7,2,4,Exploit,0.98031616,0.7649523,0.98031616,0.8593464
8,2,4,Infection,0.94572026,0.98478264,0.94572026,0.96485627
0,2,5,Botnet,0.9576499,0.41056132,0.9576499,0.574727
1,2,5,DoS,0.14583954,0.86702126,0.14583954,0.24968086
2,2,5,MITM,0.99731666,0.97864246,0.99731666,0.9878913
3,2,5,Normal,0.68983,0.937576,0.68983,0.79484534
4,2,5,Scanner,0.43887895,0.97807306,0.43887895,0.605886
5,2,5,Brute force,0.9910528,0.96486646,0.9910528,0.97778434
6,2,5,Generic,0.992544,0.9993994,0.992544,0.99595994
7,2,5,Exploit,0.94454384,0.7398412,0.94454384,0.8297538
8,2,5,Infection,0.95079035,0.95192593,0.95079035,0.9513578
0,3,1,Botnet,0.9424568,0.4124478,0.9424568,0.5737883
1,3,1,DoS,0.15985684,0.9727768,0.15985684,0.27459016
2,3,1,MITM,0.9991056,0.9724318,0.9991056,0.98558825
3,3,1,Normal,0.6611989,0.9414013,0.6611989,0.77680445
4,3,1,Scanner,0.45481658,0.91922843,0.45481658,0.6085395
5,3,1,Brute force,0.9943351,0.9655472,0.9943351,0.9797297
6,3,1,Generic,0.9827021,1.0,0.9827021,0.9912756
7,3,1,Exploit,0.96601075,0.7163387,0.96601075,0.82264817
8,3,1,Infection,0.9424396,0.97711813,0.9424396,0.95946556
0,3,2,Botnet,0.9540847,0.40297192,0.9540847,0.5666224
1,3,2,DoS,0.067402326,0.837037,0.067402326,0.12475849
2,3,2,MITM,0.9791232,0.97853947,0.9791232,0.9788313
3,3,2,Normal,0.6863447,0.69274753,0.6863447,0.68953127
4,3,2,Scanner,0.44288698,0.99530834,0.44288698,0.6130031
5,3,2,Brute force,0.984198,0.94449216,0.984198,0.9639363
6,3,2,Generic,0.9785267,0.9990865,0.9785267,0.98869973
7,3,2,Exploit,0.73903966,0.6724559,0.73903966,0.7041773
8,3,2,Infection,0.93709004,0.9421463,0.93709004,0.9396114
0,3,3,Botnet,0.9415449,0.41230246,0.9415449,0.57347864
1,3,3,DoS,0.15146095,0.899115,0.15146095,0.25924984
2,3,3,MITM,0.998807,0.98153573,0.998807,0.9900961
3,3,3,Normal,0.6994633,0.9552117,0.6994633,0.80757314
4,3,3,Scanner,0.46286908,0.9039022,0.46286908,0.6122288
5,3,3,Brute force,0.99821055,0.9684606,0.99821055,0.98311055
6,3,3,Generic,0.9949314,0.99850386,0.9949314,0.9967144
7,3,3,Exploit,0.96331644,0.7442396,0.96331644,0.8397244
8,3,3,Infection,0.9457364,0.9802225,0.9457364,0.96267074
0,3,4,Botnet,0.94452727,0.41836196,0.94452727,0.57987726
1,3,4,DoS,0.17859273,0.8618705,0.17859273,0.29587555
2,3,4,MITM,0.9976141,0.9749344,0.9976141,0.9861438
3,3,4,Normal,0.673725,0.9766537,0.673725,0.7973879
4,3,4,Scanner,0.46362552,0.9184879,0.46362552,0.61620766
5,3,4,Brute force,0.99194753,0.964058,0.99194753,0.9778039
6,3,4,Generic,0.9907573,0.99670064,0.9907573,0.99372005
7,3,4,Exploit,0.97822845,0.7303496,0.97822845,0.836308
8,3,4,Infection,0.9415449,0.98563844,0.9415449,0.96308726
0,3,5,Botnet,0.06650761,0.84790874,0.06650761,0.12334072
1,3,5,DoS,0.97673726,0.39992672,0.97673726,0.56749266
2,3,5,MITM,0.9985092,0.9729808,0.9985092,0.9855797
3,3,5,Normal,0.73009247,0.87899464,0.73009247,0.797654
4,3,5,Scanner,0.45408466,0.98639894,0.45408466,0.6218865
5,3,5,Brute force,0.9859827,0.95438796,0.9859827,0.96992815
6,3,5,Generic,0.9874739,0.99879336,0.9874739,0.99310136
7,3,5,Exploit,0.89713776,0.76428753,0.89713776,0.8254012
8,3,5,Infection,0.9430361,0.9756248,0.9430361,0.95905364
0,4,1,Botnet,0.093321405,0.5599284,0.093321405,0.15997955
1,4,1,DoS,0.9490009,0.40309095,0.9490009,0.56583977
2,4,1,MITM,0.9982111,0.97666276,0.9982111,0.98731935
3,4,1,Normal,0.65821654,0.94195473,0.65821654,0.77492976
4,4,1,Scanner,0.46227258,0.98350257,0.46227258,0.6289308
5,4,1,Brute force,0.97584975,0.9726597,0.97584975,0.97425216
6,4,1,Generic,0.9910528,0.9996992,0.9910528,0.9953572
7,4,1,Exploit,0.9490161,0.72804207,0.9490161,0.823971
8,4,1,Infection,0.9513868,0.9608434,0.9513868,0.9560917
0,4,2,Botnet,0.066487774,0.91020405,0.066487774,0.12392331
1,4,2,DoS,0.96808827,0.40069127,0.96808827,0.5667889
2,4,2,MITM,0.9985088,0.9755245,0.9985088,0.9868828
3,4,2,Normal,0.7596899,0.84594953,0.7596899,0.8005027
4,4,2,Scanner,0.4431852,0.9986559,0.4431852,0.6139227
5,4,2,Brute force,0.994037,0.96525764,0.994037,0.979436
6,4,2,Generic,0.991351,0.994614,0.991351,0.9929798
7,4,2,Exploit,0.87861615,0.7505733,0.87861615,0.80956304
8,4,2,Infection,0.935003,0.98554367,0.935003,0.9596083
0,4,3,Botnet,0.9299135,0.39714685,0.9299135,0.5565869
1,4,3,DoS,0.0909362,0.6947608,0.0909362,0.16082257
2,4,3,MITM,0.9979123,0.97522587,0.9979123,0.9864387
3,4,3,Normal,0.5843769,0.6479339,0.5843769,0.6145164
4,4,3,Scanner,0.42499253,0.9247242,0.42499253,0.5823457
5,4,3,Brute force,0.9573516,0.9296264,0.9573516,0.94328535
6,4,3,Generic,0.97823495,0.9759072,0.97823495,0.97706974
7,4,3,Exploit,0.6871458,0.6186896,0.6871458,0.65112334
8,4,3,Infection,0.89833033,0.8980626,0.89833033,0.89819646
0,4,4,Botnet,0.96868473,0.4128114,0.96868473,0.5789145
1,4,4,DoS,0.10435301,0.8997429,0.10435301,0.18701577
2,4,4,MITM,0.9970176,0.98150325,0.9970176,0.98919964
3,4,4,Normal,0.6650761,0.89057505,0.6650761,0.761482
4,4,4,Scanner,0.45169947,0.99019605,0.45169947,0.6203931
5,4,4,Brute force,0.9740531,0.96741706,0.9740531,0.97072375
6,4,4,Generic,0.9907573,0.98371816,0.9907573,0.98722523
7,4,4,Exploit,0.9164927,0.7062744,0.9164927,0.79776734
8,4,4,Infection,0.9501939,0.9431616,0.9501939,0.9466647
0,4,5,Botnet,0.014613778,0.9245283,0.014613778,0.02877275
1,4,5,DoS,0.91828215,0.37755978,0.91828215,0.53510606
2,4,5,MITM,0.9949314,0.9751607,0.9949314,0.98494685
3,4,5,Normal,0.77900386,0.6534901,0.77900386,0.7107484
4,4,5,Scanner,0.42546213,0.9992997,0.42546213,0.5968214
5,4,5,Brute force,0.955264,0.9027621,0.955264,0.92827135
6,4,5,Generic,0.98180735,0.9987864,0.98180735,0.9902241
7,4,5,Exploit,0.5724508,0.68620443,0.5724508,0.62418723
8,4,5,Infection,0.9451238,0.90984786,0.9451238,0.92715037
0,5,1,Botnet,0.8908766,0.40345666,0.8908766,0.55539036
1,5,1,DoS,0.11094542,0.65608466,0.11094542,0.18979591
2,5,1,MITM,0.99701846,0.97578055,0.99701846,0.9862852
3,5,1,Normal,0.7494781,0.7173851,0.7494781,0.7330805
4,5,1,Scanner,0.4563078,0.9172662,0.4563078,0.6094403
5,5,1,Brute force,0.9916518,0.93532056,0.9916518,0.96266276
6,5,1,Generic,0.9812108,0.9900692,0.9812108,0.9856201
7,5,1,Exploit,0.748062,0.7150185,0.748062,0.73116714
8,5,1,Infection,0.9275276,0.965239,0.9275276,0.9460076
0,5,2,Botnet,0.08586762,0.7146402,0.08586762,0.15331382
1,5,2,DoS,0.95436925,0.39781204,0.95436925,0.5615513
2,5,2,MITM,0.9973158,0.973508,0.9973158,0.9852681
3,5,2,Normal,0.72540253,0.8582011,0.72540253,0.78623366
4,5,2,Scanner,0.4396063,0.9866131,0.4396063,0.6082112
5,5,2,Brute force,0.98717946,0.9476245,0.98717946,0.9669977
6,5,2,Generic,0.98210555,1.0,0.98210555,0.99097204
7,5,2,Exploit,0.88010734,0.74936515,0.88010734,0.8094911
8,5,2,Infection,0.94692904,0.9787365,0.94692904,0.9625701
0,5,3,Botnet,0.952878,0.4138065,0.952878,0.57702726
1,5,3,DoS,0.17173524,0.8044693,0.17173524,0.2830467
2,5,3,MITM,0.99671936,0.97862375,0.99671936,0.9875887
3,5,3,Normal,0.7415027,0.86564565,0.7415027,0.7987795
4,5,3,Scanner,0.45153594,0.987606,0.45153594,0.6197298
5,5,3,Brute force,0.9940352,0.96805114,0.9940352,0.9808711
6,5,3,Generic,0.99135363,1.0,0.99135363,0.99565804
7,5,3,Exploit,0.89084405,0.76121306,0.89084405,0.82094264
8,5,3,Infection,0.94633275,0.9823584,0.94633275,0.9640091
0,5,4,Botnet,0.93677306,0.41345268,0.93677306,0.57369864
1,5,4,DoS,0.14728682,0.8125,0.14728682,0.249369
2,5,4,MITM,1.0,0.97726613,1.0,0.9885024
3,5,4,Normal,0.69549656,0.9066874,0.69549656,0.787173
4,5,4,Scanner,0.45348838,0.91132414,0.45348838,0.6056142
5,5,4,Brute force,0.9955264,0.95562553,0.9955264,0.97516805
6,5,4,Generic,0.9797257,0.9996958,0.9797257,0.98960996
7,5,4,Exploit,0.9203698,0.733365,0.9203698,0.81629413
8,5,4,Infection,0.94214135,0.9529412,0.94214135,0.9475105
0,5,5,Botnet,0.9105279,0.39577392,0.9105279,0.55173033
1,5,5,DoS,0.100507006,0.52574104,0.100507006,0.16875312
2,5,5,MITM,0.9958259,0.9751825,0.9958259,0.9853961
3,5,5,Normal,0.6638831,0.72745097,0.6638831,0.6942149
4,5,5,Scanner,0.4293381,0.9951624,0.4293381,0.59987503
5,5,5,Brute force,0.968983,0.9458515,0.968983,0.95727754
6,5,5,Generic,0.98717564,0.9954887,0.98717564,0.99131477
7,5,5,Exploit,0.7742993,0.6906915,0.7742993,0.73010963
8,5,5,Infection,0.9325977,0.9270679,0.9325977,0.92982453
