Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Src Port,0.0061412104115373956,0.024061717183526364,0.056108944770465075,0.016560666834923927,0.08271017459153765,0.1381423455416576,0.013302194568374453,0.004354894381034909,0.012373465450442147
2,Dst IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5598983524978435e-24
3,Dst Port,0.8823291371351594,0.4138048945897683,0.4770516892200763,0.6249895659031585,0.2359381791916686,1.0920584642608315,0.2979846450047639,1.1063585985137117,0.7639862474253349
4,Protocol,0.010203050743026767,0.005575346150953783,0.0065067141098978255,0.011991910715588826,0.006667689278806947,0.006218484703017836,0.006813646477393881,0.003908409136034427,0.01728202311939469
5,Flow Duration,0.3359155469685132,0.19054161396754798,0.17247620007721243,0.12189304463528512,0.28819770709657083,0.4210008943836412,0.4114822356804642,0.4397166501618833,0.2782319831219039
6,Tot Fwd Pkts,0.026293680086609456,0.01915504951621886,0.019733472745420897,0.059163604532930056,0.020448469767254947,0.016438982450619873,0.013296846704926604,0.012261545159481899,0.018893153943646122
7,Tot Bwd Pkts,0.013409090401543537,0.009179730739557935,0.006359545228629132,0.006377883007417211,0.008901354343803403,0.0032621771169993818,0.004185444378396722,0.0077507542107324605,0.005643470267396454
8,TotLen Fwd Pkts,0.2771741396302602,0.0673752216363478,0.12336244235232034,0.11548244853062004,0.3125688133043028,0.05944284929123138,0.10819033698940214,0.11041950652015728,0.08185634002912871
9,TotLen Bwd Pkts,0.5915840468827083,0.17378913591050835,0.3388319039159343,0.15207391257734754,0.4176874485684368,0.143683339251291,0.23055840919687925,0.15759325801060858,0.16354438565602364
10,Fwd Pkt Len Max,0.09913131556190455,0.04986538240759675,0.11516285290194743,0.07566143177944415,0.20386781593721856,0.044985755621848464,0.07479341450039811,0.048095590627220984,0.06156813691098044
11,Fwd Pkt Len Min,0.0171347651431286,0.019740253858808142,0.03244850607413986,0.02861941834402673,0.04648391277494295,0.014047463907852215,0.014521982324250563,0.01521389514370009,0.02596965070458283
12,Fwd Pkt Len Mean,0.0338451398071437,0.02704023464153585,0.04917397729065494,0.041227149659500036,0.06608497276776323,0.025153328490841655,0.031713795348374464,0.02227685168716943,0.037260776137069095
13,Fwd Pkt Len Std,0.02557167721289803,0.0160248655585524,0.026702623365058537,0.028544114890809887,0.02758023900036296,0.012802921158764797,0.0314621378687407,0.016472791177887837,0.02157713898164804
14,Bwd Pkt Len Max,0.33290392525148543,0.12966190512261916,0.2974041533794427,0.15290041035493476,0.13633296352525345,0.12773744506949666,0.1980884890974342,0.11556034712269994,0.1065129124434064
15,Bwd Pkt Len Min,0.3281841023259107,0.038402927040718474,0.03333171087242388,0.027947965455856726,0.09014423907294225,0.023636202257900092,0.0734814564931742,0.0324657468434758,0.03782718808450538
16,Bwd Pkt Len Mean,0.1811337685857963,0.0584622289066458,0.08629053779481569,0.05702104891949409,0.14285085713854354,0.055328415652331,0.11907344688839902,0.07007349108262027,0.06473278057769896
17,Bwd Pkt Len Std,0.04696794806522406,0.04360543626316973,0.07669048970662981,0.033936611832667336,0.030279208978776218,0.057455773977490174,0.04351437810453686,0.039175249613470006,0.04790753328387948
18,Flow Byts/s,0.07337918175853804,0.03152947822412046,0.01748996181873518,0.04182597368487097,0.04906561557085572,0.3470127420973329,0.2042710458788945,0.05515474638860203,0.03736355864340156
19,Flow Pkts/s,0.0960386610150212,0.07578467751847233,0.09858476776049804,0.09029002481882044,0.09565490681738996,0.09017061509539262,0.17681029081024643,0.2074202845781608,0.08443218873212491
20,Flow IAT Mean,0.3858287159198424,0.16312771607740223,0.192149166267293,0.17159769979472722,0.6712406299409692,0.6903459333687849,0.2681149270657441,0.3937855296576057,0.31816842665298406
21,Flow IAT Std,0.6336991417421546,0.10498489679044017,0.07623453367441183,0.0734423636512771,0.7195257931879558,1.7149402496548212,0.1421321184336603,0.10688385350466903,0.021782615455897103
22,Flow IAT Max,0.2909202710893977,0.10560491693311189,0.19406379712414817,0.11448412599641142,0.2982850235887501,0.4651648167381546,0.2557316180993909,0.22397896906677678,0.22831516534800994
23,Flow IAT Min,0.15465160243755216,0.5261189585342848,0.18245326653816757,0.11608009726371049,0.25006795207925125,0.23080458014342398,0.16379649689283937,0.13217513870254513,0.19953513446086468
24,Fwd IAT Tot,0.07997715386575889,0.03255770454729171,0.05544903917209047,0.029824988223819914,0.15662604355248017,0.15404860902430206,0.07278144413344026,0.19172033954482487,0.03598160773876606
25,Fwd IAT Mean,0.34649432436723687,0.21151194033020357,0.08879582926334195,0.06460486472428875,2.492779454644464,1.1240599112580543,0.1465208783632153,0.3529917894130793,0.04447372190847208
26,Fwd IAT Std,0.25992251966535174,0.08478937465569066,0.023056884225380013,0.05890741875735035,0.01730721647974674,0.18004975575306467,0.030424349183783405,0.2640500133627398,0.018356466950151765
27,Fwd IAT Max,0.13045917169619686,0.08006162745855054,0.11275367181700562,0.0681879282865738,0.1620409042901542,0.5474913530959252,0.13685454451049905,0.22678266349540666,0.0493747689248814
28,Fwd IAT Min,0.20517549532768847,4.686274453802212,0.2264659902675809,0.11219368367463348,0.12471509779803551,0.13946438251258697,0.22011010815461368,0.35997774409998196,0.04537693760270076
29,Bwd IAT Tot,0.1182928289073741,0.24231230802744141,0.08223282282376732,0.0670500925088692,0.0848347011297103,0.12432955880556669,0.12258580416828965,0.15055255420250022,1.5340495051713117
30,Bwd IAT Mean,0.3683772872937774,0.06948039794759096,0.06236168794455864,0.059383061867766665,1.3765121722337823,0.45564597871486623,0.09018339935542558,0.3750176583408031,1.8644623241872516
31,Bwd IAT Std,0.5394977325192185,0.10065787901023811,0.04200158468038538,0.14549350714009832,0.051676890367480355,0.19628013092664437,0.05210341992697064,0.688110872621416,3.629765826878306
32,Bwd IAT Max,0.1522876284311671,0.26892783616259536,0.1298182209083488,0.2733060160458113,0.11238378515377032,0.5003868756737229,0.3090429511481303,0.4643136047576023,8.217674200488675
33,Bwd IAT Min,0.10350380961417707,0.16568275418524864,0.10419418468168185,0.06923910028064431,0.0905843213775416,0.1992781930277511,0.05257325568647635,0.49482432744197136,0.1265509373316621
34,Fwd PSH Flags,0.0005469052834138606,0.001317181889687658,0.0004060017356060857,0.0003663306561449549,0.00018496039926414292,0.00017880505581424586,0.0004485676828866682,0.00031493098494828856,0.0005037964510001495
35,Bwd PSH Flags,1.6454419175281347e-05,1.2520891984695482e-05,4.1398382764888685e-05,1.0560844729964931e-05,1.8927545731073935e-05,1.8194396641026995e-05,1.9195398518685477e-05,2.242203449358284e-05,0.0002925599576351001
36,Fwd URG Flags,1.9046128377441263e-06,7.939567872704679e-08,5.356552275932498e-06,1.6974267187631792e-06,2.2338610621065727e-05,1.2368987760661789e-06,1.74152240752139e-05,1.550255540771306e-05,3.2963365523351567e-06
37,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Fwd Header Len,0.33070335080948077,0.38114778969441954,0.4807304300994898,0.37245495711798415,0.43641384808002154,0.31878697555078755,0.4655736710738806,0.2186028596408399,0.32475488607587993
39,Bwd Header Len,0.21656921517729252,0.22969983129662602,0.15315300386451697,0.14395585490735377,0.3031445996439465,0.18791448196672456,0.20189805895675783,0.26681669469198016,0.19340697213040464
40,Fwd Pkts/s,0.25459148225704475,0.27104945899069316,0.7335776069640857,0.39930336856717563,0.7215590054157051,0.18713202671843537,0.8975383370715418,0.23539407246182767,0.6844854304588525
41,Bwd Pkts/s,1.1475318620529549,1.341634682434517,0.49414352840882475,0.4464551742102869,0.46628421584501145,4.576191228617188,0.6833409732778,1.938789339439266,2.4168178448168014
42,Pkt Len Min,0.13061920021738213,0.12009492880935764,0.07753636591781571,0.06583631392128278,0.13101630952137794,0.1805519915947025,0.1168271863117745,0.09309222819281701,0.04308380595385508
43,Pkt Len Max,0.25897263544887184,0.15952289698151723,0.2300626677484837,0.2560791638535139,0.3843301529611316,0.2144493522406051,0.3152654179132212,0.2727852047459937,0.20515039950330882
44,Pkt Len Mean,0.2515348604816534,0.16258914129787821,0.2056176051907837,0.15303186425973045,0.13907502156251303,0.1919419590580262,0.17964794332909625,0.17863807822620156,0.10227503583603641
45,Pkt Len Std,0.07416074593324669,0.07436282948791646,0.15309881651610677,0.07538918778096501,0.07616167537801842,0.06634006461941322,0.12275309577877339,0.05543630440131614,0.0924839833757786
46,Pkt Len Var,1.0217273107234288,0.38193958924184634,0.44059028023843627,0.3984468218048537,0.3367853220381737,1.1198895487287825,0.6249478478536429,0.8258241589500184,0.48293569042906614
47,FIN Flag Cnt,0.00633057127162136,0.01627386759236909,0.0029975325915187656,0.0024175638177602096,0.0030821466752371284,0.004692296973802565,0.0061385583998955235,0.002555782018825037,0.003464642579584516
48,SYN Flag Cnt,0.03560108065781072,0.028058565402783387,0.05209911828780038,0.04133911995011023,0.017027429377493606,0.04111795666820454,0.027070121374366752,0.012420194144315956,0.026351863212635995
49,RST Flag Cnt,0.002204965573496936,0.0008733836573485962,0.001361924916926954,0.0015434493849763905,0.0007152341071048672,0.0009881832742146112,0.0011835352674442964,0.0012169802716887161,0.0011465460619231786
50,PSH Flag Cnt,0.009740829903507154,0.01443960580911086,0.016991846474128738,0.014998212849727266,0.020274276796020573,0.0054232861703310585,0.030007874829515956,0.00662706753129483,0.01286587524711053
51,ACK Flag Cnt,0.02757429089612074,0.036329054726375695,0.03962303047966528,0.02793842396174085,0.050929666927413034,0.01563542542432707,0.08222166418494015,0.013024293593348418,0.04932167810621606
52,URG Flag Cnt,7.821230635034024e-05,8.662007827902522e-05,0.00012744493240324014,0.00012576314250460806,6.580987362689888e-05,0.00027344609316355174,5.603104768815683e-05,0.00010617403231493272,0.0006349409966532046
53,CWE Flag Count,9.274360831518103e-06,3.893897484213084e-05,2.4124459174749466e-06,3.935071395724461e-06,5.699056524059009e-07,1.888207444123206e-06,1.5961600006428648e-05,2.873351641270953e-06,1.4964219680728597e-06
54,ECE Flag Cnt,0.0002801468811006417,0.00016907002255515583,0.0003128793064584917,0.0006854443738331635,0.00012916937197198563,0.0002955645033987057,0.0001292167866656058,0.00022283014355780833,0.000202079749851451
55,Down/Up Ratio,0.002883736057288258,0.001327554652441204,0.004336176629322912,0.003355387385426566,0.001948428916384915,0.0028083266086763653,0.0031580169506045357,0.002459247010570934,0.0026125681820286656
56,Pkt Size Avg,0.4249902766981061,0.3798260106477918,0.2944343389881927,0.23244136643929525,0.26374951574794997,0.2483378284619251,0.2492515641434323,0.30865546415201767,0.1712291059563763
57,Fwd Seg Size Avg,0.10769291033346376,0.11854611281321643,0.12395697434553779,0.11825966983244802,0.11629014109239195,0.0751651611964583,0.11491011471478588,0.1163703988817705,0.09797142438894797
58,Bwd Seg Size Avg,0.3611164747654852,0.31477727512950066,0.2970066898698941,0.18367831486981107,0.25424724552275896,0.23105917951187424,0.2942874240352084,0.4562685850996079,0.15211324963425646
59,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Bwd Pkts/b Avg,0.005645388513671085,0.003823307792369511,0.017019231585919364,0.01604087646310372,0.021076039174978287,0.0037722883556103224,0.024428916824226123,0.0031800590926309375,0.004106160535447513
64,Bwd Blk Rate Avg,0.2961116577546144,0.023719012490176314,0.12787791986120267,0.15986567312088923,0.31336722040502263,0.321083415982479,0.3506634463226148,0.006781935008355886,0.008368140038719805
65,Subflow Fwd Pkts,0.03133312919011735,0.013874013584284806,0.02480499554333812,0.019624190640001333,0.018503927828430106,0.022254674046111263,0.020949855545438552,0.023703492483978957,0.022055308224415093
66,Subflow Fwd Byts,0.2701318758675055,0.33082119298306,0.5262459706230499,0.37357660255980785,0.366582212138176,0.2969326039460022,0.3661097354345887,0.36835664236670995,0.25085374735381427
67,Subflow Bwd Pkts,0.017192442346710735,0.011311308574589668,0.04566480071412016,0.028910820647777353,0.02881571020712969,0.014223724034185837,0.013646144108694747,0.025499008262672006,0.0205991038823545
68,Subflow Bwd Byts,0.5231017868844294,0.8993021036041631,0.32967859053566745,0.5355232654023453,0.4819932836397663,0.2841808463783102,0.44784275727064615,0.4275893213777452,0.23837730423008363
69,Init Fwd Win Byts,0.8529847908102027,11.470231621079217,1.9719018133855197,1.2033495766509266,0.8284831543661145,5.035276562077049,2.2506487686521646,1.412852917051768,1.4216639234460453
70,Init Bwd Win Byts,1.4650236595619068,1.3263835043053276,2.388626730058693,0.7606150926449342,1.2515721171564387,1.6067253882607857,2.1419078049484996,1.5739721560003392,1.0532357785446733
71,Fwd Act Data Pkts,0.08525778487837761,0.056432731064626554,0.14166592976672268,0.05055186382525212,0.08953011740780624,0.03573088427079122,0.07495822369495372,0.08604139303748792,0.0600539169200411
72,Active Mean,0.000390655945512485,0.0016793414729220659,0.010098815755487075,0.01593165587710144,0.0035178256303184455,0.041917363475188325,0.0010073693923298166,2.2340470420901122e-05,0.0001431425561790106
