,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.97078115,0.41251743,0.97078115,0.5789988
1,1,1,DoS,0.16164629,0.72556895,0.16164629,0.26439023
2,1,1,MITM,0.9991056,0.9704605,0.9991056,0.9845747
3,1,1,Normal,0.8866687,0.59867096,0.8866687,0.7147494
4,1,1,Scanner,0.43065912,0.99586207,0.43065912,0.6012909
5,1,1,Brute force,0.9859869,0.96526563,0.9859869,0.97551626
6,1,1,Generic,0.98419327,0.9984871,0.98419327,0.99128866
7,1,1,Exploit,0.4010137,0.7535014,0.4010137,0.52344817
8,1,1,Infection,0.9290188,0.98700887,0.9290188,0.9571363
0,1,2,Botnet,0.9692904,0.41340286,0.9692904,0.5796042
1,1,2,DoS,0.16761109,0.8892405,0.16761109,0.2820577
2,1,2,MITM,0.992544,0.9750952,0.992544,0.98374224
3,1,2,Normal,0.70960045,0.73867166,0.70960045,0.7238443
4,1,2,Scanner,0.43662393,1.0,0.43662393,0.6078472
5,1,2,Brute force,0.98389983,0.9526559,0.98389983,0.9680258
6,1,2,Generic,0.99164927,0.9975998,0.99164927,0.9946156
7,1,2,Exploit,0.73039067,0.69653016,0.73039067,0.7130586
8,1,2,Infection,0.9457364,0.9691415,0.9457364,0.9572959
0,1,3,Botnet,0.9648076,0.41629133,0.9648076,0.5816253
1,1,3,DoS,0.15682767,0.9376114,0.15682767,0.2687101
2,1,3,MITM,0.9979123,0.9775051,0.9979123,0.9876033
3,1,3,Normal,0.9105546,0.6378446,0.9105546,0.7501843
4,1,3,Scanner,0.45660603,0.98393315,0.45660603,0.6237523
5,1,3,Brute force,0.98568445,0.9624345,0.98568445,0.9739207
6,1,3,Generic,0.99373883,0.99970007,0.99373883,0.99671054
7,1,3,Exploit,0.49090368,0.79172677,0.49090368,0.60603833
8,1,3,Infection,0.9460346,0.9808346,0.9460346,0.9631204
0,1,4,Botnet,0.95943934,0.41482913,0.95943934,0.57922214
1,1,4,DoS,0.17590936,0.90076333,0.17590936,0.29433775
2,1,4,MITM,0.9979123,0.97522587,0.9979123,0.9864387
3,1,4,Normal,0.5940948,0.77964777,0.5940948,0.67433983
4,1,4,Scanner,0.4391771,0.98660415,0.4391771,0.60779864
5,1,4,Brute force,0.9710707,0.9736842,0.9710707,0.9723757
6,1,4,Generic,0.9952296,0.9955264,0.9952296,0.99537796
7,1,4,Exploit,0.8308977,0.64866126,0.8308977,0.72855645
8,1,4,Infection,0.9400537,0.95544106,0.9400537,0.94768494
0,1,5,Botnet,0.89710706,0.39941576,0.89710706,0.55273795
1,1,5,DoS,0.14017297,0.6733524,0.14017297,0.23204146
2,1,5,MITM,0.994037,0.9630272,0.994037,0.9782864
3,1,5,Normal,0.7807933,0.62978107,0.7807933,0.6972037
4,1,5,Scanner,0.43887895,0.99661475,0.43887895,0.60939765
5,1,5,Brute force,0.96719354,0.948523,0.96719354,0.9577673
6,1,5,Generic,0.9812108,0.96964335,0.9812108,0.97539276
7,1,5,Exploit,0.51013714,0.6374814,0.51013714,0.56674397
8,1,5,Infection,0.9343871,0.9327181,0.9343871,0.9335518
0,2,1,Botnet,0.9594514,0.41214138,0.9594514,0.5765992
1,2,1,DoS,0.15299731,0.69137466,0.15299731,0.25054944
2,2,1,MITM,0.9964222,0.95649683,0.9964222,0.9760514
3,2,1,Normal,0.8890546,0.6106104,0.8890546,0.723983
4,2,1,Scanner,0.44378167,0.9854305,0.44378167,0.611968
5,2,1,Brute force,0.97734046,0.95152396,0.97734046,0.96425945
6,2,1,Generic,0.9791232,0.99605584,0.9791232,0.98751694
7,2,1,Exploit,0.4236732,0.7558511,0.4236732,0.5429881
8,2,1,Infection,0.9099314,0.97663254,0.9099314,0.94210285
0,2,2,Botnet,0.96839595,0.41545153,0.96839595,0.5814536
1,2,2,DoS,0.15150611,0.8410596,0.15150611,0.25676015
2,2,2,MITM,0.9985088,0.9746725,0.9985088,0.98644674
3,2,2,Normal,0.8273703,0.65649396,0.8273703,0.73209333
4,2,2,Scanner,0.4446764,0.9973244,0.4446764,0.61509895
5,2,2,Brute force,0.98062015,0.9418671,0.98062015,0.96085304
6,2,2,Generic,0.99314046,0.99790233,0.99314046,0.99551564
7,2,2,Exploit,0.56337607,0.7223709,0.56337607,0.6330428
8,2,2,Infection,0.91413236,0.97086763,0.91413236,0.9416462
0,2,3,Botnet,0.96957946,0.4114669,0.96957946,0.57775015
1,2,3,DoS,0.11776983,0.9207459,0.11776983,0.208829
2,2,3,MITM,0.9970176,0.9732169,0.9970176,0.9849735
3,2,3,Normal,0.7364341,0.6501711,0.7364341,0.6906193
4,2,3,Scanner,0.43990457,0.9966216,0.43990457,0.6103869
5,2,3,Brute force,0.97673726,0.9476273,0.97673726,0.9619621
6,2,3,Generic,0.99284434,0.9988002,0.99284434,0.99581337
7,2,3,Exploit,0.597972,0.67531157,0.597972,0.63429296
8,2,3,Infection,0.93321407,0.92658377,0.93321407,0.9298871
0,2,4,Botnet,0.083805546,0.78932583,0.083805546,0.15152332
1,2,4,DoS,0.97734046,0.40265325,0.97734046,0.5703349
2,2,4,MITM,0.99940354,0.97074157,0.99940354,0.98486406
3,2,4,Normal,0.6164629,0.74459654,0.6164629,0.6744983
4,2,4,Scanner,0.43410853,0.9979438,0.43410853,0.60502803
5,2,4,Brute force,0.9373695,0.9541591,0.9373695,0.9456898
6,2,4,Generic,0.9925462,0.99879986,0.9925462,0.99566317
7,2,4,Exploit,0.7796004,0.63003135,0.7796004,0.6968808
8,2,4,Infection,0.93051,0.9689441,0.93051,0.9493382
0,2,5,Botnet,0.09185804,0.53565216,0.09185804,0.1568228
1,2,5,DoS,0.96272,0.40395445,0.96272,0.5691114
2,2,5,MITM,0.99731666,0.9684424,0.99731666,0.9826675
3,2,5,Normal,0.5252013,0.86365867,0.5252013,0.65318996
4,2,5,Scanner,0.44722718,0.995355,0.44722718,0.617157
5,2,5,Brute force,0.97822845,0.9526576,0.97822845,0.96527374
6,2,5,Generic,0.9910528,0.9811042,0.9910528,0.9860534
7,2,5,Exploit,0.8783542,0.6418301,0.8783542,0.7416918
8,2,5,Infection,0.91708916,0.9627426,0.91708916,0.9393615
0,3,1,Botnet,0.07662492,0.7558824,0.07662492,0.13914455
1,3,1,DoS,0.97822845,0.4035433,0.97822845,0.57137877
2,3,1,MITM,0.99224806,0.97566694,0.99224806,0.9838876
3,3,1,Normal,0.88965106,0.64777416,0.88965106,0.7496858
4,3,1,Scanner,0.4506412,0.99342537,0.4506412,0.6200246
5,3,1,Brute force,0.9821109,0.96034986,0.9821109,0.9711085
6,3,1,Generic,0.99224573,0.9990991,0.99224573,0.9956606
7,3,1,Exploit,0.5014908,0.81021196,0.5014908,0.6195212
8,3,1,Infection,0.94959736,0.95329344,0.94959736,0.9514418
0,3,2,Botnet,0.97018486,0.41200304,0.97018486,0.5783861
1,3,2,DoS,0.16134804,0.91694915,0.16134804,0.27441037
2,3,2,MITM,0.9985088,0.965955,0.9985088,0.9819622
3,3,2,Normal,0.7742993,0.69382846,0.7742993,0.73185855
4,3,2,Scanner,0.42737848,0.9972164,0.42737848,0.59832984
5,3,2,Brute force,0.9794276,0.96249634,0.9794276,0.97088814
6,3,2,Generic,0.99164927,0.9993989,0.99164927,0.995509
7,3,2,Exploit,0.64211154,0.7103266,0.64211154,0.67449874
8,3,2,Infection,0.940966,0.96336997,0.940966,0.9520362
0,3,3,Botnet,0.96957946,0.4131927,0.96957946,0.57944924
1,3,3,DoS,0.1726297,0.8224432,0.1726297,0.28536224
2,3,3,MITM,1.0,0.9682356,1.0,0.9838615
3,3,3,Normal,0.7841383,0.673668,0.7841383,0.7247175
4,3,3,Scanner,0.42618552,0.9993007,0.42618552,0.597533
5,3,3,Brute force,0.99433345,0.95777076,0.99433345,0.97570974
6,3,3,Generic,0.9877758,0.9993967,0.9877758,0.99355227
7,3,3,Exploit,0.596779,0.7216011,0.596779,0.6532811
8,3,3,Infection,0.9427549,0.97502315,0.9427549,0.95861757
0,3,4,Botnet,0.09841932,0.6680162,0.09841932,0.17156225
1,3,4,DoS,0.96422184,0.40414897,0.96422184,0.5695668
2,3,4,MITM,0.99970174,0.97782964,0.99970174,0.9886447
3,3,4,Normal,0.8031613,0.6838497,0.8031613,0.738719
4,3,4,Scanner,0.43500298,0.99522513,0.43500298,0.6053942
5,3,4,Brute force,0.98329854,0.9708481,0.98329854,0.9770336
6,3,4,Generic,0.9889684,0.9969943,0.9889684,0.99296516
7,3,4,Exploit,0.6200417,0.7276864,0.6200417,0.6695652
8,3,4,Infection,0.94482553,0.96821517,0.94482553,0.9563774
0,3,5,Botnet,0.96808827,0.41867664,0.96808827,0.5845489
1,3,5,DoS,0.1705935,0.9079365,0.1705935,0.28722066
2,3,5,MITM,0.9991056,0.9746946,0.9991056,0.9867492
3,3,5,Normal,0.75872356,0.6985173,0.75872356,0.72737676
4,3,5,Scanner,0.45706618,0.99223304,0.45706618,0.625842
5,3,5,Brute force,0.9889651,0.95755124,0.9889651,0.9730047
6,3,5,Generic,0.99433345,0.9994005,0.99433345,0.99686056
7,3,5,Exploit,0.6601073,0.6933918,0.6601073,0.6763403
8,3,5,Infection,0.94214135,0.9933962,0.94214135,0.96709013
0,4,1,Botnet,0.93082887,0.40113068,0.93082887,0.56065375
1,4,1,DoS,0.1580674,0.829421,0.1580674,0.26553106
2,4,1,MITM,0.99970186,0.95909613,0.99970186,0.97897816
3,4,1,Normal,0.6847599,0.6886623,0.6847599,0.6867056
4,4,1,Scanner,0.43155384,0.9717932,0.43155384,0.59768695
5,4,1,Brute force,0.94782346,0.9333529,0.94782346,0.9405325
6,4,1,Generic,0.9815091,1.0,0.9815091,0.9906683
7,4,1,Exploit,0.67620754,0.6694215,0.67620754,0.67279744
8,4,1,Infection,0.9373695,0.93681073,0.9373695,0.93709004
0,4,2,Botnet,0.96511626,0.41420346,0.96511626,0.5796401
1,4,2,DoS,0.16343573,0.87261146,0.16343573,0.2753077
2,4,2,MITM,0.99671936,0.96925753,0.99671936,0.9827966
3,4,2,Normal,0.60733455,0.76607746,0.60733455,0.677532
4,4,2,Scanner,0.44378167,0.9953177,0.44378167,0.6138614
5,4,2,Brute force,0.97584975,0.9671986,0.97584975,0.9715049
6,4,2,Generic,0.9901581,0.9996989,0.9901581,0.99490565
7,4,2,Exploit,0.8031613,0.6462683,0.8031613,0.71622336
8,4,2,Infection,0.9299344,0.955576,0.9299344,0.9425808
0,4,3,Botnet,0.96331644,0.41130778,0.96331644,0.5764769
1,4,3,DoS,0.14460346,0.88827837,0.14460346,0.24871795
2,4,3,MITM,0.99433345,0.97087944,0.99433345,0.98246646
3,4,3,Normal,0.58556944,0.7714061,0.58556944,0.66576266
