Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src Port,0.007049542875887914,0.007159555081142463,0.0009042925039538571,0.0008060154889946165,0.05355788627040401,0.006177797076758995,0.0031614206857862475,0.0021430593332842384,0.0029845378796488154
1,Dst Port,0.4782640400733983,2.7603788731044903,1.9345780574383782,1.153519658291828,0.3710523118793293,0.6621730623628361,1.773790785761857,2.1749594595704447,2.0268701371385083
2,Protocol,0.012094945689410299,0.06056904426438027,0.010498253040139356,0.012511050211817958,0.005438300451203057,0.007342203323430795,0.0050986339760136015,0.005763845802851666,0.010787400458771934
3,Flow Duration,0.2091751182737299,0.15339648214903484,0.16249336374748222,0.23025473352350803,0.40947184332881414,0.5335075309587936,0.28931856794723565,0.1453558200475859,0.7052456463327155
4,Tot Fwd Pkts,0.056117263075380855,0.05418917717143664,0.04516598899700369,0.04516023969195544,0.028472453532906013,0.02723018686164922,0.04348419667880275,0.04166852158865146,0.04537918479514162
5,Tot Bwd Pkts,0.004824188099515361,0.008834466848649154,0.005570405870472528,0.00376322875083798,0.0064394143366804015,0.012979074657679715,0.005559024597040278,0.004924965691954733,0.003488425815592849
6,TotLen Fwd Pkts,0.055548902886365104,0.09870721536915175,0.13876631690676514,0.07793684195497205,0.24691564264761895,0.11828850034538027,0.06293410981377516,0.20697102042715204,0.08976117989712273
7,TotLen Bwd Pkts,0.12939505172907545,0.2813077721857825,0.20190375877235214,0.13664520240406713,0.3346757231425748,0.11058227384746791,0.14143017960833068,0.4292306643533495,0.10289979477040412
8,Fwd Pkt Len Max,0.03607099002507001,0.07866989361302562,0.0948640591566615,0.04154065533909486,0.10624031260115627,0.06398176647349568,0.039540510275871237,0.0774141383246556,0.07902831644824174
9,Fwd Pkt Len Min,0.018942932979422233,0.018675984375632233,0.023115367397282274,0.018519806806089074,0.019645524892978397,0.01860356759626399,0.012377352383028214,0.022085488890693006,0.02412471155347149
10,Fwd Pkt Len Mean,0.026114958369676523,0.04147433931346918,0.047591773326593034,0.030718625002916444,0.04946184420887742,0.039299946438084515,0.02266200856652687,0.04012244765599164,0.07249626498735598
11,Fwd Pkt Len Std,0.01096937705983117,0.0288416532204837,0.026098309952251948,0.027099283068123925,0.10424822896749622,0.031784343425851645,0.013190808721659775,0.029918629648057304,0.03544154344267621
12,Bwd Pkt Len Max,0.10494757175801912,0.17387352513807555,0.13496978260625297,0.10014089918699128,0.3969632199007215,0.10364946251724123,0.08121385765655513,0.1983548582334518,0.09391655106010366
13,Bwd Pkt Len Min,0.06330682445469843,0.06996151049602842,0.1171703671461922,0.06950105016972011,0.040389776478120455,0.03628784353232687,0.030506608806253842,0.15311769579130424,0.03581830456028597
14,Bwd Pkt Len Mean,0.05894381760031525,0.06782869522432503,0.09848665107922536,0.0610571863882272,0.12389015876856449,0.05060927536469743,0.0660319833628319,0.10113968090861303,0.08004208416495358
15,Bwd Pkt Len Std,0.014607446175034816,0.03664772084148376,0.03312961503276864,0.025595034948080686,0.11939715637526686,0.05503727894025762,0.03744717976666677,0.027540081638075743,0.027709207862691432
16,Flow Byts/s,0.08664732590131331,0.03887819265786348,0.08626842676630292,0.0631825794705034,0.20885214562309468,0.15263555613670127,0.02411659008086041,0.009646618462861698,0.03925205195402749
17,Flow Pkts/s,0.3002849382008684,0.12447559434142405,0.1996290731902314,0.08401570971138593,0.1075616555432037,0.09024079229090812,0.10736355513452363,0.12980635081607322,2.3212507859818543
18,Flow IAT Mean,0.29318920201171006,0.3315341156998607,0.16976536283725382,0.4763998351978877,1.2539202575588186,0.23254912180082044,0.19804787389402562,0.1899338785543527,0.5674432106378469
19,Flow IAT Std,0.08854790090041201,0.06270223817952672,0.06318897317246279,0.1821975873358857,0.09459688083587273,0.10803536273888507,0.1042872995727416,0.07750403905525265,0.11626566796373747
20,Flow IAT Max,0.402016109386451,0.14099955893799937,0.1502322522150259,0.3311689502229703,0.39395681813404965,0.2271159228250485,0.13475482220970586,0.1280334980630808,0.3583647093250642
21,Flow IAT Min,0.24937968061006197,0.20416732949750913,0.1934389165521407,0.25645303866535035,0.22898439977407142,0.13357436575325102,0.16216083969531261,0.12453940913810597,0.1941251905996438
22,Fwd IAT Tot,0.054999332266794966,0.046890435304704374,0.06395273316305769,0.156070805019042,0.1071458245486921,0.19012555367688144,0.04900369716044591,0.036201399071680504,0.07305205686809192
23,Fwd IAT Mean,0.09298885076016958,0.0609943608872904,0.0719375578357679,0.3024074670510301,0.13041774436215028,0.1547117798556735,0.06808919962537203,0.4094235379731749,0.8277001245755977
24,Fwd IAT Std,0.06089438117278238,0.05724301019910453,0.007755104676579766,0.029097868556420776,0.13671144903628538,0.09673727408325516,0.04813298375509976,0.01510031298469198,0.24288788656721216
25,Fwd IAT Max,0.16221130393751382,0.07576915478456381,0.06295980007002154,0.15784496329569891,0.11386892699306032,0.14818962442989442,0.06308826046719024,0.03962240950575359,0.2785038342953092
26,Fwd IAT Min,0.07961309866994272,0.13752866656681775,0.13680640904403868,0.6733343488829997,0.16362670326742243,0.16581799893398502,1.0285658232395483,0.04529236072364756,0.1906872589141066
27,Bwd IAT Tot,0.09678778830395461,0.1236098347290078,0.2415985163796223,0.3379774347177573,0.307612510108153,0.18101471636928662,0.12239817510587239,0.14086628862889514,0.18472723851560757
28,Bwd IAT Mean,0.36718404650536673,0.11072754955735316,0.07743175329180606,0.14703750511066946,0.2552532058254604,0.12846313304653942,0.18685503125105019,0.35216039564587825,0.3639976490154876
29,Bwd IAT Std,0.17756819773939905,0.16000423655706536,0.07434526946796811,0.1469985764797051,0.5417290139726931,0.14915956795266078,0.09130641733661009,0.12301103466414984,0.3780181243231894
30,Bwd IAT Max,0.3250374861438768,0.312122628754647,0.23149659069768144,0.214603678136434,1.4742240105620446,0.2249859601046483,0.26761086915724347,0.2588518809926809,1.3506700276626735
31,Bwd IAT Min,0.3297518893318657,0.11945902551820409,0.07672520868585588,0.16410234443148988,1.3980707847388933,0.18244155591449576,0.25121510821513116,0.15460532634285915,0.19208586620286175
32,Fwd PSH Flags,0.0006695965906285537,0.0003290111017169415,0.0003308809261033578,0.0009251520530829717,0.00041227087513888265,0.002333081125228475,0.0011302437383947307,0.0008688098448951678,0.0005960400912165723
33,Bwd PSH Flags,0.00010152382217353685,9.111390746044588e-05,6.451944347622379e-05,6.99281372279529e-05,3.814041980624299e-05,6.824314473891113e-05,0.00011012700467051923,6.384861508987444e-05,0.00013386884850531512
34,Fwd URG Flags,2.747533732973453e-07,1.0282728738578347e-07,7.821881108813816e-05,0.00010858524403690049,5.865007664801346e-06,1.8686119676890993e-05,6.630200213856167e-05,0.0,0.00018557144552469254
35,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Fwd Header Len,0.3880873453647833,0.474805347312148,0.41864545950329896,0.43448924258693705,0.3587277702096665,0.26105416273138077,0.36735852955455134,0.2834870459752578,0.3922481880393781
37,Bwd Header Len,0.23499179406367046,1.1274496561402054,0.16740576403251356,0.28837328324930916,0.4130730081334729,0.3122997331208514,0.27897576865409945,0.21393937116906653,0.24421182627611399
38,Fwd Pkts/s,0.7771607772301452,0.5725558442951687,0.5802741142454988,0.6296855179802128,0.6507681435657046,0.6301929581257498,0.41441513970205685,0.183652519140725,8.690302311193733
39,Bwd Pkts/s,1.1892779998548408,1.5286091824006405,1.3121509752772995,2.1852135588003883,1.077392152647575,1.9009923345717588,0.9085577124182365,2.766026885667854,1.6075860331363132
40,Pkt Len Min,0.1521688195302873,0.10876947395924255,0.19143629406370535,0.13082941184798483,0.08227333701860051,0.07918449362028171,0.04849609805280507,0.26508384003999863,0.23264433022204184
41,Pkt Len Max,0.2010898443985832,0.34892354467311504,0.3620597521776624,0.21749012026047096,0.30023239423578224,0.2776908395586687,0.267796755876034,0.4114895002845443,0.2470060728918412
42,Pkt Len Mean,0.1823132126536511,0.17048285593899706,0.2001954106924982,0.2898081000061815,0.1844659738984455,0.1611077966464067,0.13155986759055566,0.2794597743452948,0.2045591409608511
43,Pkt Len Std,0.07232836350281867,0.11308926574584217,0.1588180266911436,0.07897614426503455,0.18472403273950477,0.10620520584896971,0.10002435492292565,0.16291425341425336,0.08851506616072537
44,Pkt Len Var,1.794770979460316,0.4068784002842868,0.5467391834276419,0.644885555136048,3.020821845088159,1.024779169126146,0.5983982166606209,0.5727211010591964,1.5592232376743456
45,FIN Flag Cnt,0.006483069572257925,0.006774066750475117,0.0038122611016977712,0.005831664632919101,0.01156213364815276,0.010576178798180156,0.006264938421443054,0.004620701241598864,0.006363128348618722
46,SYN Flag Cnt,0.023338077025998737,0.026246557377800083,0.05323054453831762,0.022919196340016063,0.035493955511417825,0.02494668936866694,0.020776730074167273,0.02745459515137772,0.035109004444318054
47,RST Flag Cnt,0.0012893339864692758,0.001320716455136782,0.001366565870381794,0.0011457454298891257,0.0018343340182564029,0.003404548308359917,0.0010844886943225701,0.002204077477747057,0.0010435939978739803
48,PSH Flag Cnt,0.011674695851418043,0.008799867923012118,0.0064088907106616775,0.00815089238479331,0.02635087211933762,0.025615116472395304,0.00876946715597757,0.0061644704664372526,0.007076926138508163
49,ACK Flag Cnt,0.01868367568473886,0.016596385440864232,0.010315667641159505,0.014569612286387357,0.05317278239850002,0.07000849239393207,0.020731459453551787,0.013716294125643413,0.012459797829567822
50,URG Flag Cnt,6.235401650666163e-05,0.00010028639308855215,0.00018887166099381528,0.0001061051410652403,4.8501458893749974e-05,8.238625760948505e-05,5.131895563580302e-05,4.051143941128682e-05,0.0001399821170265366
51,CWE Flag Count,6.516114410866673e-07,3.799752417964757e-07,2.2477646420399347e-05,7.29800051699082e-05,2.056734351855185e-06,3.9943171310652465e-05,1.26879859301779e-05,0.0,6.537407690452204e-05
52,ECE Flag Cnt,0.000113815611699599,0.00020990488079239894,0.00021461089656464642,0.0002125698780582348,0.00028106157636334495,0.00042291878094139417,0.00038862953325312144,0.00030073729824328237,0.00024389286229123977
53,Down/Up Ratio,0.006121618181971079,0.0031759402373128407,0.007945814252826146,0.0018225082188462493,0.00438202160139529,0.008316150531087956,0.0033768319608804666,0.0030757572956014575,0.004210292021188349
54,Pkt Size Avg,0.2643186817875048,0.38231901948211994,0.34690622000016436,0.34865398535449776,0.4342783908497873,0.3279453064594879,0.1519383514084537,0.42337361702351234,0.2405615878994
55,Fwd Seg Size Avg,0.09426150720817475,0.07992262191439563,0.11192206665539972,0.08295337551945749,0.19158639296612442,0.122592700152202,0.10186629183158682,0.11514494559398476,0.11973019138510736
56,Bwd Seg Size Avg,0.23075073868037893,0.3123863907711658,0.3081168269805167,0.2679817015430327,0.3063107747076744,0.2640662511115607,0.33506752985979715,0.2602425276807205,0.16738075548417125
57,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Bwd Pkts/b Avg,0.009013597699999973,0.004012041651566243,0.005286283777594174,0.004998009205827232,0.010293543643731001,0.00813973460582173,0.01009330385254573,0.0043749561626084165,0.005556519536570865
62,Bwd Blk Rate Avg,0.43864483502643337,0.04694128667576137,0.06051924373458643,0.667725171118932,0.17760150403732325,2.24799645494737,0.09331728358571863,0.08142356860243369,0.06801430636538612
63,Subflow Fwd Pkts,0.021269288704504397,0.03130819857438262,0.025861368671345135,0.016279194042944027,0.029519300044310703,0.019344241639125563,0.034720768136424426,0.0328841444315879,0.02125684179491022
64,Subflow Fwd Byts,0.22389026077755636,0.4357462802894182,0.2383296427588863,0.2556745570325607,0.7958156809258021,0.3897814147939688,0.21260138523577968,0.2822873966495498,0.36593897680902143
65,Subflow Bwd Pkts,0.022816569009818793,0.026730861053689214,0.019791966302309984,0.04137185051200184,0.04549714561716585,0.037714662936154844,0.03642195085581169,0.03847321643635221,0.026370570090836477
66,Subflow Bwd Byts,0.3650900063028685,0.40802027725214246,0.4099966599057644,0.47466024213652735,0.6055889110305714,0.3764092588433117,0.3519451973425534,0.5155015712136055,0.3109893203633128
67,Init Fwd Win Byts,2.4005642480976968,5.264513262879399,1.3102723270384011,10.544639597330702,2.1265447245357825,1.2623273918643045,2.5376544349811763,2.4279355471171122,2.3237616007510473
68,Fwd Act Data Pkts,0.1075012883162699,0.20718821505128715,0.09441728245918547,0.09383809597228492,0.0970146970352952,0.2644225593342445,0.17324065714660095,0.11403540777789704,0.14853331016508525
69,Active Mean,0.007879520429640349,0.016088528054903357,0.01788650566748639,0.0037893553008315956,0.00028959381133981563,0.022732860473313403,0.010834085489677235,0.011167169264674322,0.00741730945580787
70,Active Std,0.004112870598748945,0.07555743539652852,0.014970734621384901,0.0027187262899344643,0.003649291185146431,0.011827509196441176,0.026457672915512275,0.0027849034424418944,0.014148963614553834
