,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.9263566,0.4077963,0.9263566,0.5662991
1,1,1,DoS,0.12973456,0.8085502,0.12973456,0.22359289
2,1,1,MITM,0.99970186,0.97386,0.99970186,0.9866118
3,1,1,Normal,0.691023,0.8779841,0.691023,0.7733645
4,1,1,Scanner,0.4572025,0.9108734,0.4572025,0.60881656
5,1,1,Brute force,0.9892666,0.94074285,0.9892666,0.96439475
6,1,1,Generic,0.992544,0.9736688,0.992544,0.98301584
7,1,1,Exploit,0.87567085,0.71897185,0.87567085,0.7896223
8,1,1,Infection,0.9075455,0.942397,0.9075455,0.92464304
0,1,2,Botnet,0.3771616,0.18280347,0.3771616,0.24625266
1,1,2,DoS,0.0,0.0,0.0,0.0
2,1,2,MITM,0.9725619,0.982821,0.9725619,0.97766453
3,1,2,Normal,0.0,0.0,0.0,0.0
4,1,2,Scanner,0.5973755,0.18566926,0.5973755,0.28328973
5,1,2,Brute force,0.0,0.0,0.0,0.0
6,1,2,Generic,0.77363557,0.40651935,0.77363557,0.53297716
7,1,2,Exploit,0.0,0.0,0.0,0.0
8,1,2,Infection,0.30113298,0.36541244,0.30113298,0.33017328
0,1,3,Botnet,0.9654041,0.40907368,0.9654041,0.5746494
1,1,3,DoS,0.16845557,0.89116716,0.16845557,0.28335005
2,1,3,MITM,0.99940354,0.97982454,0.99940354,0.9895172
3,1,3,Normal,0.7751938,0.87956697,0.7751938,0.82408875
4,1,3,Scanner,0.4252908,0.98821896,0.4252908,0.59466225
5,1,3,Brute force,0.9952282,0.9714702,0.9952282,0.9832056
6,1,3,Generic,0.9907573,1.0,0.9907573,0.9953572
7,1,3,Exploit,0.88875633,0.784417,0.88875633,0.8333333
8,1,3,Infection,0.9555754,0.98373234,0.9555754,0.9694495
0,1,4,Botnet,0.95973754,0.41426364,0.95973754,0.5787249
1,1,4,DoS,0.1627907,0.939759,0.1627907,0.27750954
2,1,4,MITM,0.99821055,0.9743814,0.99821055,0.98615205
3,1,4,Normal,0.7599165,0.96992767,0.7599165,0.8521739
4,1,4,Scanner,0.4588551,0.9890745,0.4588551,0.6268839
5,1,4,Brute force,0.99224573,0.97138685,0.99224573,0.9817055
6,1,4,Generic,0.99045914,0.9984971,0.99045914,0.99446195
7,1,4,Exploit,0.98031616,0.7765178,0.98031616,0.86659634
8,1,4,Infection,0.94333434,0.9798637,0.94333434,0.9612521
0,1,5,Botnet,0.97077245,0.41475534,0.97077245,0.5811981
1,1,5,DoS,0.1691023,0.9325658,0.1691023,0.28629133
2,1,5,MITM,0.9988074,0.97639173,0.9988074,0.98747236
3,1,5,Normal,0.5606919,0.88553935,0.5606919,0.6866326
4,1,5,Scanner,0.43023255,0.9979253,0.43023255,0.60125
5,1,5,Brute force,0.9815091,0.97223043,0.9815091,0.97684777
6,1,5,Generic,0.9910528,0.99939847,0.9910528,0.9952081
7,1,5,Exploit,0.9472272,0.6679983,0.9472272,0.7834771
8,1,5,Infection,0.95228153,0.98004913,0.95228153,0.9659658
0,2,1,Botnet,0.95915323,0.4096002,0.95915323,0.57405424
1,2,1,DoS,0.14375186,0.8546099,0.14375186,0.24610671
2,2,1,MITM,0.9985092,0.98413163,0.9985092,0.9912683
3,2,1,Normal,0.6889353,0.8229426,0.6889353,0.75
4,2,1,Scanner,0.43751863,0.99660325,0.43751863,0.6080829
5,2,1,Brute force,0.990161,0.97105265,0.990161,0.98051375
6,2,1,Generic,0.99194753,1.0,0.99194753,0.9959575
