Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src IP,1.3877819999567468e-31,9.22011130756459e-33,4.628706601196447e-19,0.0,5.401001241265929e-22,1.1886215625813343e-21,0.0,0.0,0.0
1,Src Port,0.02013520593020023,0.004488411934335039,0.006654942737101148,0.07835977988614565,0.007718739073879685,0.05447660227723644,0.0010592698786841153,0.04184286739164676,0.04407114621533054
2,Dst IP,0.0,7.621018885912511e-33,1.0446440588414893e-08,2.474842685167123e-32,2.27509102940785e-16,5.050348854359168e-18,0.0,0.0,5.093729815495691e-33
3,Dst Port,0.32822174264914966,0.19167937304207108,0.7958242843888833,0.46756282957652556,3.120026828596427,2.538887169992454,0.3123190170491504,0.9092697457059264,0.3177625791249053
4,Protocol,0.07414696668841661,0.005131521499000382,0.007895977512913974,0.007715022202089113,0.024603844276825243,0.025683489733489124,0.002852671215621009,0.01151269795311041,0.00933544275917221
5,Flow Duration,0.35967404717222606,0.5528446905801804,0.6485603815357939,0.32504324783262073,0.7297824133761848,0.5970199522150781,0.4602086196176775,2.660135694730977,5.200813914613072
6,Tot Fwd Pkts,0.02838090906882763,0.03697699191592281,0.01890882370885865,0.019450374587782742,0.016816997760901297,0.01976666433750683,0.022194904148004443,0.016636987837044613,0.022703187648791524
7,Tot Bwd Pkts,0.005324022817301257,0.007436919344540373,0.0069385618440754885,0.006233204662907281,0.00404669809078489,0.005544507843897768,0.007270598983851425,0.006221942420436809,0.00781215311515044
8,TotLen Fwd Pkts,0.07562334028600319,0.10747693232935962,0.19852861541633654,0.15860791558913448,0.08709018081668103,0.18751534432823908,0.0878996014887505,0.07885266345260147,0.07516508890776952
9,TotLen Bwd Pkts,0.22560798455213407,0.46817120750799157,0.22442057502748575,0.16731835858305144,0.14871065025787705,0.6458495336775915,0.7642375180290766,0.1882114415672218,0.42119336189550804
10,Fwd Pkt Len Max,0.06447531433674387,0.07736287094674106,0.10492886562512513,0.17180892573725717,0.07210246447102303,0.11487858541488256,0.07815300758143919,0.08110295048074409,0.05919707780111154
11,Fwd Pkt Len Min,0.02251647117646733,0.013515413082062602,0.052172438678466805,0.03670603759504007,0.02004242948995736,0.02737620953446778,0.010972937305418737,0.02355779199295942,0.02558128722047908
12,Fwd Pkt Len Mean,0.02695853129890652,0.026129138455351596,0.052977786803864,0.04878761169592873,0.0377391679446856,0.04161396801328758,0.025639937544807024,0.04398556509193612,0.035238617185435375
13,Fwd Pkt Len Std,0.020527166342527305,0.02686412162420576,0.02559433749760598,0.06185824917457601,0.018100732488668215,0.03358434957329539,0.02289868847030137,0.03545288162419381,0.029638811462231778
14,Bwd Pkt Len Max,0.11430702340017032,0.17076133668615312,0.12196748318326274,0.1484898778989577,0.08773597695496319,0.2520256915881033,0.36822554041734745,0.17284971812013222,0.3004291212701434
15,Bwd Pkt Len Min,0.09531172511470762,0.04881263097183595,0.07451404721285353,0.03820180894988241,0.044683871212511495,0.08504132709545227,0.2917954551558096,0.12454052918983534,0.1489471221772795
16,Bwd Pkt Len Mean,0.08007381647265929,0.07965099768553212,0.0774872164190397,0.05724344768423219,0.06009411301671841,0.2538186289594445,0.20747915482784562,0.1690414570405523,0.18589557088469374
17,Bwd Pkt Len Std,0.01838850757092595,0.03614918668069529,0.03259754475943978,0.09430463186903124,0.025131123172004645,0.07844361867123334,0.027147912388492235,0.04189559614946284,0.04297210795693705
18,Flow Byts/s,0.1281776401418938,0.1285362767227333,0.040174567741752855,0.00959963426889555,0.07135442052954866,0.024210887684508554,4.933398308260629,0.054483890934048304,0.052601909101632906
19,Flow Pkts/s,0.05488836095030356,0.12572399643339097,0.06895252055455081,0.17857062120755507,0.06993447061640919,0.08606821020601683,0.06638367476447764,0.05193152130725868,0.29851685213386686
20,Flow IAT Mean,0.21296815441229003,0.7029252845027494,0.6533001224095265,0.46738961716706867,0.9690821817439002,0.16628138770753348,0.4895082278028566,1.0883947599172195,1.5038141932935607
21,Flow IAT Std,0.04273013620881884,0.045039975936335255,0.11252322113138598,0.3033813126619579,0.611191755859443,0.05415842899589467,0.4783946632026135,4.476086053537861,0.42508664502746524
22,Flow IAT Max,0.14858788974820641,0.7541405595621044,0.4234146417086306,0.2202502687154025,0.39721752706797775,0.2647085484137027,0.30130717972061577,4.069518239482983,0.6381829218855564
23,Flow IAT Min,0.26469636189413925,0.9123221166631801,0.41433104851447977,0.21081085128833,0.8573119782423898,0.27970604557451806,0.11062939541389374,0.16360089381593984,0.4837146817466073
24,Fwd IAT Tot,0.12972655379220205,0.11835235977290245,0.19569551481949451,0.1341703594222054,0.3961463484342234,0.07011902758056507,0.03655730131563976,5.181286899012487,0.7593905925616045
25,Fwd IAT Mean,0.0938321712128222,0.10554727432187874,1.2894273060922972,0.18888277711521875,0.5516662125554344,0.22814651333156744,0.24001832555078922,1.7115605832602963,1.2095212559031039
26,Fwd IAT Std,0.06255981041797751,0.08014342602184958,0.3042890657605027,0.3049967229219549,0.4671405315578873,0.018092594178394303,0.5144596155165126,1.4248883988618872,0.07458845725681801
27,Fwd IAT Max,0.06374581186973792,0.24360059447988308,0.7266458889976295,0.1654386470419436,0.7905185199434694,0.05977369356612584,0.09354306537709203,1.6832370698789254,0.7487954035704876
28,Fwd IAT Min,0.08314436027495062,0.13143799867939743,0.06841649008836395,0.21533540206230647,2.3402175508439003,0.08602694211317896,0.0856671824830578,0.12411263223772846,2.4713914784297506
29,Bwd IAT Tot,0.123313144043335,0.148930166017646,0.1386476062724046,0.09773899132814537,0.24365011829753835,0.07440788316112464,1.483413629490996,1.1360028836079967,0.141392700801361
30,Bwd IAT Mean,0.05488118851643178,0.12600557359207804,0.1198026217099363,0.04295438533123655,0.4255051988912009,0.07535312484659168,0.36092414181612065,0.716474923127711,0.09097952499355812
31,Bwd IAT Std,0.08209928018025107,0.11100583365743655,0.21495515437287285,0.03244305384893927,0.5832488344026342,0.0929282689686009,2.6764467532433835,0.3970747306338517,0.05497302442516085
32,Bwd IAT Max,0.3196379666174182,0.1597620277800122,0.262847268725909,0.14129164780977638,0.2868929125415153,0.11196725204748022,8.409853436497912,0.7368780510615479,0.14559638673035719
33,Bwd IAT Min,0.13137766863531272,0.1800299662564626,0.11372363336692257,0.0881468850348829,0.08814365621907455,0.2655553111622731,0.28920039349647275,5.817997225795429,0.08125896804319807
34,Fwd PSH Flags,0.00021025766942780544,0.00169401911218772,0.0002257908723777645,0.0001243879284828613,0.00023219085375279026,0.0004119392738438722,0.0002238493351423611,0.00020028418220318498,0.0001819883547835464
35,Bwd PSH Flags,0.00028382220658094797,3.174658219768598e-05,2.2583738281461997e-05,3.045321965074872e-05,2.290387226119037e-05,2.9007586542274042e-05,6.400037145446427e-05,2.0576433433133288e-05,0.00030816094144919435
36,Fwd URG Flags,3.6965203431383185e-05,1.3907576959657794e-06,9.797986601269157e-07,1.2139335212608177e-05,3.524139816565569e-07,4.612032766453922e-06,9.309759272986816e-07,1.083219594955962e-05,0.0
37,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Fwd Header Len,0.24022511210220482,0.222773515814223,0.10987918571023314,0.21435784283971704,0.4752711560827933,0.12921220992468657,0.32798799347320895,0.15627951952801955,0.19950323705836923
39,Bwd Header Len,0.2009541465587789,0.21489573895657746,0.2712356447908598,0.27694649812986183,0.10548089018179282,0.09495755891879058,0.2318514958886138,0.25608333318964877,0.11660820054973212
