,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9959817,0.97168684,0.9959817,0.9836843
1,1,1,Normal,0.97097564,0.99587816,0.97097564,0.9832692
0,1,2,Attack,0.9555754,0.96603477,0.9555754,0.9607766
1,1,2,Normal,0.9663988,0.9560464,0.9663988,0.9611947
0,1,3,Attack,0.9185177,0.96857345,0.9185177,0.94288176
1,1,3,Normal,0.9701942,0.92251354,0.9701942,0.9457533
0,1,4,Attack,0.99810225,0.95861477,0.99810225,0.9779601
1,1,4,Normal,0.95691484,0.99802095,0.95691484,0.97703576
0,1,5,Attack,0.97309667,0.9665151,0.97309667,0.96979475
1,1,5,Normal,0.9662909,0.97291523,0.9662909,0.9695918
0,1,6,Attack,0.9909578,0.93216425,0.9909578,0.9606623
1,1,6,Normal,0.92789376,0.99035025,0.92789376,0.95810527
0,1,7,Attack,0.9597008,0.9656296,0.9597008,0.9626561
1,1,7,Normal,0.9658406,0.95994675,0.9658406,0.96288466
0,1,8,Attack,0.9965394,0.96990436,0.9965394,0.98304147
1,1,8,Normal,0.96907794,0.99644166,0.96907794,0.9825693
0,1,9,Attack,0.9972092,0.97150624,0.9972092,0.9841899
1,1,9,Normal,0.9707524,0.9971334,0.9707524,0.98376614
0,1,10,Attack,0.99430674,0.9713195,0.99430674,0.98267865
1,1,10,Normal,0.9706408,0.99416876,0.9706408,0.98226386
0,2,1,Attack,0.9964282,0.9700098,0.9964282,0.9830415
1,2,1,Normal,0.9691895,0.99632776,0.9691895,0.9825713
0,2,2,Attack,0.99821407,0.96649736,0.99821407,0.9820997
1,2,2,Normal,0.9653941,0.99815327,0.9653941,0.9815004
0,2,3,Attack,0.99687463,0.96970683,0.99687463,0.98310304
1,2,3,Normal,0.96885467,0.9967842,0.96885467,0.982621
0,2,4,Attack,0.9979906,0.96753246,0.9979906,0.9825256
1,2,4,Normal,0.9665141,0.9979256,0.9665141,0.9819687
0,2,5,Attack,0.94876087,0.96218723,0.94876087,0.95542693
1,2,5,Normal,0.9627191,0.9494716,0.9627191,0.95604944
0,2,6,Attack,0.9972092,0.97383624,0.9972092,0.9853841
1,2,6,Normal,0.9732113,0.9971409,0.9732113,0.9850308
0,2,7,Attack,0.91694576,0.96851784,0.91694576,0.9420265
1,2,7,Normal,0.9701942,0.92114466,0.9701942,0.94503343
0,2,8,Attack,0.99665105,0.96853983,0.99665105,0.9823944
1,2,8,Normal,0.9676267,0.9965509,0.9676267,0.98187584
0,2,9,Attack,0.98359007,0.96834815,0.98359007,0.9759096
1,2,9,Normal,0.96784997,0.9833277,0.96784997,0.97552747
0,2,10,Attack,0.9997767,0.8287221,0.9997767,0.90624845
1,2,10,Normal,0.79336905,0.99971867,0.79336905,0.88467044
0,3,1,Attack,0.99921864,0.9660084,0.99921864,0.98233294
1,3,1,Normal,0.9648359,0.99919075,0.9648359,0.9817128
0,3,2,Attack,0.9236522,0.96490204,0.9236522,0.9438266
1,3,2,Normal,0.9663988,0.92677444,0.9663988,0.94617194
0,3,3,Attack,0.98370355,0.96878093,0.98370355,0.97618526
1,3,3,Normal,0.96829647,0.9834467,0.96829647,0.97581285
0,3,4,Attack,0.9947533,0.96743023,0.9947533,0.98090154
1,3,4,Normal,0.9665141,0.9946014,0.9665141,0.98035663
0,3,5,Attack,0.8836794,0.96760786,0.8836794,0.92374116
1,3,5,Normal,0.9704208,0.89297456,0.9704208,0.9300883
0,3,6,Attack,0.99609286,0.96978587,0.99609286,0.98276335
1,3,6,Normal,0.96896976,0.9959844,0.96896976,0.9822914
0,3,7,Attack,0.9850413,0.9652155,0.9850413,0.9750277
1,3,7,Normal,0.964501,0.9847276,0.964501,0.9745094
0,3,8,Attack,0.99732083,0.9718264,0.99732083,0.98440856
1,3,8,Normal,0.9710873,0.99724865,0.9710873,0.9839942
0,3,9,Attack,0.9964278,0.9713788,0.9964278,0.98374385
1,3,9,Normal,0.9706408,0.99633324,0.9706408,0.9833192
0,3,10,Attack,0.974213,0.967195,0.974213,0.9706914
1,3,10,Normal,0.9669569,0.97402453,0.9669569,0.9704779
0,4,1,Attack,0.98950773,0.97901714,0.98950773,0.98423445
1,4,1,Normal,0.9787899,0.98939294,0.9787899,0.98406285
0,4,2,Attack,0.9534546,0.95988315,0.9534546,0.95665807
1,4,2,Normal,0.9601474,0.95375913,0.9601474,0.95694256
0,4,3,Attack,0.99698627,0.9697101,0.99698627,0.98315907
1,4,3,Normal,0.96885467,0.9968987,0.96885467,0.9826767
0,4,4,Attack,0.9964278,0.9684279,0.9964278,0.98222834
1,4,4,Normal,0.9675187,0.99632186,0.9675187,0.98170906
0,4,5,Attack,0.9949766,0.9670175,0.9949766,0.9807978
1,4,5,Normal,0.9660676,0.99482757,0.9660676,0.9802367
0,4,6,Attack,0.9979906,0.97005206,0.9979906,0.98382306
1,4,6,Normal,0.969193,0.9979313,0.969193,0.98335224
0,4,7,Attack,0.9968743,0.97065216,0.9968743,0.98358846
1,4,7,Normal,0.96985936,0.9967875,0.96985936,0.98313904
0,4,8,Attack,0.8691672,0.9682875,0.8691672,0.91605383
1,4,8,Normal,0.97153383,0.8813165,0.97153383,0.9242287
0,4,9,Attack,0.9238669,0.9702228,0.9238669,0.9464776
1,4,9,Normal,0.9716455,0.9273386,0.9716455,0.94897515
0,4,10,Attack,0.8606832,0.9695674,0.8606832,0.9118865
1,4,10,Normal,0.972985,0.8747491,0.972985,0.92125565
0,5,1,Attack,0.8628195,0.9668543,0.8628195,0.9118792
1,5,1,Normal,0.9704175,0.87613386,0.9704175,0.9208686
0,5,2,Attack,0.9987722,0.9681887,0.9987722,0.9832427
1,5,2,Normal,0.9671802,0.998732,0.9671802,0.9827029
0,5,3,Attack,0.9947539,0.967854,0.9947539,0.98111963
1,5,3,Normal,0.9669569,0.9946033,0.9669569,0.9805853
0,5,4,Attack,0.98481804,0.9695571,0.98481804,0.97712797
1,5,4,Normal,0.96908134,0.984577,0.96908134,0.9767677
0,5,5,Attack,0.9085733,0.9658241,0.9085733,0.93632436
1,5,5,Normal,0.96785355,0.9136986,0.96785355,0.9399967
0,5,6,Attack,0.9964278,0.96863806,0.9964278,0.98233646
1,5,6,Normal,0.9677419,0.9963227,0.9677419,0.98182434
0,5,7,Attack,0.9944184,0.9678401,0.9944184,0.9809493
1,5,7,Normal,0.9669569,0.9942608,0.9669569,0.98041886
0,5,8,Attack,0.9992186,0.96977246,0.9992186,0.98427534
1,5,8,Normal,0.96885467,0.9991941,0.96885467,0.98379046
0,5,9,Attack,0.998772,0.9823232,0.998772,0.9904793
1,5,9,Normal,0.98202723,0.99875116,0.98202723,0.9903186
0,5,10,Attack,0.99787897,0.9695228,0.99787897,0.98349655
1,5,10,Normal,0.9686314,0.9978151,0.9686314,0.9830067
0,6,1,Attack,0.99988836,0.95460355,0.99988836,0.97672135
1,6,1,Normal,0.95244473,0.9998828,0.95244473,0.9755874
0,6,2,Attack,0.91249025,0.96676916,0.91249025,0.9388459
1,6,2,Normal,0.9686314,0.9171335,0.9686314,0.9421793
0,6,3,Attack,0.9973211,0.96657294,0.9973211,0.98170626
1,6,3,Normal,0.9655057,0.9972328,0.9655057,0.9811128
0,6,4,Attack,0.9962045,0.97063303,0.9962045,0.9832525
1,6,4,Normal,0.9698627,0.9961023,0.9698627,0.98280734
0,6,5,Attack,0.99631613,0.9665367,0.99631613,0.9812005
1,6,5,Normal,0.96550953,0.9961995,0.96550953,0.9806144
0,6,6,Attack,0.9972092,0.9704508,0.9972092,0.9836481
1,6,6,Normal,0.9696395,0.9971304,0.9696395,0.9831928
0,6,7,Attack,0.9659522,0.9653057,0.9659522,0.9656288
1,6,7,Normal,0.96528244,0.9659294,0.96528244,0.9656058
0,6,8,Attack,0.90232193,0.9699988,0.90232193,0.93493724
1,6,8,Normal,0.972092,0.9086925,0.972092,0.9393236
0,6,9,Attack,0.99609286,0.96642476,0.99609286,0.9810346
1,6,9,Normal,0.9653941,0.9959691,0.9653941,0.98044324
0,6,10,Attack,0.8568877,0.96602064,0.8568877,0.9081874
1,6,10,Normal,0.96985936,0.87141424,0.96985936,0.9180051
0,7,1,Attack,0.860922,0.9681185,0.860922,0.91137886
1,7,1,Normal,0.9716455,0.87477386,0.9716455,0.9206685
0,7,2,Attack,0.9955352,0.91806483,0.9955352,0.9552319
1,7,2,Normal,0.91114086,0.99512315,0.91114086,0.95128196
0,7,3,Attack,0.9988838,0.9697659,0.9988838,0.9841095
1,7,3,Normal,0.96885467,0.9988491,0.96885467,0.9836232
0,7,4,Attack,0.9982139,0.97005856,0.9982139,0.9839348
1,7,4,Normal,0.969193,0.9981607,0.969193,0.9834636
0,7,5,Attack,0.9939719,0.9706748,0.9939719,0.98218524
1,7,5,Normal,0.96997434,0.99382436,0.96997434,0.9817545
0,7,6,Attack,0.9954231,0.9717742,0.9954231,0.9834565
1,7,6,Normal,0.9710905,0.9953095,0.9710905,0.9830509
0,7,7,Attack,0.9964278,0.9670639,0.9964278,0.98152626
1,7,7,Normal,0.96606386,0.9963159,0.96606386,0.98095673
0,7,8,Attack,0.86157626,0.96813846,0.86157626,0.91175425
1,7,8,Normal,0.9716455,0.8753017,0.9716455,0.9209608
0,7,9,Attack,0.9968743,0.9666594,0.9968743,0.98153436
1,7,9,Normal,0.9656173,0.9967734,0.9656173,0.98094803
0,7,10,Attack,0.86157626,0.96426785,0.86157626,0.91003424
1,7,10,Normal,0.96807325,0.8748991,0.96807325,0.9191309
0,8,1,Attack,0.9948655,0.9671224,0.9948655,0.98079777
1,8,1,Normal,0.9661755,0.99471325,0.9661755,0.9802367
0,8,2,Attack,0.99631655,0.9671687,0.99631655,0.98152626
1,8,2,Normal,0.9661755,0.99620163,0.9661755,0.98095894
0,8,3,Attack,0.9955352,0.9685091,0.9955352,0.98183614
1,8,3,Normal,0.9676267,0.9954065,0.9676267,0.98132
0,8,4,Attack,0.9964278,0.9700065,0.9964278,0.9830397
1,8,4,Normal,0.969193,0.9963282,0.969193,0.98257333
0,8,5,Attack,0.9965394,0.9683263,0.9965394,0.9822303
